horizon,n,brier_polymarket,brier_dice_50_50,brier_historical_leakage_safe
4w,2,0.3055625,0.25,0.3222222222222223
3w,18,0.16177083333333334,0.25,0.2157729169409002
2w,116,0.20700243534482754,0.25,0.2174766674116385
1w,431,0.16838177552204167,0.25,0.20117463035728456
6d,507,0.16774566124260354,0.25,0.19436958015693845
5d,559,0.16114815608228975,0.25,0.19571172188643604
4d,593,0.15815479215851608,0.25,0.1959739602383559
3d,614,0.15915667589576551,0.25,0.19575472439057642
2d,626,0.15716293170926524,0.25,0.19599987397322138
1d,631,0.1565296969096673,0.25,0.19754961522909142
12h,632,0.15352469738924052,0.25,0.19661610948322278
6h,632,0.15519953441455678,0.25,0.196443808435404
