id     , ticker, slug                                                   , resolvedOutcome, umaEndDate          , acceptingOrdersTimestamp, volumeNum    , val_eikon_eps_stddev_estimate, val_surprise          , ric    , asof_date , market_cap_usd_asof , analysts_covering_asof, gics_sector           , turnover_6m_sum_volume, turnover_6m_avg_daily_volume, volatility_6m       , p_polymarket_yes__6h , p_polymarket_yes__12h, p_polymarket_yes__1d, p_polymarket_yes__2d , p_polymarket_yes__3d , p_polymarket_yes__4d, p_polymarket_yes__5d , p_polymarket_yes__6d, p_polymarket_yes__1w, p_polymarket_yes__2w , p_polymarket_yes__3w, p_polymarket_yes__4w, p_dice_0p5__6h, p_dice_0p5__12h, p_dice_0p5__1d, p_dice_0p5__2d, p_dice_0p5__3d, p_dice_0p5__4d, p_dice_0p5__5d, p_dice_0p5__6d, p_dice_0p5__1w, p_dice_0p5__2w, p_dice_0p5__3w, p_dice_0p5__4w, p_hist_asof_end_minus_1d__6h, p_hist_asof_end_minus_1d__12h, p_hist_asof_end_minus_1d__1d, p_hist_asof_end_minus_1d__2d, p_hist_asof_end_minus_1d__3d, p_hist_asof_end_minus_1d__4d, p_hist_asof_end_minus_1d__5d, p_hist_asof_end_minus_1d__6d, p_hist_asof_end_minus_1d__1w, p_hist_asof_end_minus_1d__2w, p_hist_asof_end_minus_1d__3w, p_hist_asof_end_minus_1d__4w, loss_polymarket__6h   , loss_polymarket__12h  , loss_polymarket__1d   , loss_polymarket__2d   , loss_polymarket__3d   , loss_polymarket__4d   , loss_polymarket__5d  , loss_polymarket__6d  , loss_polymarket__1w   , loss_polymarket__2w   , loss_polymarket__3w   , loss_polymarket__4w , loss_dice__6h, loss_dice__12h, loss_dice__1d, loss_dice__2d, loss_dice__3d, loss_dice__4d, loss_dice__5d, loss_dice__6d, loss_dice__1w, loss_dice__2w, loss_dice__3w, loss_dice__4w, loss_hist__6h        , loss_hist__12h       , loss_hist__1d        , loss_hist__2d        , loss_hist__3d        , loss_hist__4d        , loss_hist__5d        , loss_hist__6d        , loss_hist__1w        , loss_hist__2w        , loss_hist__3w        , loss_hist__4w        , seconds_before_close__6h, seconds_before_close__12h, seconds_before_close__1d, seconds_before_close__2d, seconds_before_close__3d, seconds_before_close__4d, seconds_before_close__5d, seconds_before_close__6d, seconds_before_close__1w, seconds_before_close__2w, seconds_before_close__3w, seconds_before_close__4w, snapshot_dt_utc__6h      , snapshot_dt_utc__12h     , snapshot_dt_utc__1d      , snapshot_dt_utc__2d      , snapshot_dt_utc__3d      , snapshot_dt_utc__4d      , snapshot_dt_utc__5d      , snapshot_dt_utc__6d      , snapshot_dt_utc__1w      , snapshot_dt_utc__2w      , snapshot_dt_utc__3w      , snapshot_dt_utc__4w
 549606, AVGO  , will-broadcom-beat-q2-earnings-estimate                , Yes            , 2025-06-05T23:46:44Z, 2025-06-03T21:33:54Z    ,   4894.410265,         0.04569              , 0.01                  , AVGO.N , 2025-06-03, 1208086520956.15    ,                   43.0, Information Technology,             38522638.0,         308181.104          , 0.044532629519321   , 0.855                , 0.855                , 0.86                , 0.72                 ,                      ,                     ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           0.5               ,            0.5               ,           0.5               ,           0.5               ,           0.5               ,           0.5               ,           0.5               ,           0.5               ,           0.5               ,           0.5               ,           0.5               ,           0.5               , 0.021025000000000002  , 0.021025000000000002  , 0.019600000000000003  , 0.07840000000000001   ,                       ,                       ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 0.25                 , 0.25                 , 0.25                 , 0.25                 , 0.25                 , 0.25                 , 0.25                 , 0.25                 , 0.25                 , 0.25                 , 0.25                 , 0.25                 ,                  21698.0,                   43298.0,                  86498.0,                 172898.0,                         ,                         ,                         ,                         ,                         ,                         ,                         ,                         , 2025-06-05 17:45:06+00:00, 2025-06-05 11:45:06+00:00, 2025-06-04 23:45:06+00:00, 2025-06-03 23:45:06+00:00,                          ,                          ,                          ,                          ,                          ,                          ,                          , 
 598104, GIS   , will-gis-beat-earnings-estimate-2025-09-17-0pt82       , Yes            , 2025-09-17T13:19:02Z, 2025-09-15T01:54:40Z    ,  18668.050719,         0.023180000000000003 , 0.04                  , GIS    , 2025-09-15,   26142738842.2199  ,                   22.0, Consumer Staples      ,            728092734.0,        5778513.761904762    , 0.013523200810515001, 0.8250000000000001   , 0.795                , 0.725               , 0.555                ,                      ,                     ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           1.0               ,            1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               , 0.030625000000000003  , 0.042024999999999     , 0.07562500000000001   , 0.198024999999999     ,                       ,                       ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  ,                  21835.0,                   43734.0,                  86940.0,                 173339.0,                         ,                         ,                         ,                         ,                         ,                         ,                         ,                         , 2025-09-17 07:15:07+00:00, 2025-09-17 01:10:08+00:00, 2025-09-16 13:10:02+00:00, 2025-09-15 13:10:03+00:00,                          ,                          ,                          ,                          ,                          ,                          ,                          , 
 599915, BLSH  , will-blsh-beat-earnings-estimate-2025-09-17-neg0pt04   , Yes            , 2025-09-18T06:13:44Z, 2025-09-16T05:10:26Z    ,   7901.772928,         0.04225              , 0.138                 , BLSH.N , 2025-09-16,    7507996835.04    ,                    8.0, Financials            ,             31156943.0,        1298205.9583333333   , 0.066685926028605   , 0.0195               , 0.645                , 0.61                , 0.535                ,                      ,                     ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           1.0               ,            1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               , 0.96138025            , 0.126025              , 0.1521                , 0.21622499999999903   ,                       ,                       ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  ,                  21821.0,                   44320.0,                  86922.0,                 173018.0,                         ,                         ,                         ,                         ,                         ,                         ,                         ,                         , 2025-09-18 00:10:03+00:00, 2025-09-17 17:55:04+00:00, 2025-09-17 06:05:02+00:00, 2025-09-16 06:10:06+00:00,                          ,                          ,                          ,                          ,                          ,                          ,                          , 
 598105, FDS   , will-fds-beat-earnings-estimate-2025-09-18-4pt15       , No             , 2025-09-18T20:39:18Z, 2025-09-15T01:54:42Z    ,  21779.189819,         0.0738               , -0.1                  , FDS    , 2025-09-16,   13050520317.06    ,                   21.0, Financials            ,             47083338.0,         370734.94488188974  , 0.016406959024621002, 0.0025               , 0.8250000000000001   , 0.73                , 0.66                 , 0.65                 ,                     ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           1.0               ,            1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               , 6.2499999999999995e-06, 0.680624999999999     , 0.532899999999999     , 0.43560000000000004   , 0.42250000000000004   ,                       ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 1.0                  , 1.0                  , 1.0                  , 1.0                  , 1.0                  , 1.0                  , 1.0                  , 1.0                  , 1.0                  , 1.0                  , 1.0                  , 1.0                  ,                  22149.0,                   43455.0,                  86939.0,                 173353.0,                 259751.0,                         ,                         ,                         ,                         ,                         ,                         ,                         , 2025-09-18 14:30:09+00:00, 2025-09-18 08:35:03+00:00, 2025-09-17 20:30:19+00:00, 2025-09-16 20:30:05+00:00, 2025-09-15 20:30:07+00:00,                          ,                          ,                          ,                          ,                          ,                          , 
 598106, FDX   , will-fdx-beat-earnings-estimate-2025-09-18-3pt62       , Yes            , 2025-09-19T05:44:48Z, 2025-09-15T01:54:40Z    ,  13560.2346  ,         0.12660000000000002  , 0.20999999999999902   , FDX    , 2025-09-17,   53274023984.58    ,                   32.0, Industrials           ,            264257748.0,        2080769.6692913387   , 0.024145780277217   , 0.9955               , 0.63                 , 0.765               , 0.735                , 0.6950000000000001   ,  0.5                ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           1.0               ,            1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               ,           1.0               , 2.024999999999953e-05 , 0.1369                , 0.055224999999999004  , 0.07022500000000001   , 0.09302500000000001   , 0.25                  ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  , 0.0                  ,                  21881.0,                   43483.0,                  86675.0,                 173075.0,                 259185.0,                 345880.0,                         ,                         ,                         ,                         ,                         ,                         , 2025-09-18 23:40:07+00:00, 2025-09-18 17:40:05+00:00, 2025-09-18 05:40:13+00:00, 2025-09-17 05:40:13+00:00, 2025-09-16 05:45:03+00:00, 2025-09-15 05:40:08+00:00,                          ,                          ,                          ,                          ,                          , 
 613036, JEF   , jef-quarterly-earnings-gaap-eps-2025-09-29-0pt8        , Yes            , 2025-09-30T00:37:21Z, 2025-09-26T14:11:17Z    ,  45005.464553,         0.05888              , 0.20999999999999902   , JEF    , 2025-09-28,   13760953542.9099  ,                    4.0, Financials            ,            213651413.0,        1709211.304          , 0.030184629040120002, 0.545                , 0.535                , 0.525               , 0.525                , 0.5700000000000001   ,                     ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           0.8888888888888881,            0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881, 0.20702499999999902   , 0.21622499999999903   , 0.225625              , 0.225625              , 0.1849                ,                       ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 ,                  21733.0,                   43337.0,                  86535.0,                 172931.0,                 259336.0,                         ,                         ,                         ,                         ,                         ,                         ,                         , 2025-09-29 18:35:08+00:00, 2025-09-29 12:35:04+00:00, 2025-09-29 00:35:06+00:00, 2025-09-28 00:35:10+00:00, 2025-09-27 00:35:05+00:00,                          ,                          ,                          ,                          ,                          ,                          , 
 614619, CCL   , ccl-quarterly-earnings-nongaap-eps-2025-09-29-1pt32    , Yes            , 2025-09-29T22:45:27Z, 2025-09-26T19:33:49Z    ,  12102.393893,         0.030750000000000003 , 0.10999999999999902   , CCL    , 2025-09-27,   39757744798.2794  ,                   27.0, Consumer Discretionary,           2852707108.0,       22640532.603174604    , 0.031626245573149005, 0.9955               , 0.9                  , 0.86                , 0.79                 , 0.78                 ,                     ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           0.8888888888888881,            0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881, 2.024999999999953e-05 , 0.009999999999999001  , 0.019600000000000003  , 0.044099999999999     , 0.048399999999999006  ,                       ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 ,                  21921.0,                   43523.0,                  86716.0,                 173124.0,                 259522.0,                         ,                         ,                         ,                         ,                         ,                         ,                         , 2025-09-29 16:40:06+00:00, 2025-09-29 10:40:04+00:00, 2025-09-28 22:40:11+00:00, 2025-09-27 22:40:03+00:00, 2025-09-26 22:40:05+00:00,                          ,                          ,                          ,                          ,                          ,                          , 
 613037, NKE   , nke-quarterly-earnings-gaap-eps-2025-09-30-0pt27       , Yes            , 2025-09-30T22:32:59Z, 2025-09-26T14:11:15Z    , 159213.625713,         0.0393               , 0.21999999999999903   , NKE    , 2025-09-28,  102454136469.53    ,                   37.0, Consumer Discretionary,           2078316548.0,       16626532.384          , 0.029497947634059003, 0.915                , 0.8150000000000001   , 0.795               , 0.8150000000000001   , 0.805                ,  0.8150000000000001 ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           0.8888888888888881,            0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881, 0.0072249999999990005 , 0.034225000000000005  , 0.042024999999999     , 0.034225000000000005  , 0.038024999999999004  , 0.034225000000000005  ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 ,                  21769.0,                   43375.0,                  86574.0,                 172973.0,                 259369.0,                 345776.0,                         ,                         ,                         ,                         ,                         ,                         , 2025-09-30 16:30:10+00:00, 2025-09-30 10:30:04+00:00, 2025-09-29 22:30:05+00:00, 2025-09-28 22:30:06+00:00, 2025-09-27 22:30:10+00:00, 2025-09-26 22:30:03+00:00,                          ,                          ,                          ,                          ,                          , 
 614632, LW    , lw-quarterly-earnings-nongaap-eps-2025-09-30-0pt53     , Yes            , 2025-09-30T14:51:47Z, 2025-09-26T19:34:51Z    ,   6483.689158,         0.08916              , 0.20999999999999902   , LW     , 2025-09-28,    7695043945.59999 ,                   12.0, Consumer Staples      ,            253513669.0,        2028109.352          , 0.026168848192407   , 0.85                 , 0.8300000000000001   , 0.685               , 0.68                 , 0.685                ,                     ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           0.8888888888888881,            0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881, 0.022500000000000003  , 0.028900000000000002  , 0.09922499999999901   , 0.102399999999999     , 0.09922499999999901   ,                       ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 ,                  21704.0,                   43299.0,                  86502.0,                 172899.0,                 259601.0,                         ,                         ,                         ,                         ,                         ,                         ,                         , 2025-09-30 08:50:03+00:00, 2025-09-30 02:50:08+00:00, 2025-09-29 14:50:05+00:00, 2025-09-28 14:50:08+00:00, 2025-09-27 14:45:06+00:00,                          ,                          ,                          ,                          ,                          ,                          , 
 614635, UNFI  , unfi-quarterly-earnings-nongaap-eps-2025-09-30-neg0pt18, Yes            , 2025-09-30T15:25:21Z, 2025-09-26T19:27:09Z    ,  10879.427314,         0.10821000000000001  , 0.74                  , UNFI.N , 2025-09-28,    1917828919.62    ,                   11.0, Consumer Staples      ,             38244290.0,         305954.32           , 0.032105989133617   , 0.885                , 0.895                , 0.885               , 0.88                 , 0.755                ,                     ,                      ,                     ,                     ,                      ,                     ,                     ,            0.5,             0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,            0.5,           0.8888888888888881,            0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881,           0.8888888888888881, 0.013224999999999001  , 0.011024999999999001  , 0.013224999999999001  , 0.014400000000000001  , 0.060024999999999     ,                       ,                      ,                      ,                       ,                       ,                       ,                     ,          0.25,           0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25,          0.25, 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 , 0.012345679012345002 ,                  21617.0,                   43212.0,                  86419.0,                 172817.0,                 259513.0,                         ,                         ,                         ,                         ,                         ,                         ,                         , 2025-09-30 09:25:04+00:00, 2025-09-30 03:25:09+00:00, 2025-09-29 15:25:02+00:00, 2025-09-28 15:25:04+00:00, 2025-09-27 15:20:08+00:00,                          ,                          ,                          ,                          ,                          ,                          , 
