ric,ticker,company_name,market_cap_usd,gics_sector,gics_industry,trbc_industry,hq_country,hq_country_code,country_of_risk,exchange_country,country_source,primary_exchange,analysts_covering_latest,analysts_covering_sample_mean,analysts_covering_sample_median,turnover_6m_sum_volume_mean,turnover_6m_sum_volume_median,volatility_6m_mean,volatility_6m_median,sample_markets_n,market_ids,slugs,markets,retrieved_at_utc,notes
AAL.N,AAL,American Airlines Group Inc,8782004364.0,Industrials,Passenger Airlines,Airlines,United States of America,US,United States of America,United States of America,Country of Headquarters,New York Stock Exchange,26.0,24.5,24.5,161405284.0,161405284.0,0.02929411029471131,0.02929411029471131,2,"[""627739"", ""1139368""]","[""aal-quarterly-earnings-nongaap-eps-10-23-2025-neg0pt28"", ""aal-quarterly-earnings-nongaap-eps-01-22-2026-0pt4""]","[{""market_id"": ""627739"", ""slug"": ""aal-quarterly-earnings-nongaap-eps-10-23-2025-neg0pt28"", ""ticker"": ""AAL"", ""anchor_date"": ""2025-10-23"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-04-23"", ""turnover_6m_window_end"": ""2025-10-23"", ""turnover_6m_sum_volume"": 194664871.0, ""turnover_6m_avg_daily_volume"": 1520819.3046875, ""volatility_6m"": 0.029787289543109063, ""analysts_covering_asof_anchor"": 23.0}, {""market_id"": ""1139368"", ""slug"": ""aal-quarterly-earnings-nongaap-eps-01-22-2026-0pt4"", ""ticker"": ""AAL"", ""anchor_date"": ""2026-01-22"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""NO"", ""expected_resolution"": ""NO"", ""label"": ""MISS"", ""turnover_6m_window_start"": ""2025-07-23"", ""turnover_6m_window_end"": ""2026-01-22"", ""turnover_6m_sum_volume"": 128145697.0, ""turnover_6m_avg_daily_volume"": 1009021.2362204725, ""volatility_6m"": 0.028800931046313556, ""analysts_covering_asof_anchor"": 26.0}]",2026-01-31T10:45:17Z,[]
AAPL.N,AAPL,Apple Inc,3815057374440.0,Information Technology,"Technology Hardware, Storage & Peripherals",Phones & Handheld Devices,United States of America,US,United States of America,United States of America,Country of Headquarters,New York Stock Exchange,46.0,46.5,46.5,55864823.5,55864823.5,0.014903775347382683,0.014903775347382683,2,"[""647853"", ""1244866""]","[""aapl-quarterly-earnings-gaap-eps-10-30-2025-1pt76"", ""aapl-quarterly-earnings-gaap-eps-01-29-2026-2pt67""]","[{""market_id"": ""647853"", ""slug"": ""aapl-quarterly-earnings-gaap-eps-10-30-2025-1pt76"", ""ticker"": ""AAPL"", ""anchor_date"": ""2025-10-30"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-04-30"", ""turnover_6m_window_end"": ""2025-10-30"", ""turnover_6m_sum_volume"": 57091314.0, ""turnover_6m_avg_daily_volume"": 446025.890625, ""volatility_6m"": 0.0157758744238885, ""analysts_covering_asof_anchor"": 47.0}, {""market_id"": ""1244866"", ""slug"": ""aapl-quarterly-earnings-gaap-eps-01-29-2026-2pt67"", ""ticker"": ""AAPL"", ""anchor_date"": ""2026-01-29"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-07-30"", ""turnover_6m_window_end"": ""2026-01-29"", ""turnover_6m_sum_volume"": 54638333.0, ""turnover_6m_avg_daily_volume"": 430223.094488189, ""volatility_6m"": 0.014031676270876868, ""analysts_covering_asof_anchor"": 46.0}]",2026-01-31T10:45:17Z,[]
AB,AB,AllianceBernstein Holding LP,3870852897.54,Financials,Capital Markets,Investment Management & Fund Operators,United States of America,US,United States of America,United States of America,Country of Headquarters,New York Consolidated,7.0,7.0,7.0,25203856.0,25203856.0,0.012564045312116981,0.012564045312116981,1,"[""637864""]","[""ab-quarterly-earnings-nongaap-eps-10-23-2025-0pt85""]","[{""market_id"": ""637864"", ""slug"": ""ab-quarterly-earnings-nongaap-eps-10-23-2025-0pt85"", ""ticker"": ""AB"", ""anchor_date"": ""2025-10-23"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-04-23"", ""turnover_6m_window_end"": ""2025-10-23"", ""turnover_6m_sum_volume"": 25203856.0, ""turnover_6m_avg_daily_volume"": 196905.125, ""volatility_6m"": 0.012564045312116981, ""analysts_covering_asof_anchor"": 7.0}]",2026-01-31T10:45:17Z,[]
ABNB.N,ABNB,Airbnb Inc,78443467933.72,Consumer Discretionary,"Hotels, Restaurants & Leisure",Online Services,United States of America,US,United States of America,United States of America,Country of Headquarters,New York Stock Exchange,38.0,41.0,41.0,9703431.0,9703431.0,0.01742869748364462,0.01742869748364462,1,"[""648227""]","[""abnb-quarterly-earnings-gaap-eps-11-06-2025-2pt32""]","[{""market_id"": ""648227"", ""slug"": ""abnb-quarterly-earnings-gaap-eps-11-06-2025-2pt32"", ""ticker"": ""ABNB"", ""anchor_date"": ""2025-11-06"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""NO"", ""expected_resolution"": ""NO"", ""label"": ""MISS"", ""turnover_6m_window_start"": ""2025-05-07"", ""turnover_6m_window_end"": ""2025-11-06"", ""turnover_6m_sum_volume"": 9703431.0, ""turnover_6m_avg_daily_volume"": 75808.0546875, ""volatility_6m"": 0.01742869748364462, ""analysts_covering_asof_anchor"": 41.0}]",2026-01-31T10:45:17Z,[]
ABT,ABT,Abbott Laboratories,190058703807.1,Health Care,Health Care Equipment & Supplies,"Medical Equipment, Supplies & Distribution",United States of America,US,United States of America,United States of America,Country of Headquarters,New York Consolidated,31.0,30.0,30.0,807948068.0,807948068.0,0.01365831132503687,0.01365831132503687,1,"[""614644""]","[""abt-quarterly-earnings-nongaap-eps-2025-10-15-1pt30""]","[{""market_id"": ""614644"", ""slug"": ""abt-quarterly-earnings-nongaap-eps-2025-10-15-1pt30"", ""ticker"": ""ABT"", ""anchor_date"": ""2025-10-15"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""NO"", ""expected_resolution"": ""NO"", ""label"": ""TIE"", ""turnover_6m_window_start"": ""2025-04-15"", ""turnover_6m_window_end"": ""2025-10-15"", ""turnover_6m_sum_volume"": 807948068.0, ""turnover_6m_avg_daily_volume"": 6361795.811023622, ""volatility_6m"": 0.01365831132503687, ""analysts_covering_asof_anchor"": 30.0}]",2026-01-31T10:45:17Z,[]
ACM,ACM,AECOM,12466372041.4,Industrials,Construction & Engineering,Construction & Engineering,United States of America,US,United States of America,United States of America,Country of Headquarters,New York Consolidated,14.0,14.0,14.0,115660805.0,115660805.0,0.012436374911099333,0.012436374911099333,1,"[""675008""]","[""acm-quarterly-earnings-nongaap-eps-11-18-2025-1pt34""]","[{""market_id"": ""675008"", ""slug"": ""acm-quarterly-earnings-nongaap-eps-11-18-2025-1pt34"", ""ticker"": ""ACM"", ""anchor_date"": ""2025-11-18"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-05-19"", ""turnover_6m_window_end"": ""2025-11-18"", ""turnover_6m_sum_volume"": 115660805.0, ""turnover_6m_avg_daily_volume"": 903600.0390625, ""volatility_6m"": 0.012436374911099333, ""analysts_covering_asof_anchor"": 14.0}]",2026-01-31T10:45:17Z,[]
ACN,ACN,Accenture PLC,162219472624.56,Information Technology,IT Services,IT Services & Consulting,Ireland,IE,Ireland,United States of America,Country of Headquarters,New York Consolidated,29.0,26.0,26.0,537903562.5,537903562.5,0.01854037868325922,0.01854037868325922,2,"[""598110"", ""703120""]","[""will-acn-beat-earnings-estimate-2025-09-25-2pt99"", ""acn-quarterly-earnings-gaap-eps-12-18-2025-3pt44""]","[{""market_id"": ""598110"", ""slug"": ""will-acn-beat-earnings-estimate-2025-09-25-2pt99"", ""ticker"": ""ACN"", ""anchor_date"": ""2025-09-25"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-03-26"", ""turnover_6m_window_end"": ""2025-09-25"", ""turnover_6m_sum_volume"": 504046163.0, ""turnover_6m_avg_daily_volume"": 3968867.42519685, ""volatility_6m"": 0.018708173703960867, ""analysts_covering_asof_anchor"": 25.0}, {""market_id"": ""703120"", ""slug"": ""acn-quarterly-earnings-gaap-eps-12-18-2025-3pt44"", ""ticker"": ""ACN"", ""anchor_date"": ""2025-12-18"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-06-18"", ""turnover_6m_window_end"": ""2025-12-18"", ""turnover_6m_sum_volume"": 571760962.0, ""turnover_6m_avg_daily_volume"": 4466882.515625, ""volatility_6m"": 0.018372583662557573, ""analysts_covering_asof_anchor"": 27.0}]",2026-01-31T10:45:17Z,[]
ADBE.N,ADBE,Adobe Inc,120379125000.0,Information Technology,Software,Software,United States of America,US,United States of America,United States of America,Country of Headquarters,New York Stock Exchange,39.0,39.0,39.0,7461283.0,7461283.0,0.017732598255907638,0.017732598255907638,1,"[""701961""]","[""adbe-quarterly-earnings-nongaap-eps-12-10-2025-5pt4""]","[{""market_id"": ""701961"", ""slug"": ""adbe-quarterly-earnings-nongaap-eps-12-10-2025-5pt4"", ""ticker"": ""ADBE"", ""anchor_date"": ""2025-12-10"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-06-10"", ""turnover_6m_window_end"": ""2025-12-10"", ""turnover_6m_sum_volume"": 7461283.0, ""turnover_6m_avg_daily_volume"": 58291.2734375, ""volatility_6m"": 0.017732598255907638, ""analysts_covering_asof_anchor"": 39.0}]",2026-01-31T10:45:17Z,[]
ADI.N,ADI,Analog Devices Inc,151904857613.6,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,United States of America,US,United States of America,United States of America,Country of Headquarters,New York Stock Exchange,36.0,35.0,35.0,6910284.0,6910284.0,0.016954343614823016,0.016954343614823016,1,"[""675613""]","[""adi-quarterly-earnings-nongaap-eps-11-25-2025-2pt23""]","[{""market_id"": ""675613"", ""slug"": ""adi-quarterly-earnings-nongaap-eps-11-25-2025-2pt23"", ""ticker"": ""ADI"", ""anchor_date"": ""2025-11-25"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-05-26"", ""turnover_6m_window_end"": ""2025-11-25"", ""turnover_6m_sum_volume"": 6910284.0, ""turnover_6m_avg_daily_volume"": 53986.59375, ""volatility_6m"": 0.016954343614823016, ""analysts_covering_asof_anchor"": 35.0}]",2026-01-31T10:45:17Z,[]
ADSK.N,ADSK,Autodesk Inc,53608440000.0,Information Technology,Software,Software,United States of America,US,United States of America,United States of America,Country of Headquarters,New York Stock Exchange,32.0,30.0,30.0,2657133.0,2657133.0,0.0164426937183756,0.0164426937183756,1,"[""675615""]","[""adsk-quarterly-earnings-nongaap-eps-11-25-2025-2pt5""]","[{""market_id"": ""675615"", ""slug"": ""adsk-quarterly-earnings-nongaap-eps-11-25-2025-2pt5"", ""ticker"": ""ADSK"", ""anchor_date"": ""2025-11-25"", ""bucket"": ""correct"", ""status"": ""MATCHED_CORRECT"", ""polymarket_resolved_outcome"": ""YES"", ""expected_resolution"": ""YES"", ""label"": ""BEAT"", ""turnover_6m_window_start"": ""2025-05-26"", ""turnover_6m_window_end"": ""2025-11-25"", ""turnover_6m_sum_volume"": 2657133.0, ""turnover_6m_avg_daily_volume"": 20758.8515625, ""volatility_6m"": 0.0164426937183756, ""analysts_covering_asof_anchor"": 30.0}]",2026-01-31T10:45:17Z,[]
