ric,ticker,company_name,hq_country,hq_country_code,country_of_risk,exchange_country,primary_exchange,retrieved_at_utc,market_id,slug,anchor_date,bucket,status,polymarket_resolved_outcome,expected_resolution,label,turnover_6m_window_start,turnover_6m_window_end,turnover_6m_sum_volume,turnover_6m_avg_daily_volume,volatility_6m,analysts_covering_asof_anchor
AAL.N,AAL,American Airlines Group Inc,United States of America,US,United States of America,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,627739,aal-quarterly-earnings-nongaap-eps-10-23-2025-neg0pt28,2025-10-23,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-04-23,2025-10-23,194664871.0,1520819.3046875,0.029787289543109063,23.0
AAL.N,AAL,American Airlines Group Inc,United States of America,US,United States of America,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,1139368,aal-quarterly-earnings-nongaap-eps-01-22-2026-0pt4,2026-01-22,correct,MATCHED_CORRECT,NO,NO,MISS,2025-07-23,2026-01-22,128145697.0,1009021.2362204725,0.028800931046313556,26.0
AAPL.N,AAPL,Apple Inc,United States of America,US,<NA>,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,647853,aapl-quarterly-earnings-gaap-eps-10-30-2025-1pt76,2025-10-30,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-04-30,2025-10-30,57091314.0,446025.890625,0.0157758744238885,47.0
AAPL.N,AAPL,Apple Inc,United States of America,US,<NA>,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,1244866,aapl-quarterly-earnings-gaap-eps-01-29-2026-2pt67,2026-01-29,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-07-30,2026-01-29,54638333.0,430223.094488189,0.014031676270876868,46.0
AB,AB,AllianceBernstein Holding LP,United States of America,US,United States of America,United States of America,New York Consolidated,2026-02-02T16:09:21Z,637864,ab-quarterly-earnings-nongaap-eps-10-23-2025-0pt85,2025-10-23,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-04-23,2025-10-23,25203856.0,196905.125,0.012564045312116981,7.0
ABNB.N,ABNB,Airbnb Inc,United States of America,US,<NA>,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,648227,abnb-quarterly-earnings-gaap-eps-11-06-2025-2pt32,2025-11-06,correct,MATCHED_CORRECT,NO,NO,MISS,2025-05-07,2025-11-06,9703431.0,75808.0546875,0.01742869748364462,41.0
ABT,ABT,Abbott Laboratories,United States of America,US,United States of America,United States of America,New York Consolidated,2026-02-02T16:09:21Z,614644,abt-quarterly-earnings-nongaap-eps-2025-10-15-1pt30,2025-10-15,correct,MATCHED_CORRECT,NO,NO,TIE,2025-04-15,2025-10-15,807948068.0,6361795.811023622,0.01365831132503687,30.0
ACM,ACM,AECOM,United States of America,US,United States of America,United States of America,New York Consolidated,2026-02-02T16:09:21Z,675008,acm-quarterly-earnings-nongaap-eps-11-18-2025-1pt34,2025-11-18,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-05-19,2025-11-18,115660805.0,903600.0390625,0.012436374911099333,14.0
ACN,ACN,Accenture PLC,Ireland,IE,Ireland,United States of America,New York Consolidated,2026-02-02T16:09:21Z,598110,will-acn-beat-earnings-estimate-2025-09-25-2pt99,2025-09-25,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-03-26,2025-09-25,504046163.0,3968867.42519685,0.018708173703960867,25.0
ACN,ACN,Accenture PLC,Ireland,IE,Ireland,United States of America,New York Consolidated,2026-02-02T16:09:21Z,703120,acn-quarterly-earnings-gaap-eps-12-18-2025-3pt44,2025-12-18,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-06-18,2025-12-18,571760962.0,4466882.515625,0.018372583662557573,27.0
ADBE.N,ADBE,Adobe Inc,United States of America,US,<NA>,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,701961,adbe-quarterly-earnings-nongaap-eps-12-10-2025-5pt4,2025-12-10,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-06-10,2025-12-10,7461283.0,58291.2734375,0.017732598255907638,39.0
ADI.N,ADI,Analog Devices Inc,United States of America,US,<NA>,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,675613,adi-quarterly-earnings-nongaap-eps-11-25-2025-2pt23,2025-11-25,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-05-26,2025-11-25,6910284.0,53986.59375,0.016954343614823016,35.0
ADSK.N,ADSK,Autodesk Inc,United States of America,US,<NA>,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,675615,adsk-quarterly-earnings-nongaap-eps-11-25-2025-2pt5,2025-11-25,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-05-26,2025-11-25,2657133.0,20758.8515625,0.0164426937183756,30.0
AEO,AEO,American Eagle Outfitters Inc,United States of America,US,United States of America,United States of America,New York Consolidated,2026-02-02T16:09:21Z,696258,aeo-quarterly-earnings-gaap-eps-12-02-2025-0pt43,2025-12-02,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-06-02,2025-12-02,1377491741.0,10761654.2265625,0.04668781843933986,12.0
AKAM.N,AKAM,Akamai Technologies Inc,United States of America,US,<NA>,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,657073,akam-quarterly-earnings-nongaap-eps-11-06-2025-1pt64,2025-11-06,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-05-07,2025-11-06,3190236.0,24923.71875,0.01897827623474622,26.0
ALL,ALL,Allstate Corp,United States of America,US,United States of America,United States of America,New York Consolidated,2026-02-02T16:09:21Z,647504,all-quarterly-earnings-nongaap-eps-11-05-2025-7pt51,2025-11-05,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-05-06,2025-11-05,184660254.0,1442658.234375,0.014967169549239082,24.0
ALLY.N,ALLY,Ally Financial Inc,United States of America,US,United States of America,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,1126201,ally-quarterly-earnings-nongaap-eps-01-21-2026-1pt04,2026-01-21,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-07-22,2026-01-21,126862581.0,998917.9606299213,0.01752789870914431,20.0
AMAT.N,AMAT,Applied Materials Inc,United States of America,US,<NA>,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,668506,amat-quarterly-earnings-nongaap-eps-11-13-2025-2pt1,2025-11-13,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-05-14,2025-11-13,12174147.0,95110.5234375,0.026061207373392088,35.0
AMC,AMC,AMC Entertainment Holdings Inc,United States of America,US,United States of America,United States of America,New York Consolidated,2026-02-02T16:09:21Z,658909,amc-quarterly-earnings-nongaap-eps-11-05-2025-neg0pt22,2025-11-05,incorrect,MATCHED_INCORRECT,YES,NO,MISS,2025-05-06,2025-11-05,1941388653.0,15167098.8515625,0.03730164319325134,7.0
AMD.N,AMD,Advanced Micro Devices Inc,United States of America,US,<NA>,United States of America,New York Stock Exchange,2026-02-02T16:09:21Z,657445,amd-quarterly-earnings-nongaap-eps-11-04-2025-1pt17,2025-11-04,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-05-05,2025-11-04,59275924.0,463093.15625,0.03491468422945587,54.0
AMP,AMP,Ameriprise Financial Inc,United States of America,US,United States of America,United States of America,New York Consolidated,2026-02-02T16:09:21Z,627672,amp-quarterly-earnings-nongaap-eps-10-30-2025-9pt68,2025-10-30,correct,MATCHED_CORRECT,YES,YES,BEAT,2025-04-30,2025-10-30,61240630.0,478442.421875,0.01411624084044657,16.0
