ric,seen_in_static,kept_from_static_rule,kept_from_suffix_fallback,kept_final_us_equity_universe,from_polymarket_seed,from_exchange_screen_any,source_exchange_mics
A.N,1,1,0,1,0,1,XNYS
AA.N,1,1,0,1,0,1,XNYS
AACB.OQ,1,1,0,1,0,1,XNMS
AACG.OQ,1,1,0,1,0,1,XNCM
AACI.OQ,1,1,0,1,0,1,XNMS
AACOU.OQ,1,1,0,1,0,1,XNMS
AADR.OQ,1,1,0,1,0,1,XNMS
AAEQ.OQ,1,1,0,1,0,1,XNMS
AAL.N,1,1,0,1,1,0,
AAL.OQ,1,1,0,1,0,1,XNGS
AAME.OQ,1,1,0,1,0,1,XNMS
AAMI.N,1,1,0,1,0,1,XNYS
AAOI.OQ,1,1,0,1,0,1,XNMS
AAON.OQ,1,1,0,1,0,1,XNGS
AAP.N,1,1,0,1,0,1,XNYS
AAPB.OQ,1,1,0,1,0,1,XNMS
AAPD.OQ,1,1,0,1,0,1,XNMS
AAPL.N,1,1,0,1,1,0,
AAPL.OQ,1,1,0,1,0,1,XNGS
AAPU.OQ,1,1,0,1,0,1,XNMS
AARD.OQ,1,1,0,1,0,1,XNGS
AAT.N,1,1,0,1,0,1,XNYS
AAUC.N,1,1,0,1,0,1,XNYS
AAVM.OQ,1,1,0,1,0,1,XNMS
AAXJ.OQ,1,1,0,1,0,1,XNMS
AB,1,1,0,1,1,0,
AB.N,1,1,0,1,0,1,XNYS
ABAT.OQ,1,1,0,1,0,1,XNCM
ABBV.N,1,1,0,1,0,1,XNYS
ABCB.N,1,1,0,1,0,1,XNYS
ABCL.OQ,1,1,0,1,0,1,XNGS
ABEO.OQ,1,1,0,1,0,1,XNCM
ABG.N,1,1,0,1,0,1,XNYS
ABIG.OQ,1,1,0,1,0,1,XNMS
ABLV.OQ,1,1,0,1,0,1,XNCM
ABM.N,1,1,0,1,0,1,XNYS
ABNB.N,1,1,0,1,1,0,
ABNB.OQ,1,1,0,1,0,1,XNGS
ABOS.OQ,1,1,0,1,0,1,XNGS
ABR.N,1,1,0,1,0,1,XNYS
ABSI.OQ,1,1,0,1,0,1,XNGS
ABT,1,1,0,1,1,0,
ABT.N,1,1,0,1,0,1,XNYS
ABTC.OQ,1,1,0,1,0,1,XNCM
ABTS.OQ,1,1,0,1,0,1,XNCM
