id,ticker,slug,question,startDate,endDate,closedTime,umaEndDate,acceptingOrdersTimestamp,resolutionSource,resolvedOutcome,umaResolutionStatus,automaticallyResolved,closed,active,archived,restricted,resolvedBy,conditionId,questionID,clobTokenId_yes,clobTokenId_no,enableOrderBook,orderPriceMinTickSize,orderMinSize,feesEnabled,acceptingOrders,volumeNum,liquidityNum,rewardsMinSize,rewardsMaxSpread,umaBond,umaReward,customLiveness,category,createdAt,updatedAt,tags
549606,AVGO,will-broadcom-beat-q2-earnings-estimate,Will Broadcom beat Q2 earnings forecast ($1.57 EPS)?,2025-06-03T21:34:19.809928Z,2025-06-05T00:00:00Z,2025-06-05 23:46:44+00,2025-06-05T23:46:44Z,2025-06-03T21:33:54Z,,Yes,resolved,True,True,True,False,True,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,0x1bd9458239cf4e0d6ce46cf6dcca970b2db6ace510ecc710a044a5a031fe7c9a,0x2a39969a54cfe769b3385bc5855cf78a87554cf681bf377c1a40c6a8622eab23,84886573341175623685628120099839739650936705130532091968343465331021017857431,112752769356302515946683319389849930733858256104729063655552512731309901237386,True,0.001,5,False,False,4894.410265,,100,3.5,500,5,,,2025-06-03T19:18:21.048432Z,2025-06-07T00:25:00.791406Z,"tech,earnings,economy,big-tech"
598104,GIS,will-gis-beat-earnings-estimate-2025-09-17-0pt82,Will General Mills (GIS) beat its quarterly EPS estimate?,2025-09-15T01:55:02.520714Z,2025-09-24T11:00:00Z,2025-09-17 13:19:02+00,2025-09-17T13:19:02Z,2025-09-15T01:54:40Z,,Yes,resolved,True,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,0x0c34c74198cab30b9502db7d619941879ab26c0e4938d85355a1332b9c7e60ec,0x961049d4c70826dd8d9c518d64cd2f44e1d29cde8b77aebacf966a4d647077e1,5428877363374569103327832233869538984563542810768246904881515286534437138777,26256591164742384874879458865677939838511004302204355558154215179409659735295,True,0.001,5,False,False,18668.050719,,100,3.5,500,5,0,,2025-09-15T01:53:58.762914Z,2025-09-18T16:48:23.069225Z,"tech,earnings,economy,big-tech"
599915,BLSH,will-blsh-beat-earnings-estimate-2025-09-17-neg0pt04,Will Bullish (BLSH) beat its quarterly EPS estimate?,2025-09-16T05:10:45.26Z,2025-09-24T20:00:00Z,2025-09-18 06:13:44+00,2025-09-18T06:13:44Z,2025-09-16T05:10:26Z,,Yes,resolved,True,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,0xfbc0c088a52d0cda3ee32b6cbd102abde570875a76ae1e90d261f89a2974ed7f,0x957009e895ef8582ded385e730eda4ef703a2c41efbaf72d624b934cbb8833b7,84168101423063717584312131882025997653331315733971766618452205834197949074445,60203237745945405858344548477412078564883573113184567269480043730388381369290,True,0.001,5,False,False,7901.772928,,50,3.5,500,5,0,,2025-09-16T05:09:44.203657Z,2025-09-19T08:43:39.885817Z,"tech,earnings,economy,big-tech"
598105,FDS,will-fds-beat-earnings-estimate-2025-09-18-4pt15,Will Factset Research (FDS) beat its quarterly EPS estimate?,2025-09-15T01:55:04.424343Z,2025-09-25T11:00:00Z,2025-09-18 20:39:18+00,2025-09-18T20:39:18Z,2025-09-15T01:54:42Z,,No,resolved,True,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,0xd10fcc3d3f8c1143e26b12ff6c5c317e191f758ec8020f0f6959e5f884c1cd7e,0xdf0a993765f1bf100cecd3ae1f5ebbfc6a8a50c4849d140c92a7f7a89e06ba0a,65117997926338660550823541454747266315883653557059798559901840489059408578394,105878396632976286338459929454752578699623790694629246869407339129554486236772,True,0.001,5,False,False,21779.189819,,100,3.5,500,5,0,,2025-09-15T01:54:00.393785Z,2025-09-20T00:47:45.425746Z,"tech,earnings,economy,big-tech"
598106,FDX,will-fdx-beat-earnings-estimate-2025-09-18-3pt62,Will Fedex (FDX) beat its quarterly EPS estimate?,2025-09-15T01:55:02.878312Z,2025-09-25T20:00:00Z,2025-09-19 05:44:48+00,2025-09-19T05:44:48Z,2025-09-15T01:54:40Z,,Yes,resolved,True,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,0x0f84778f8e5251b4d1b96583923fcc501afd7d7f21a63da633ddf9ff8373a461,0x309ce89178b7b4c9871a0ed2cca7c04f2cec5f24f06b472cb53b57084bdc7e74,84388150352578106506668610467258394711186407451981263501047004342334475779682,93513731849476907381365387524179879297234460786857679434236915037319870584251,True,0.001,5,False,False,13560.2346,,100,3.5,500,5,0,,2025-09-15T01:54:02.0677Z,2025-09-20T08:37:08.938961Z,"tech,earnings,economy,big-tech"
613036,JEF,jef-quarterly-earnings-gaap-eps-2025-09-29-0pt8,Will Jefferies (JEF) beat quarterly earnings?,2025-09-26T14:11:38.327Z,2025-09-29T00:00:00Z,2025-09-30 00:37:21+00,2025-09-30T00:37:21Z,2025-09-26T14:11:17Z,,Yes,resolved,True,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,0xa2b6311d774ff38d03219de5959ad70d1587cfc62bdbe7e566970122b127a0f0,0x0c07d746f2b6fed6d82c39dbc12c026c82ec271e40f1cab5ded46abf1a994c6d,99903289143456391059296445132710190947476702286514365139844224843249085030279,8281308349722233584132121148517055809214399347568330079245723823647094595289,True,0.001,5,False,False,45005.464553,,200,3.5,500,5,0,,2025-09-25T22:39:34.724124Z,2025-10-03T22:33:10.800667Z,"earnings,economy,finance"
614619,CCL,ccl-quarterly-earnings-nongaap-eps-2025-09-29-1pt32,Will Carnival Corporation (CCL) beat quarterly earnings?,2025-09-26T19:34:10.989Z,2025-09-29T00:00:00Z,2025-09-29 22:45:27+00,2025-09-29T22:45:27Z,2025-09-26T19:33:49Z,,Yes,resolved,True,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,0xafd5a0364fbb3a05d2876a43914e16aac732299d1c10c7e2d9546007bf973458,0xe68bf0dbec43c23618a4ed09b7ecb94f0b0c72fcb61a03df61100423c0a3e0cb,72644755948825200035358029619849753313650897666061401891172445259217157804042,46764598531069732123504778788768745495945264303951346507717373939919152059221,True,0.001,5,False,False,12102.393893,,200,3.5,500,5,0,,2025-09-26T18:32:40.094069Z,2025-10-03T22:30:12.304781Z,"earnings,economy,finance"
613037,NKE,nke-quarterly-earnings-gaap-eps-2025-09-30-0pt27,Will NIKE (NKE) beat quarterly earnings?,2025-09-26T14:11:37.416Z,2025-09-30T00:00:00Z,2025-09-30 22:32:59+00,2025-09-30T22:32:59Z,2025-09-26T14:11:15Z,,Yes,resolved,True,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,0xe1d6ecbcb948c292f2cf8a30055d7207dab2e31864b341fd444dffb8dc8766f7,0x14c580b2297736defe4dc998a67fdb123b498605bdde747db951d438dfaa3d27,25728332598819476870302430602973194339892923874392580037430699514183190555584,18842150430026461956910961028753281044612924339973886311518451839771319699460,True,0.001,5,False,False,159213.625713,,100,3.5,500,5,0,,2025-09-25T22:41:25.785392Z,2025-10-03T22:33:38.79613Z,"earnings,economy,finance"
614632,LW,lw-quarterly-earnings-nongaap-eps-2025-09-30-0pt53,Will Lamb Weston Holdings (LW) beat quarterly earnings?,2025-09-26T19:35:13.398Z,2025-09-30T00:00:00Z,2025-09-30 14:51:47+00,2025-09-30T14:51:47Z,2025-09-26T19:34:51Z,,Yes,resolved,True,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,0x13fd1703dbea9cf94b03760e1685bdafb7ea06dc5b3da0e0e583eeeafc0a4657,0x3394a346f0897495580ccbe7e89b87765ab0f96d09eb7b604a90a4e011002dce,113646448047795727628364436137196788325585393529053070986897876162628909659555,55614036481074149399022919461699573635707843570483093435635417060561482683546,True,0.001,5,False,False,6483.689158,,200,3.5,500,5,0,,2025-09-26T18:34:52.891894Z,2025-10-03T22:31:00.926884Z,"earnings,economy,finance"
614635,UNFI,unfi-quarterly-earnings-nongaap-eps-2025-09-30-neg0pt18,Will United Natural Foods (UNFI) beat quarterly earnings?,2025-09-26T19:27:28.91Z,2025-09-30T00:00:00Z,2025-09-30 15:25:21+00,2025-09-30T15:25:21Z,2025-09-26T19:27:09Z,,Yes,resolved,True,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,0x0c13dce63866c82f731e1e0ee3e36187aeea083b8f62fc66dbe53b731fbf4c11,0x80dbbc9a26189ebf18faf096f9dfe376f7bfbfdbc23e9d376c81e3a2c7469392,37216459003785477722970296001274966159809149191834883819015196309077552125002,92663588158849771023659089616557144005110420986983163324575545095188608131357,True,0.001,5,False,False,10879.427314,,200,3.5,500,5,0,,2025-09-26T18:47:22.072639Z,2025-10-03T22:31:38.428222Z,"earnings,economy,finance"
