run_id,market_id,slug,reason,earnings_release_datetime_raw,corporate_info_join_method,yes_token_id,no_token_id,startTs,endTs,earnings_release_ts,observed_end_ts
20260412T141052Z,1273386,tpg-quarterly-earnings-gaap-eps-02-09-2026-0pt68,missing_or_invalid_earnings_release_datetime,,market_id,,,,,,
20260412T141052Z,1387100,eb-quarterly-earnings-gaap-eps-02-26-2026-neg0pt01,missing_or_invalid_earnings_release_datetime,,market_id,,,,,,
20260412T141052Z,1428289,pxlw-quarterly-earnings-nongaap-eps-03-12-2026-neg0pt64,no_snapshot_prices_found,,,115499036865267214999146188163600682955437213159227984229545553475465158338959,67652528505335908396732405193692591824510489956044744929667509573617751561522,1771955606.0,1773882745.0,1773345900.0,1773882634.0
20260412T141052Z,1435177,pd-quarterly-earnings-nongaap-eps-03-12-2026-0pt25,no_snapshot_prices_found,,,79889327743405529772948873218652670225867147711579075300684310231744143105370,105804545521507761344362400890956444698307619117218935921141668404727641837022,1772028159.0,1773354977.0,1773345900.0,1773354634.0
20260412T141052Z,1435537,adbe-quarterly-earnings-nongaap-eps-03-12-2026-5pt87,no_snapshot_prices_found,,,61968408640837072959493017952622773141090827412137819929836918048378195042742,32217702023272097369417400711172360708403118063449511529696214953554177538135,1772032234.0,1773355451.0,1773345900.0,1773355227.0
20260412T141052Z,1435538,rbrk-quarterly-earnings-nongaap-eps-03-12-2026-neg0pt11,no_snapshot_prices_found,,,71683466559714862123329104955196049893861881720065466624121860146812577848529,48894475548054602016566146968302736129794146148362116074303176859423831398429,1772032237.0,1773355507.0,1773345900.0,1773355227.0
20260412T141052Z,1435567,bzfd-quarterly-earnings-gaap-eps-03-12-2026-0pt03,no_snapshot_prices_found,,,105624198971624475491070666188652165984771968988405475981252683036879161382225,51474640022219686030474814947354139164111842759932104173221439403931267807393,1772032697.0,1773356931.0,1773346500.0,1773357033.0
20260412T141052Z,599653,will-cnxc-beat-earnings-estimate-2025-09-25-2pt91,missing_or_invalid_earnings_release_datetime,,market_id,,,,,,
20260412T141052Z,599654,will-kmx-beat-earnings-estimate-2025-09-25-1pt03,missing_or_invalid_earnings_release_datetime,,market_id,,,,,,
20260412T141052Z,658508,eb-quarterly-earnings-gaap-eps-11-06-2025-neg0pt04,missing_or_invalid_earnings_release_datetime,,market_id,,,,,,
20260412T141052Z,899878,brze-quarterly-earnings-nongaap-eps-12-09-2025-0pt07,no_snapshot_prices_found,,,73592276728481968660366127297340476591927356952632355856475899188015746163037,9313847378855178845178976392116532061876267229647332800434025244531038349328,1765251940.0,1765325704.0,1765314300.0,1765325407.0
