"horizon","horizon_seconds","model","n","mean","sd","ci_low","ci_high"
"1w",604800,"Polymarket",364,0.169950743131868,0.218349395358309,0.148912936383928,0.193269636864698
"1w",604800,"Dice (0.5)",364,0.25,0,0.25,0.25
"1w",604800,"Historical rate",364,0.200332031960542,0.242460041833916,0.177127173534616,0.225177180615978
"6d",518400,"Polymarket",448,0.168634131696428,0.210864505644007,0.150146211049107,0.188903006389509
"6d",518400,"Dice (0.5)",448,0.25,0,0.25,0.25
"6d",518400,"Historical rate",448,0.192860295142293,0.238715438903983,0.172835626874853,0.215485139156552
"5d",432000,"Polymarket",496,0.162154084173387,0.209385649552627,0.144588625075604,0.18074451859879
"5d",432000,"Dice (0.5)",496,0.25,0,0.25,0.25
"5d",432000,"Historical rate",496,0.19719899799236,0.243002481819514,0.176282218028565,0.219830400872265
"4d",345600,"Polymarket",515,0.160592852427184,0.215292797598573,0.142850023907767,0.179117620825242
"4d",345600,"Dice (0.5)",515,0.25,0,0.25,0.25
"4d",345600,"Historical rate",515,0.195784758079465,0.242232432762654,0.176239359860754,0.217913608206761
"3d",259200,"Polymarket",530,0.158538375943396,0.211121507939886,0.141265015082547,0.177048797535377
"3d",259200,"Dice (0.5)",530,0.25,0,0.25,0.25
"3d",259200,"Historical rate",530,0.194235500626944,0.243042659724792,0.173549802925407,0.214827813488912
"2d",172800,"Polymarket",545,0.159497697247706,0.214860498371233,0.142162035424312,0.177327301123853
"2d",172800,"Dice (0.5)",545,0.25,0,0.25,0.25
"2d",172800,"Historical rate",545,0.194366114324142,0.242624650831421,0.174328714234733,0.215742234678886
"1d",86400,"Polymarket",546,0.155604144230769,0.213598557181539,0.138727554750457,0.174070420398351
"1d",86400,"Dice (0.5)",546,0.25,0,0.25,0.25
"1d",86400,"Historical rate",546,0.194094232003671,0.242485193726391,0.174471596538559,0.214721021928372
"12h",43200,"Polymarket",546,0.151929882783882,0.221473735349404,0.134124781009615,0.170876944505494
"12h",43200,"Dice (0.5)",546,0.25,0,0.25,0.25
"12h",43200,"Historical rate",546,0.194094232003671,0.242485193726391,0.174471596538559,0.214721021928372
"6h",21600,"Polymarket",547,0.1327359488117,0.208153625953412,0.116512549748629,0.149897710511883
"6h",21600,"Dice (0.5)",547,0.25,0,0.25,0.25
"6h",21600,"Historical rate",547,0.194792570162702,0.242812968036063,0.175733308838819,0.215520569346866
