"horizon","horizon_seconds","baseline","n","mean_diff","sd_diff","median_diff","q25_diff","q75_diff","min_diff","max_diff","share_negative","share_zero","share_positive","ci_low","ci_high","boot_ci_low","boot_ci_high"
"1w",604800,"Dice (0.5)",431,-0.0816182244779586,0.213337005785783,-0.179775,-0.225975,-0.00497500000000001,-0.247975,0.68219025,0.761020881670534,0.0139211136890951,0.225058004640371,-0.101815824475504,-0.0614206244804136,-0.101539853378771,-0.0612393669518565
"1w",604800,"Historical rate",431,-0.0327928548352427,0.169373009799929,-0.022183641975308,-0.050969155355258,0.030712740249487,-0.701408922996878,0.516214390732903,0.603248259860789,0,0.396751740139211,-0.0488281802103174,-0.016757529460168,-0.0488643107560144,-0.0170662528342588
"6d",518400,"Dice (0.5)",507,-0.0822543387573968,0.205291531266733,-0.179775,-0.222775,-0.00497500000000001,-0.248775,0.66107025,0.755424063116371,0.00788954635108481,0.236686390532544,-0.100166796939495,-0.0643418805752987,-0.0997759038338268,-0.0641229139053258
"6d",518400,"Historical rate",507,-0.0266239189143349,0.175129136984612,-0.016937131519274,-0.0487717933130705,0.034213997983826,-0.637928423408685,0.479544407297839,0.583826429980276,0.0019723865877712,0.414201183431953,-0.0419045947578402,-0.0113432430708295,-0.0418638134925603,-0.0115237502017193
"5d",432000,"Dice (0.5)",559,-0.0888518439177106,0.206763237434613,-0.1875,-0.2275,-0.031437500000001,-0.248877750000001,0.669681,0.76386404293381,0.00894454382826476,0.227191413237925,-0.106029287528547,-0.0716744003068745,-0.105882730064848,-0.0713836636180684
"5d",432000,"Historical rate",559,-0.0345635658041464,0.174667139380679,-0.020106407803287,-0.052828822706568,0.0275130554708805,-0.649703798185941,0.558674063724779,0.608228980322004,0,0.391771019677996,-0.0490745348458576,-0.0200525967624351,-0.0490551923730612,-0.0201126484527797
"4d",345600,"Dice (0.5)",593,-0.0918452078414843,0.208990304812352,-0.1875,-0.228975,-0.060775,-0.248877750000001,0.662025,0.782462057335582,0.00337268128161889,0.214165261382799,-0.108700476963832,-0.0749899387191368,-0.108235806924537,-0.0746078609401353
"4d",345600,"Historical rate",593,-0.0378191680798397,0.181558104776051,-0.020245746691872,-0.05360372830221,0.029779253308128,-0.734211111111111,0.541300872207681,0.620573355817875,0,0.379426644182125,-0.0524620038807224,-0.0231763322789569,-0.0524071940597797,-0.0233723209507126
"3d",259200,"Dice (0.5)",614,-0.0908433241042349,0.209457891940559,-0.189975000000001,-0.228975,-0.042975000000001,-0.249516,0.65345025,0.770358306188925,0.00325732899022801,0.226384364820847,-0.107443739805649,-0.0742429084028207,-0.106968457471499,-0.0739919803949516
"3d",259200,"Historical rate",614,-0.0365980484948108,0.184223281509772,-0.020700468137611,-0.0534859971321995,0.0293668847185875,-0.734211111111111,0.597893592196714,0.623778501628665,0.00162866449511401,0.374592833876221,-0.0511985155701155,-0.021997581419506,-0.0514876137561981,-0.0223211837435525
"2d",172800,"Dice (0.5)",626,-0.0928370682907352,0.210612674002991,-0.194775000000001,-0.22860625,-0.047500000000001,-0.249297750000001,0.658208999999999,0.781150159744409,0.00319488817891374,0.215654952076677,-0.109367616672075,-0.0763065199093957,-0.109141415025959,-0.0761863075778758
"2d",172800,"Historical rate",626,-0.0388369422639562,0.185434855272507,-0.0198242045422895,-0.054123571490812,0.025165592560554,-0.832681250000001,0.52636152405449,0.624600638977636,0.00319488817891374,0.37220447284345,-0.0533913363011608,-0.0242825482267516,-0.0536396541831201,-0.0245375233613556
"1d",86400,"Dice (0.5)",631,-0.0934703030903332,0.20907463121001,-0.197100000000001,-0.231775,-0.0564000000000009,-0.248593750000001,0.637363999999999,0.774960380348653,0.00158478605388273,0.223454833597464,-0.109814737545959,-0.0771258686347069,-0.109412166907687,-0.0769074264164029
"1d",86400,"Historical rate",631,-0.0410199183194241,0.188987018804796,-0.024374999999999,-0.0561947709873025,0.022129065743945,-0.866213148788927,0.536763878390179,0.656101426307448,0,0.343898573692552,-0.0557940012578582,-0.0262458353809901,-0.0558572837855339,-0.0264048645725693
"12h",43200,"Dice (0.5)",632,-0.0964753026107599,0.210214834644564,-0.197100000000001,-0.2331324375,-0.060775,-0.249297750000001,0.644915999999999,0.784810126582278,0.00316455696202532,0.212025316455696,-0.112895816129458,-0.0800547890920615,-0.112660946726662,-0.0798964245549845
"12h",43200,"Historical rate",632,-0.0430914120939825,0.19888277251928,-0.0285245908655465,-0.0567265096894645,0.0276064946378685,-0.836750308641976,0.630713973641056,0.642405063291139,0.00158227848101266,0.356012658227848,-0.0586267441285217,-0.0275560800594433,-0.0585455219212756,-0.0277394100672509
"6h",21600,"Dice (0.5)",632,-0.0948004655854434,0.217535861986552,-0.194775000000001,-0.234375,-0.0604481875,-0.249447750000001,0.68026025,0.789556962025316,0.00316455696202532,0.207278481012658,-0.111792846587439,-0.0778080845834481,-0.111492031180776,-0.0775695846914561
"6h",21600,"Historical rate",632,-0.0412442740208472,0.20702552232379,-0.026860083194958,-0.0590480403197315,0.030335297207021,-0.7424,0.780645680554247,0.659810126582278,0,0.340189873417722,-0.0574156607537639,-0.0250728872879304,-0.0571947445104604,-0.0251460383343464
