dataset,n_rows,n_cols,field,missing_n,missing_pct
markets,424,22,__ALL__,848,
markets,424,22,market_id,0,0.0
markets,424,22,slug,0,0.0
markets,424,22,ticker,0,0.0
markets,424,22,resolvedOutcome,0,0.0
markets,424,22,volumeNum,0,0.0
markets,424,22,tags,0,0.0
prices,424,24,__ALL__,0,
prices,424,24,market_id,0,0.0
prices,424,24,slug,0,0.0
prices,424,24,observed_span_hours,0,0.0
prices,424,24,prices_yes,0,0.0
prices,424,24,prices_no,0,0.0
validation,389,25,__ALL__,392,
validation,389,25,market_id,0,0.0
validation,389,25,slug,0,0.0
validation,389,25,polymarket_estimate,1,0.2570694087403599
validation,389,25,eikon_eps_mean_estimate,1,0.2570694087403599
validation,389,25,eikon_actual_eps,0,0.0
validation,389,25,surprise,0,0.0
validation,389,25,label,0,0.0
corporate_info,386,27,__ALL__,1,
corporate_info,386,27,ticker,0,0.0
corporate_info,386,27,market_cap,0,0.0
corporate_info,386,27,hq_country,0,0.0
corporate_info,386,27,main_exchange,0,0.0
corporate_info,386,27,gics_sector,0,0.0
corporate_info,386,27,gics_industry,0,0.0
corporate_info,386,27,turnover_6m_sum_volume_mean,0,0.0
corporate_info,386,27,analyst_coverage,0,0.0
