end_date_utc,end_source,n_markets
2025-06-05,prices,1
2025-09-17,prices,1
2025-09-18,prices,2
2025-09-19,prices,1
2025-09-24,prices,2
2025-09-26,prices,1
2025-09-28,prices,1
2025-09-29,prices,1
2025-09-30,prices,5
2025-10-06,prices,1
2025-10-07,prices,1
2025-10-08,prices,3
2025-10-09,prices,4
2025-10-11,prices,5
2025-10-13,prices,1
2025-10-14,prices,3
2025-10-15,prices,9
2025-10-17,prices,9
2025-10-19,prices,1
2025-10-21,prices,15
2025-10-22,prices,10
2025-10-23,prices,24
2025-10-24,prices,5
2025-10-27,prices,2
2025-10-28,prices,14
2025-10-29,prices,15
2025-10-30,prices,21
2025-10-31,prices,9
2025-11-01,prices,1
2025-11-02,prices,1
2025-11-03,prices,9
2025-11-04,prices,14
2025-11-05,prices,19
2025-11-06,prices,39
2025-11-07,prices,16
2025-11-10,prices,10
2025-11-11,prices,4
2025-11-12,prices,7
2025-11-13,prices,8
2025-11-14,prices,2
2025-11-15,prices,3
2025-11-18,prices,5
2025-11-19,prices,11
2025-11-20,prices,4
2025-11-21,prices,1
2025-11-22,prices,1
2025-11-25,prices,4
2025-11-26,prices,13
2025-12-01,prices,1
2025-12-02,prices,2
2025-12-03,prices,10
2025-12-04,prices,8
2025-12-05,prices,1
2025-12-09,prices,5
2025-12-10,prices,6
2025-12-11,prices,3
2025-12-12,prices,4
2025-12-16,prices,1
2025-12-17,prices,2
2025-12-18,prices,7
2025-12-19,prices,4
2026-01-07,prices,1
2026-01-08,prices,1
2026-01-13,prices,4
2026-01-14,prices,3
2026-01-15,prices,4
2026-01-16,prices,3
2026-01-20,prices,4
2026-01-21,prices,10
2026-01-22,prices,1
