uma_end_date,resolved_outcome_std,n_markets,n_signed
2025-06-05,YES,1,1
2025-09-17,YES,1,1
2025-09-18,NO,1,-1
2025-09-18,YES,1,1
2025-09-19,YES,1,1
2025-09-24,YES,2,2
2025-09-26,YES,1,1
2025-09-28,YES,1,1
2025-09-29,YES,1,1
2025-09-30,YES,5,5
2025-10-06,YES,1,1
2025-10-07,YES,1,1
2025-10-08,NO,1,-1
2025-10-08,YES,2,2
2025-10-09,YES,4,4
2025-10-11,NO,2,-2
2025-10-11,YES,3,3
2025-10-13,NO,1,-1
2025-10-14,NO,2,-2
2025-10-14,YES,1,1
2025-10-15,NO,1,-1
2025-10-15,YES,8,8
2025-10-17,NO,1,-1
2025-10-17,YES,8,8
2025-10-21,NO,4,-4
2025-10-21,YES,11,11
2025-10-22,NO,4,-4
2025-10-22,YES,6,6
2025-10-23,NO,4,-4
2025-10-23,YES,20,20
2025-10-24,YES,5,5
2025-10-27,YES,2,2
2025-10-28,NO,2,-2
2025-10-28,YES,12,12
2025-10-29,NO,4,-4
2025-10-29,YES,11,11
2025-10-30,NO,7,-7
2025-10-30,YES,14,14
2025-10-31,YES,9,9
2025-11-01,NO,1,-1
2025-11-02,YES,1,1
2025-11-03,NO,2,-2
2025-11-03,YES,7,7
2025-11-04,NO,5,-5
2025-11-04,YES,9,9
2025-11-05,NO,7,-7
2025-11-05,YES,12,12
2025-11-06,NO,11,-11
2025-11-06,YES,27,27
2025-11-07,NO,6,-6
2025-11-07,YES,10,10
2025-11-10,NO,1,-1
2025-11-10,YES,8,8
2025-11-11,NO,3,-3
2025-11-11,YES,1,1
2025-11-12,NO,3,-3
2025-11-12,YES,4,4
2025-11-13,NO,2,-2
2025-11-13,YES,6,6
2025-11-14,NO,1,-1
2025-11-14,YES,1,1
2025-11-15,NO,1,-1
2025-11-15,YES,2,2
2025-11-18,NO,2,-2
2025-11-18,YES,3,3
2025-11-19,NO,2,-2
2025-11-19,YES,9,9
2025-11-20,NO,1,-1
2025-11-20,YES,3,3
2025-11-21,YES,1,1
2025-11-22,NO,1,-1
2025-11-25,YES,4,4
2025-11-26,NO,1,-1
2025-11-26,YES,12,12
2025-12-01,YES,1,1
2025-12-02,NO,1,-1
2025-12-02,YES,1,1
2025-12-03,YES,10,10
2025-12-04,YES,8,8
2025-12-05,YES,1,1
2025-12-09,NO,1,-1
2025-12-09,YES,4,4
2025-12-10,NO,2,-2
2025-12-10,YES,3,3
2025-12-11,YES,3,3
2025-12-12,NO,1,-1
2025-12-12,YES,3,3
2025-12-16,NO,1,-1
2025-12-17,YES,2,2
2025-12-18,NO,1,-1
2025-12-18,YES,6,6
2025-12-19,YES,4,4
2026-01-07,NO,1,-1
2026-01-08,NO,1,-1
2026-01-13,NO,2,-2
2026-01-13,YES,2,2
2026-01-14,NO,2,-2
2026-01-14,YES,1,1
2026-01-15,YES,4,4
2026-01-16,NO,1,-1
2026-01-16,YES,2,2
2026-01-20,YES,4,4
2026-01-21,NO,1,-1
2026-01-21,YES,9,9
2026-01-22,NO,2,-2
2026-01-22,YES,3,3
2026-01-23,YES,1,1
2026-01-27,NO,1,-1
2026-01-27,YES,1,1
2026-01-28,NO,2,-2
2026-01-28,YES,4,4
2026-01-29,NO,1,-1
2026-01-29,YES,2,2
2026-01-30,NO,1,-1
2026-01-30,YES,6,6
2026-02-02,NO,1,-1
2026-02-02,YES,3,3
2026-02-03,NO,1,-1
2026-02-03,YES,7,7
2026-02-04,NO,4,-4
2026-02-04,YES,9,9
2026-02-05,NO,6,-6
2026-02-05,YES,10,10
2026-02-06,YES,3,3
2026-02-09,YES,4,4
2026-02-10,NO,7,-7
2026-02-10,YES,6,6
2026-02-11,NO,2,-2
2026-02-11,YES,10,10
2026-02-12,NO,5,-5
2026-02-12,YES,9,9
2026-02-13,NO,3,-3
2026-02-13,YES,3,3
2026-02-17,NO,3,-3
2026-02-17,YES,3,3
2026-02-18,NO,2,-2
2026-02-18,YES,9,9
2026-02-19,NO,1,-1
2026-02-19,YES,3,3
2026-02-20,NO,3,-3
2026-02-20,YES,4,4
2026-02-23,NO,1,-1
2026-02-23,YES,2,2
2026-02-24,NO,2,-2
2026-02-24,YES,6,6
2026-02-25,NO,4,-4
2026-02-25,YES,1,1
2026-02-26,NO,11,-11
2026-02-26,YES,16,16
2026-03-02,YES,1,1
2026-03-03,YES,6,6
2026-03-04,NO,2,-2
2026-03-04,YES,6,6
2026-03-05,NO,2,-2
2026-03-05,YES,8,8
2026-03-06,NO,1,-1
2026-03-06,YES,1,1
2026-03-09,NO,1,-1
2026-03-09,YES,3,3
2026-03-10,YES,4,4
2026-03-11,NO,1,-1
2026-03-11,YES,1,1
2026-03-12,NO,1,-1
2026-03-12,YES,3,3
2026-03-16,NO,1,-1
2026-03-16,YES,2,2
2026-03-17,NO,1,-1
2026-03-17,YES,2,2
2026-03-18,NO,2,-2
2026-03-18,YES,4,4
2026-03-19,NO,1,-1
2026-03-19,YES,3,3
2026-03-24,YES,1,1
2026-03-25,NO,2,-2
2026-03-25,YES,2,2
2026-03-26,YES,1,1
2026-03-27,YES,1,1
2026-03-30,YES,1,1
2026-03-31,NO,3,-3
2026-03-31,YES,3,3
2026-04-01,NO,3,-3
2026-04-01,YES,1,1
2026-04-08,YES,1,1
2026-04-09,YES,1,1
