bin_label,n_obs,avg_resolved_yes,avg_yes_price,snapshot,bin_lower,bin_upper,bin_midpoint
0.0-0.2,2,0.0,0.058,4w,0.0,0.2,0.1
0.2-0.4,0,,,4w,0.2,0.4,0.30000000000000004
0.4-0.6,0,,,4w,0.4,0.6,0.5
0.6-0.8,1,0.0,0.635,4w,0.6,0.8,0.7
0.8-1.0,1,1.0,0.885,4w,0.8,1.0,0.9
0.0-0.2,3,0.0,0.0205,3w,0.0,0.2,0.1
0.2-0.4,0,,,3w,0.2,0.4,0.30000000000000004
0.4-0.6,5,0.6,0.5,3w,0.4,0.6,0.5
0.6-0.8,9,1.0,0.6733333333333333,3w,0.6,0.8,0.7
0.8-1.0,2,1.0,0.9025,3w,0.8,1.0,0.9
0.0-0.2,3,0.0,0.04983333333333334,2w,0.0,0.2,0.1
0.2-0.4,3,0.3333333333333333,0.3666666666666667,2w,0.2,0.4,0.30000000000000004
0.4-0.6,22,0.7272727272727273,0.5234090909090909,2w,0.4,0.6,0.5
0.6-0.8,36,0.8055555555555556,0.7133333333333334,2w,0.6,0.8,0.7
0.8-1.0,34,0.8823529411764706,0.8536029411764706,2w,0.8,1.0,0.9
0.0-0.2,4,0.0,0.056,1w,0.0,0.2,0.1
0.2-0.4,17,0.4117647058823529,0.33852941176470586,1w,0.2,0.4,0.30000000000000004
0.4-0.6,34,0.6470588235294118,0.5159705882352941,1w,0.4,0.6,0.5
0.6-0.8,91,0.7252747252747253,0.7125164835164836,1w,0.6,0.8,0.7
0.8-1.0,131,0.8778625954198473,0.866206106870229,1w,0.8,1.0,0.9
0.0-0.2,5,0.0,0.0358,6d,0.0,0.2,0.1
0.2-0.4,29,0.4482758620689655,0.3279310344827586,6d,0.2,0.4,0.30000000000000004
0.4-0.6,56,0.6607142857142857,0.5059821428571428,6d,0.4,0.6,0.5
0.6-0.8,121,0.8016528925619835,0.7216363636363636,6d,0.6,0.8,0.7
0.8-1.0,151,0.8609271523178808,0.8621788079470198,6d,0.8,1.0,0.9
0.0-0.2,6,0.0,0.0535,5d,0.0,0.2,0.1
0.2-0.4,31,0.3870967741935484,0.3287096774193548,5d,0.2,0.4,0.30000000000000004
0.4-0.6,52,0.6153846153846154,0.49961538461538463,5d,0.4,0.6,0.5
0.6-0.8,132,0.7196969696969697,0.7204848484848485,5d,0.6,0.8,0.7
0.8-1.0,188,0.898936170212766,0.866468085106383,5d,0.8,1.0,0.9
0.0-0.2,6,0.16666666666666666,0.09283333333333332,4d,0.0,0.2,0.1
0.2-0.4,32,0.34375,0.319984375,4d,0.2,0.4,0.30000000000000004
0.4-0.6,48,0.5625,0.48760416666666667,4d,0.4,0.6,0.5
0.6-0.8,137,0.7591240875912408,0.7179963503649635,4d,0.6,0.8,0.7
0.8-1.0,203,0.8768472906403941,0.8742758620689656,4d,0.8,1.0,0.9
0.0-0.2,3,0.0,0.005333333333333333,3d,0.0,0.2,0.1
0.2-0.4,40,0.3,0.31961249999999997,3d,0.2,0.4,0.30000000000000004
0.4-0.6,53,0.6415094339622641,0.4980188679245283,3d,0.4,0.6,0.5
0.6-0.8,129,0.7596899224806202,0.7223992248062016,3d,0.6,0.8,0.7
0.8-1.0,214,0.8785046728971962,0.8711775700934579,3d,0.8,1.0,0.9
0.0-0.2,6,0.0,0.0655,2d,0.0,0.2,0.1
0.2-0.4,37,0.35135135135135137,0.32525675675675675,2d,0.2,0.4,0.30000000000000004
0.4-0.6,56,0.5535714285714286,0.4946607142857143,2d,0.4,0.6,0.5
0.6-0.8,128,0.8125,0.7183984375,2d,0.6,0.8,0.7
0.8-1.0,221,0.8642533936651584,0.8710904977375565,2d,0.8,1.0,0.9
0.0-0.2,8,0.125,0.03937499999999999,1d,0.0,0.2,0.1
0.2-0.4,40,0.375,0.3137375,1d,0.2,0.4,0.30000000000000004
0.4-0.6,53,0.5849056603773585,0.4960377358490566,1d,0.4,0.6,0.5
0.6-0.8,120,0.7833333333333333,0.723025,1d,0.6,0.8,0.7
0.8-1.0,228,0.8728070175438597,0.8759188596491227,1d,0.8,1.0,0.9
0.0-0.2,24,0.2916666666666667,0.08235416666666666,12h,0.0,0.2,0.1
0.2-0.4,40,0.375,0.312475,12h,0.2,0.4,0.30000000000000004
0.4-0.6,46,0.5652173913043478,0.4965978260869565,12h,0.4,0.6,0.5
0.6-0.8,113,0.8053097345132744,0.7198761061946903,12h,0.6,0.8,0.7
0.8-1.0,226,0.8893805309734514,0.8950353982300885,12h,0.8,1.0,0.9
0.0-0.2,29,0.13793103448275862,0.043896551724137936,6h,0.0,0.2,0.1
0.2-0.4,39,0.3333333333333333,0.3237051282051282,6h,0.2,0.4,0.30000000000000004
0.4-0.6,45,0.6222222222222222,0.48377777777777775,6h,0.4,0.6,0.5
0.6-0.8,93,0.7419354838709677,0.7198709677419356,6h,0.6,0.8,0.7
0.8-1.0,244,0.9262295081967213,0.914280737704918,6h,0.8,1.0,0.9
