snapshot_label,prob_bin,n,mean_prob,observed_yes_rate,observed_yes_n,ci_low_95,ci_high_95
1w,"[0,0.2]",2,0.11000000000000001,0,0,0,0.6576197724933468
1w,"(0.2,0.4]",31,0.31032258064516127,0.3225806451612903,10,0.18569426566359173,0.4985899069191435
1w,"(0.4,0.6]",50,0.523,0.54,27,0.4039887139915749,0.6703034780777565
1w,"(0.6,0.8]",166,0.7157198795180723,0.7168674698795181,119,0.644030185637065,0.779894576314092
1w,"(0.8,1]",182,0.8661263736263737,0.8681318681318682,158,0.8112856234033923,0.9097590823922481
6d,"[0,0.2]",4,0.147375,0,0,0,0.4898908364545972
6d,"(0.2,0.4]",37,0.33837837837837836,0.3783783783783784,14,0.24063999175798262,0.5389956956078235
6d,"(0.4,0.6]",69,0.5028260869565218,0.6086956521739131,42,0.49073991842972764,0.7151867645726524
6d,"(0.6,0.8]",193,0.71739896373057,0.7253886010362695,140,0.658485359323848,0.7834947017935086
6d,"(0.8,1]",204,0.8622352941176471,0.8774509803921569,179,0.825351293652429,0.9155980860998396
5d,"[0,0.2]",4,0.125,0,0,0,0.4898908364545972
5d,"(0.2,0.4]",43,0.32790697674418606,0.3023255813953488,13,0.18602000135848176,0.451053641777296
5d,"(0.4,0.6]",61,0.5049180327868853,0.5409836065573771,33,0.4172404813075648,0.6598706770614424
5d,"(0.6,0.8]",208,0.7187451923076923,0.7211538461538461,150,0.6566241339912929,0.7776629055341958
5d,"(0.8,1]",243,0.8631831275720164,0.8930041152263375,217,0.8478448963289349,0.925931117281253
4d,"[0,0.2]",7,0.1515,0,0,0,0.3543304350666873
4d,"(0.2,0.4]",46,0.33010869565217393,0.34782608695652173,16,0.2268099337075434,0.4922994115793723
4d,"(0.4,0.6]",63,0.49563492063492065,0.5079365079365079,32,0.3876288627495474,0.6273319118601532
4d,"(0.6,0.8]",213,0.7183661971830986,0.7370892018779343,157,0.6741463100963933,0.7916317774948581
4d,"(0.8,1]",264,0.870030303030303,0.8825757575757576,233,0.8381467200796882,0.9160307731635384
3d,"[0,0.2]",6,0.16066666666666668,0.16666666666666666,1,0.030053369748306635,0.5635028221864702
3d,"(0.2,0.4]",49,0.3296938775510204,0.24489795918367346,12,0.14602345258339758,0.3808631898760394
3d,"(0.4,0.6]",75,0.5041333333333333,0.5866666666666667,44,0.47366515860704367,0.6912227086959366
3d,"(0.6,0.8]",203,0.7187709359605912,0.7241379310344828,147,0.6589235378388707,0.7810269465506525
3d,"(0.8,1]",281,0.8709768683274022,0.8896797153024911,250,0.8476644022004255,0.9211843493356321
2d,"[0,0.2]",8,0.1389375,0,0,0,0.3244075648838801
2d,"(0.2,0.4]",53,0.335188679245283,0.32075471698113206,17,0.21092214079135074,0.45481479850967377
2d,"(0.4,0.6]",76,0.5034473684210526,0.5394736842105263,41,0.42822623982108743,0.6469226876737701
2d,"(0.6,0.8]",199,0.7257562814070352,0.7537688442211056,150,0.6894813247514346,0.8084444966620321
2d,"(0.8,1]",290,0.8704741379310345,0.8758620689655172,254,0.8329277125345751,0.9089689581221903
1d,"[0,0.2]",11,0.1479090909090909,0,0,0,0.25883296696803165
1d,"(0.2,0.4]",54,0.3181481481481482,0.35185185185185186,19,0.23823011108114728,0.48515169279763687
1d,"(0.4,0.6]",75,0.5093,0.5866666666666667,44,0.47366515860704367,0.6912227086959366
1d,"(0.6,0.8]",198,0.7232045454545455,0.7121212121212122,141,0.6454905148416947,0.7706777019894242
1d,"(0.8,1]",293,0.8741689419795222,0.8873720136518771,260,0.8460477911754521,0.9186701862318695
12h,"[0,0.2]",15,0.16366666666666668,0.13333333333333333,2,0.03736125910306534,0.3788198283232236
12h,"(0.2,0.4]",59,0.30779661016949156,0.3389830508474576,20,0.23137653685587656,0.46627529433071624
12h,"(0.4,0.6]",77,0.5136298701298702,0.5324675324675324,41,0.4221502098286919,0.639699243075046
12h,"(0.6,0.8]",189,0.720452380952381,0.7354497354497355,139,0.6683274714969182,0.7931915428492297
12h,"(0.8,1]",292,0.8822619863013699,0.9006849315068494,263,0.8610062270691508,0.9299579634563717
6h,"[0,0.2]",17,0.1502058823529412,0.35294117647058826,6,0.17309720397243744,0.5869963651478131
6h,"(0.2,0.4]",64,0.3151484375,0.3125,20,0.21231066539482046,0.4339233570274814
6h,"(0.4,0.6]",73,0.5031712328767124,0.5068493150684932,37,0.39472240623307775,0.6182914018771178
6h,"(0.6,0.8]",171,0.7144649122807017,0.7894736842105263,135,0.7223505130172437,0.8438767460536606
6h,"(0.8,1]",307,0.8846270358306189,0.8697068403908795,267,0.8274381203233324,0.9028376957187702
