ric,n_markets
AAL.N,2
AAPL.N,2
ABNB.N,2
ACM,2
ACN,2
ALL,2
AMAT.N,2
AMD.N,2
AMZN.N,2
APO,2
APP.N,2
ARES.N,2
ARM.N,2
AVGO.N,2
AXP,2
BAC,2
BGC.N,2
BK,2
BLK,2
BLSH.N,2
BUD,2
C,2
CBOE.N,2
CCL,2
CFG,2
CHGG.N,2
CME.N,2
CMG,2
COIN.N,2
COP,2
CRSP.N,2
CSCO.N,2
CVS,2
CVX,2
DAL,2
DD,2
DDOG.N,2
DIS,2
DKNG.N,2
EFX,2
EL,2
EXPE.N,2
F,2
FDS,2
FDX,2
FOXA.N,2
GIS,2
GOOGL.N,2
GRAB.N,2
GS,2
GT.N,2
GTM.N,2
H,2
HAL,2
HLT,2
HOG,2
HOOD.N,2
HUBS.N,2
HUM,2
IBKR.N,2
IBM,2
ICE,2
JEF,2
JNJ,2
JPM,2
KEY,2
KHC.N,2
KKR,2
KMI,2
KMX,2
KO,2
LH,2
LLY,2
LMT,2
LW,2
LYFT.N,2
LZB,2
MA,2
MAR.N,2
MCD,2
MET,2
META.N,2
MGM,2
MKC,2
MMM,2
MPC,2
MRNA.N,2
MS,2
MSFT.N,2
MU.N,2
NFLX.N,2
NKE,2
NWSA.N,2
NYT,2
ORLY.N,2
PAG,2
PANW.N,2
PEP.N,2
PFE,2
PG,2
PINS.N,2
PLTR.N,2
PTON.N,2
PYPL.N,2
QCOM.N,2
RBLX.N,2
RDDT.N,2
RIVN.N,2
RL,2
ROKU.N,2
SBUX.N,2
SCHW.N,2
SPGI.N,2
STT,2
SUN,2
T,2
TFC,2
TMUS.N,2
TOST.N,2
TRIP.N,2
TSEM.N,2
TSLA.N,2
TSN,2
TW.N,2
TXN.N,2
UAA,2
UBER.N,2
UHAL.B,2
UNFI.N,2
UNP,2
UNTY.N,2
USB,2
USFD.N,2
VZ,2
WAY.N,2
WDFC.N,2
WEN.N,2
WFC,2
WMB,2
XOM,2
YELP.N,2
AB,1
ABT,1
ADBE.N,1
ADI.N,1
ADSK.N,1
AEO,1
AFL,1
AKAM.N,1
ALLY.N,1
AMC,1
AMP,1
AMPL.N,1
ANF,1
APLD.N,1
APTV.N,1
ARCC.N,1
AS,1
ASAN.N,1
ASO.N,1
ATO,1
AVR.N,1
AZO,1
AZZ,1
BA,1
BBBY.N,1
BBW,1
BBWI.N,1
BBY,1
BCSF.N,1
BEN,1
BFC.N,1
BIRD.N,1
BJ,1
BKNG.N,1
BMBL.N,1
BP,1
BRKA,1
BRZE.N,1
BTM.N,1
BURL.N,1
BX,1
BYND.N,1
BYRN.N,1
BZFD.N,1
CAG,1
CASH.N,1
CASY.N,1
CAT,1
CB,1
CBRE.N,1
CBRL.N,1
CBT,1
CELH.N,1
CFLT.N,1
CGBD.N,1
CHDN.N,1
CHWY.N,1
CHYM.N,1
CI,1
CL,1
CLX,1
CNXC.N,1
COF,1
COST.N,1
COUR.N,1
CPB.N,1
CRCL.N,1
CRL,1
CRM,1
CRWD.N,1
CSGP.N,1
CTAS.N,1
CVNA.N,1
CXM,1
CZR.N,1
DASH.N,1
DBI,1
DBX.N,1
DE,1
DEFT.N,1
DELL.N,1
DG,1
DGX,1
DKS,1
DLB,1
DLTR.N,1
DOCU.N,1
DOW,1
DPZ.N,1
DY,1
EA.N,1
EB,1
EBAY.N,1
ED,1
ETOR.N,1
ETSY.N,1
EVR,1
EWBC.N,1
EWCZ.N,1
FAST.N,1
FCN,1
FEMY.N,1
FIG,1
FIS,1
FIVE.N,1
FLUT.N,1
FNF,1
FRGE.N,1
FRO,1
FSK,1
FTDR.N,1
GAMB.N,1
GAP,1
GBCI.N,1
GD,1
GETY.N,1
GM,1
GME,1
GPRO.N,1
GRMN.N,1
HAS.N,1
HD,1
HELE.N,1
HESM.N,1
HGV,1
HHH,1
HIMS.N,1
HNGE.N,1
HON.N,1
HPE,1
HPQ,1
HTZ.N,1
IART.N,1
ICUI.N,1
IEP.N,1
IHRT.N,1
IMAX.N,1
INTC.N,1
INTU.N,1
IOT,1
IVZ,1
JBL,1
JBLU.N,1
KBH,1
KFY,1
KR,1
KSS,1
LEN,1
LEVI.N,1
LOW,1
LULU.N,1
LUV,1
LVS,1
LYV,1
M,1
MAT.N,1
MBWM.N,1
MCHP.N,1
MCO,1
MDB.N,1
MKTX.N,1
MLKN.N,1
MNST.N,1
MOG.A,1
MRK,1
MRX.N,1
MSCI.N,1
MSTR.N,1
MTB,1
MTN,1
NDAQ.N,1
NEOG.N,1
NET,1
NMAX.N,1
NOC,1
NRIX.N,1
NTRS.N,1
NVDA.N,1
NXPI.N,1
OKLO.N,1
OKTA.N,1
OMC,1
ON.N,1
OPEN.N,1
ORCL.N,1
OS.N,1
OTIS.N,1
OTLY.N,1
OXY,1
PAYX.N,1
PCG,1
PD,1
PENG.N,1
PHM,1
PIPR.N,1
PJT,1
PLAY.N,1
PLBY.N,1
PM,1
PNC,1
POWL.N,1
PRGS.N,1
PSKY.N,1
PXLW.N,1
PZZA.N,1
QUBT.N,1
RBRK.N,1
RCL,1
REAL.N,1
RELL.N,1
RGP.N,1
RH,1
RJF,1
RUM.N,1
SAM,1
SEIC.N,1
SFBS.N,1
SG,1
SHAK.N,1
SHOP.N,1
SJM,1
SMTC.N,1
SNDK.N,1
SNEX.N,1
SNOW.N,1
SOFI.N,1
SONO.N,1
SPCE.N,1
SSNC.N,1
SSTK.N,1
STBA.N,1
STZ,1
SWBI.N,1
SYY,1
TBPH.N,1
TDOC.N,1
TFX,1
TGT,1
TKO,1
TPG.N,1
TSCO.N,1
TSM,1
UAL.N,1
UBSI.N,1
UNH,1
UPS,1
URBN.N,1
USAR.N,1
V,1
VIK,1
VIRT.N,1
VSCO.N,1
WB.N,1
WBD.N,1
WDAY.N,1
WING.N,1
WIX.N,1
WMT.N,1
WRBY.N,1
WSM,1
WTFC.N,1
WWD.N,1
WYNN.N,1
YUM,1
ZM.N,1
