ticker,n_markets
USB,2
GS,2
HAL,2
JNJ,2
BLK,2
BAC,2
MS,2
CFG,2
KMI,2
IBKR,2
SCHW,2
BLSH,2
BK,2
KEY,2
WDFC,2
MMM,2
STT,2
TFC,2
NFLX,2
C,2
FDS,2
GIS,2
FDX,2
JEF,2
CCL,2
NKE,2
LW,2
UNFI,2
MU,2
AVGO,2
ACN,2
KMX,2
DAL,2
UNTY,2
JPM,2
WFC,2
MDB,1
CRWD,1
OKTA,1
AEO,1
ASAN,1
DLTR,1
M,1
CXM,1
CRM,1
SNOW,1
FIVE,1
DG,1
KR,1
BBW,1
HPE,1
IOT,1
ALLY,1
DPZ,1
ABT,1
PD,1
GBCI,1
AXP,1
SFBS,1
OMC,1
EFX,1
KO,1
GM,1
LMT,1
NDAQ,1
NOC,1
PM,1
PHM,1
DGX,1
CB,1
EWBC,1
MAT,1
TXN,1
TSLA,1
MCO,1
T,1
CME,1
HLT,1
NTRS,1
CASH,1
CHDN,1
IBM,1
LVS,1
ORLY,1
RJF,1
SEIC,1
LUV,1
AAL,1
AB,1
BX,1
CBRE,1
DOW,1
FCN,1
HAS,1
HON,1
PCG,1
STBA,1
TMUS,1
TSCO,1
UNP,1
IMAX,1
SAM,1
COUR,1
INTC,1
SSNC,1
PG,1
GD,1
F,1
BBBY,1
CFLT,1
PIPR,1
RCL,1
ARCC,1
IVZ,1
JBLU,1
LH,1
MSCI,1
PYPL,1
SOFI,1
SYY,1
UPS,1
UNH,1
BKNG,1
CSGP,1
EA,1
EVR,1
VZ,1
OTIS,1
PAG,1
BA,1
CAT,1
CVS,1
ETSY,1
GRMN,1
KHC,1
OTLY,1
VIRT,1
TDOC,1
GOOGL,1
SBUX,1
MSFT,1
CVNA,1
CMG,1
EBAY,1
META,1
MGM,1
WAY,1
AMP,1
BUD,1
LLY,1
EL,1
ICE,1
MA,1
RBLX,1
HGV,1
SPGI,1
SHAK,1
TW,1
FOXA,1
AMZN,1
AAPL,1
ROKU,1
RDDT,1
MSTR,1
XOM,1
CBOE,1
CVX,1
CL,1
BRK.A,1
IART,1
ARES,1
HESM,1
GTM,1
CLX,1
COIN,1
PLTR,1
WMB,1
GRAB,1
HIMS,1
CBT,1
GT,1
HOG,1
SSTK,1
UBER,1
PFE,1
MAR,1
APO,1
PJT,1
HTZ,1
WING,1
MPC,1
SHOP,1
BYND,1
HNGE,1
TOST,1
LYV,1
PINS,1
CRSP,1
CGBD,1
RIVN,1
AMD,1
CRL,1
NYT,1
SUN,1
FTDR,1
IEP,1
MCD,1
FIS,1
HUM,1
SONO,1
ALL,1
UHAL.B,1
LYFT,1
CHYM,1
FSK,1
FRGE,1
APP,1
ARM,1
QCOM,1
HOOD,1
DASH,1
MET,1
TKO,1
ATO,1
HUBS,1
AMPL,1
BMBL,1
FIG,1
AMC,1
BGC,1
TFX,1
COP,1
DDOG,1
WBD,1
DD,1
RL,1
USFD,1
H,1
MRNA,1
WRBY,1
UAA,1
TRIP,1
PZZA,1
CELH,1
ABNB,1
MNST,1
ED,1
EXPE,1
SNDK,1
DKNG,1
OPEN,1
NWSA,1
FNF,1
AKAM,1
DBX,1
OS,1
PTON,1
ICUI,1
USAR,1
MRX,1
YELP,1
SG,1
GPRO,1
EB,1
BIRD,1
BZFD,1
KKR,1
BEN,1
MKTX,1
WEN,1
TSN,1
TSEM,1
HHH,1
ETOR,1
PSKY,1
OXY,1
GETY,1
CHGG,1
BCSF,1
REAL,1
TBPH,1
IHRT,1
OKLO,1
PXLW,1
FEMY,1
EWCZ,1
CRCL,1
FLUT,1
RUM,1
PLBY,1
CSCO,1
CPB,1
GAMB,1
BTM,1
AMAT,1
NMAX,1
SPCE,1
DEFT,1
QUBT,1
HD,1
ACM,1
AS,1
WB,1
LZB,1
DLB,1
POWL,1
WSM,1
LOW,1
TGT,1
VIK,1
DY,1
WIX,1
NVDA,1
PANW,1
WMT,1
AVR,1
BBWI,1
INTU,1
GAP,1
BJ,1
SNEX,1
WWD,1
ZM,1
SMTC,1
DOCU,1
SWBI,1
VSCO,1
ORCL,1
KFY,1
ASO,1
AZO,1
MLKN,1
DBI,1
CBRL,1
CASY,1
PLAY,1
GME,1
BRZE,1
CHWY,1
DIS,1
MTN,1
COST,1
LULU,1
RH,1
LEN,1
CTAS,1
PAYX,1
KBH,1
CAG,1
TSM,1
PNC,1
MTB,1
MBWM,1
UAL,1
WTFC,1
RBRK,1
BURL,1
ADI,1
ANF,1
KSS,1
DKS,1
BBY,1
SJM,1
URBN,1
DELL,1
JBL,1
ADSK,1
CNXC,1
STZ,1
PRGS,1
MKC,1
PENG,1
AZZ,1
RELL,1
RGP,1
LEVI,1
PEP,1
WDAY,1
APLD,1
HELE,1
NEOG,1
NRIX,1
BYRN,1
HPQ,1
FAST,1
DE,1
FRO,1
ADBE,1
