dataset,variable,n,min,mean,max,p0_05,p0_95,stdev,iqr
corporate_info_matched,analyst_coverage,393,1.0,20.58651399491094,69.0,3.0,45.0,12.90156596690497,17.0
corporate_info_matched,analysts_covering_latest,393,1.0,20.765903307888042,69.0,3.0,45.0,13.052920455169952,16.0
corporate_info_matched,analysts_covering_sample_mean,393,1.0,20.58651399491094,69.0,3.0,45.0,12.90156596690497,17.0
corporate_info_matched,market_cap,393,31298401.8048,130282387815.80621,4644459000000.0,429199722.0720001,398183049735.61926,457697437160.67554,76754620714.96
corporate_info_matched,sample_markets_n,393,1.0,1.1424936386768447,2.0,1.0,2.0,0.3500012982268076,0.0
corporate_info_matched,turnover_6m_sum_volume_mean,392,36280.0,361436436.8022959,11398005590.0,673519.8,1630985276.699999,885164344.101537,326230454.875
corporate_info_matched,turnover_6m_sum_volume_median,392,36280.0,361436436.8022959,11398005590.0,673519.8,1630985276.699999,885164344.101537,326230454.875
corporate_info_matched,volatility_6m_mean,392,0.009016253345329918,0.02638781537604506,0.1499363520022988,0.012100586062604375,0.057432205533913504,0.017064293623568306,0.016177630348175674
corporate_info_matched,volatility_6m_median,392,0.009016253345329918,0.02638781537604506,0.1499363520022988,0.012100586062604375,0.057432205533913504,0.017064293623568306,0.016177630348175674
markets,clobTokenId_no,450,3.8271930370515443e+73,5.801539250878772e+76,1.14783092110301e+77,6.066159322505597e+75,1.0935796596464518e+77,3.317310251428335e+76,5.84328891995815e+76
markets,clobTokenId_yes,450,5.925730366156767e+73,5.847584391428988e+76,1.1543534985511245e+77,4.2169830020976855e+75,1.1273770996598103e+77,3.4790385400344526e+76,6.248389075027413e+76
markets,customLiveness,449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
markets,id,450,549606.0,720198.04,1292721.0,613061.05,1139930.75,172037.1076537148,33502.5
markets,liquidityNum,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
markets,market_id,450,549606.0,720198.04,1292721.0,613061.05,1139930.75,172037.1076537148,33502.5
markets,orderMinSize,450,5.0,5.0,5.0,5.0,5.0,0.0,0.0
markets,orderPriceMinTickSize,450,0.001,0.0010000000000000005,0.001,0.001,0.001,4.341635412292813e-19,0.0
markets,rewardsMaxSpread,450,0.0,4.173333333333333,4.5,3.5,4.5,0.7078623046301153,1.0
markets,rewardsMinSize,450,0.0,81.24444444444444,200.0,50.0,200.0,50.297624466504594,50.0
markets,umaBond,450,500.0,500.0,500.0,500.0,500.0,0.0,0.0
markets,umaReward,450,5.0,5.0,5.0,5.0,5.0,0.0,0.0
markets,volumeNum,450,1336.252219,25406.110322437773,995129.929459,4108.82997085,63620.72939884998,60499.7208864528,16249.9614685
prices,complement_tolerance,450,0.05,0.05,0.05,0.05,0.05,0.0,0.0
prices,market_id,450,549606.0,720198.04,1292721.0,613061.05,1139930.75,172037.1076537148,33502.5
prices,no_token_id,450,3.8271930370515443e+73,5.801539250878772e+76,1.14783092110301e+77,6.066159322505597e+75,1.0935796596464518e+77,3.317310251428335e+76,5.84328891995815e+76
prices,observed_end_ts,450,1749167106.0,1763216767.5,1770044125.0,1760049142.65,1769113696.1,2775630.681654116,2453242.25
prices,observed_span_hours,450,9.000278,241.05619505111116,1308.003333,93.10416670000001,480.0022498,138.4393687274592,172.376597
prices,observed_start_ts,450,1748987406.0,1762348965.1977777,1769695513.0,1758931203.45,1767913816.3,2733002.3678720384,1854639.0
prices,query_end_ts,450,1749167204.0,1763237249.92,1770044292.0,1760049383.8,1769130630.9,2761691.431790534,2510945.0
prices,query_start_ts,450,1748978301.0,1762339919.6244445,1769694453.0,1758910835.8,1767911808.2,2716767.3869195227,1812386.75
prices,snapshot_anchor_end_ts,450,1749167106.0,1763216767.5,1770044125.0,1760049142.65,1769113696.1,2775630.681654116,2453242.25
prices,yes_token_id,450,5.925730366156767e+73,5.847584391428989e+76,1.1543534985511245e+77,4.2169830020976855e+75,1.1273770996598103e+77,3.4790385400344526e+76,6.248389075027413e+76
prices_long,abs_sum_minus_1,3830,0.0,0.0024293733681462148,0.33000000000000007,0.0,0.0050000000000001155,0.01692024325732933,0.0
prices_long,complement_tolerance,5400,0.05,0.05,0.05,0.05,0.05,0.0,0.0
prices_long,market_id,5400,549606.0,720198.04,1292721.0,613057.0,1139951.0,171861.76286095034,33503.0
prices_long,no_price,3830,0.0005,0.28009516971279375,0.9995,0.06,0.7,0.21217628935532928,0.245
prices_long,sum_price,3830,0.69,0.9999677545691905,1.33,1.0,1.0,0.017093770449097507,0.0
prices_long,yes_price,3830,0.0005,0.7198725848563969,0.9995,0.3,0.945,0.2122974802377097,0.25
