val,n,share
United States of America,367,0.9338422391857506
Canada,4,0.010178117048346057
Switzerland,4,0.010178117048346057
Israel,3,0.007633587786259542
Bermuda,2,0.005089058524173028
Cayman Islands,2,0.005089058524173028
United Kingdom,2,0.005089058524173028
Belgium,1,0.002544529262086514
China,1,0.002544529262086514
Cyprus,1,0.002544529262086514
Finland,1,0.002544529262086514
Ireland,1,0.002544529262086514
Jersey,1,0.002544529262086514
Singapore,1,0.002544529262086514
Sweden,1,0.002544529262086514
Taiwan,1,0.002544529262086514
