val,n,share
Capital Markets,45,0.11450381679389313
Software,30,0.07633587786259542
"Hotels, Restaurants & Leisure",28,0.07124681933842239
Specialty Retail,28,0.07124681933842239
Banks,20,0.05089058524173028
Semiconductors & Semiconductor Equipment,15,0.03816793893129771
Interactive Media & Services,13,0.03307888040712468
Consumer Staples Distribution & Retail,11,0.027989821882951654
Entertainment,11,0.027989821882951654
Food Products,10,0.02544529262086514
"Oil, Gas & Consumable Fuels",10,0.02544529262086514
IT Services,9,0.022900763358778626
Financial Services,8,0.020356234096692113
Household Durables,8,0.020356234096692113
Media,8,0.020356234096692113
"Textiles, Apparel & Luxury Goods",8,0.020356234096692113
Aerospace & Defense,7,0.017811704834605598
Beverages,7,0.017811704834605598
Health Care Equipment & Supplies,7,0.017811704834605598
Health Care Providers & Services,7,0.017811704834605598
Professional Services,7,0.017811704834605598
Ground Transportation,6,0.015267175572519083
"Technology Hardware, Storage & Peripherals",6,0.015267175572519083
Automobiles,5,0.01272264631043257
Broadline Retail,5,0.01272264631043257
Other,74,0.18829516539440205
