snapshot_label,variable,n,min,p25,mean,median,p75,max
12h,active_trading_hours,684,35.521388888888886,166.42805555555555,266.30032529239764,267.5859722222222,337.1121527777778,1182.8875
12h,analysts_covering,684,1,12,21.96345029239766,21,29,71
12h,analysts_covering_asof,684,1,12,21.96345029239766,21,29,71
12h,horizon_seconds,684,43200,43200,43200,43200,43200,43200
12h,id,684,549606,648226.25,945371.5628654971,696261,1293589.5,1735233
12h,loss_dice,684,0.25,0.25,0.25,0.25,0.25,0.25
12h,loss_hist,684,0,0.05583806854642225,0.19800819085903568,0.0625,0.5410035588820994,1
12h,loss_polymarket,684,3.42249999999e-4,0.015625,0.15603213011695868,0.052899999999999,0.19359999999999905,0.894915999999999
12h,market_cap_usd,684,25950236.34,4700440922.8575,142774148868.71515,21744821940,84629120062.22,4686255000000
12h,market_cap_usd_asof,684,25950236.34,4700440922.8575,142774148868.71515,21744821940,84629120062.22,4686255000000
12h,outcome_yes,684,0,0,0.7324561403508771,1,1,1
12h,p_dice,684,0.5,0.5,0.5,0.5,0.5,0.5
12h,p_dice_0p5,684,0.5,0.5,0.5,0.5,0.5,0.5
12h,p_hist,0,,,,,,
12h,p_hist_leakage_safe,684,0.5,0.7440147329650091,0.7695922339774997,0.7578475336322871,0.7826086956521741,1
12h,p_polymarket_yes,684,0.065,0.62,0.7226681286549708,0.79,0.8812500000000001,0.9815
12h,price_yes,684,0.065,0.62,0.7226681286549708,0.79,0.8812500000000001,0.9815
12h,seconds_before_close,0,,,,,,
12h,seconds_before_event,684,43202,43472,47798.43859649123,43485,43494,127786
12h,snapshot_offset_seconds,684,43200,43200,43200,43200,43200,43200
12h,turnover_6m_avg_daily_volume,683,383.9296875,79589.61970964566,3063170.7729622764,587606.288,2854767.058110236,85155289.25
12h,turnover_6m_sum_volume,683,49143,10081921,386060979.6090776,68643612,361381168.5,10899877024
12h,val_eikon_eps_stddev_estimate,683,0,0.020525,0.43640901903367496,0.0461,0.08793000000000001,220.97746
12h,val_surprise,684,-91.63,0.01,0.9082807017543862,0.06,0.169999999999999,690.8643300000003
12h,volatility_6m,683,0.009027083607946,0.015826806363833,0.025704024490672824,0.021263250207873,0.030879954159509997,0.152537899097299
12h,volume_num,635,1336.252219,7795.481024,27149.49159043307,13533.491876,24174.2729165,995129.929459
