snapshot_label,variable,n,min,p25,mean,median,p75,max
2d,active_trading_hours,626,57.71888888888889,164.73263888888889,258.13167997870073,253.87277777777777,334.90965277777775,1182.8875
2d,analysts_covering,626,1,13,22.416932907348244,22,29,71
2d,analysts_covering_asof,626,1,13,22.416932907348244,22,29,71
2d,horizon_seconds,626,172800,172800,172800,172800,172800,172800
2d,id,626,598104,647875.25,901685.3115015974,675512,1270843.75,1428533
2d,loss_dice,626,0.25,0.25,0.25,0.25,0.25,0.25
2d,loss_hist,626,0,0.043402777777777,0.19599987397322102,0.059954444613795,0.5492807202857,1
2d,loss_polymarket,626,7.02249999999e-4,0.021393749999999996,0.15716293170926482,0.055224999999999,0.202499999999999,0.908208999999999
2d,market_cap_usd,626,38579430.85,5216173565.365,148997968467.46637,23310124181.235,88811491830.09001,4686255000000
2d,market_cap_usd_asof,626,38579430.85,5216173565.365,148997968467.46637,23310124181.235,88811491830.09001,4686255000000
2d,outcome_yes,626,0,0,0.7380191693290735,1,1,1
2d,p_dice,626,0.5,0.5,0.5,0.5,0.5,0.5
2d,p_dice_0p5,626,0.5,0.5,0.5,0.5,0.5,0.5
2d,p_hist,0,,,,,,
2d,p_hist_leakage_safe,626,0.731023102310231,0.75,0.7779789359759985,0.761538461538461,0.8,1
2d,p_polymarket_yes,626,0.0615,0.64125,0.7252420127795527,0.7875000000000001,0.865,0.9735
2d,price_yes,626,0.0615,0.64125,0.7252420127795527,0.7875000000000001,0.865,0.9735
2d,seconds_before_close,0,,,,,,
2d,seconds_before_event,626,172801,173073,177483.61341853035,173086,173094,248344
2d,snapshot_offset_seconds,626,172800,172800,172800,172800,172800,172800
2d,turnover_6m_avg_daily_volume,625,319.7345132743363,72866.55555555556,3093461.6588023487,544790.5714285715,2880080.2362204725,85155289.25
2d,turnover_6m_sum_volume,625,36130,9181186,390031410.3472,68643612,365046085,10899877024
2d,val_eikon_eps_stddev_estimate,622,0,0.020999999999999998,0.11641556270096463,0.046415,0.08833,12.40225
2d,val_surprise,623,-6.3629999999999995,0.01,0.10262921348314585,0.06,0.1699999999999995,4.450000000000001
2d,volatility_6m,625,0.009027083607946,0.015593060716608,0.02515067296383055,0.020790520698888,0.030486274376768,0.15173449538734302
2d,volume_num,622,1336.252219,7886.708191499999,27228.000613426044,13615.2160475,24517.46618425,995129.929459
