snapshot_label,variable,n,min,p25,mean,median,p75,max
1w,active_trading_hours,451,168.85888888888888,234.41055555555556,310.4421815718157,313.3952777777778,344.5866666666667,1326.8538888888888
1w,analysts_covering,449,1,14,22.906458797327396,22,29,69
1w,analysts_covering_asof,449,1,14,22.906458797327396,22,29,69
1w,horizon_seconds,451,604800,604800,604800,604800,604800,604800
1w,id,451,598107,652740.5,961672.6629711752,703172,1293460.5,1428533
1w,loss_dice,451,0.25,0.25,0.25,0.25,0.25,0.25
1w,loss_hist,451,0.003086419753086,0.05875347578946,0.19913289257057853,0.064712219144352,0.542677777777777,0.840277777777777
1w,loss_polymarket,451,2.5e-5,0.024025,0.16414100110864713,0.07022500000000001,0.23524999999999952,0.9292959999999992
1w,market_cap_usd,449,87722988.2048,5812626896.57,151479585190.86197,24219679376.13,97125367000,4686255000000
1w,market_cap_usd_asof,449,87722988.2048,5812626896.57,151479585190.86197,24219679376.13,97125367000,4686255000000
1w,outcome_yes,451,0,0,0.7317073170731707,1,1,1
1w,p_dice,451,0.5,0.5,0.5,0.5,0.5,0.5
1w,p_dice_0p5,451,0.5,0.5,0.5,0.5,0.5,0.5
1w,p_hist,451,0.72875816993464,0.7404021937842771,0.7635562935104925,0.754032258064516,0.7670871148028506,0.944444444444444
1w,p_hist_asof_end_minus_1d,451,0.72875816993464,0.7404021937842771,0.7635562935104925,0.754032258064516,0.7670871148028506,0.944444444444444
1w,p_polymarket_yes,451,0.005,0.64,0.7185210643015522,0.77,0.845,0.964
1w,price_yes,451,0.005,0.64,0.7185210643015522,0.77,0.845,0.964
1w,seconds_before_close,451,604793,604934.5,611781.7627494456,605056,605299.5,724581
1w,snapshot_offset_seconds,451,604800,604800,604800,604800,604800,604800
1w,turnover_6m_avg_daily_volume,448,590.125,72674.46391076116,2963208.059718473,614818.0600393701,2795894.803149606,85155289.25
1w,turnover_6m_sum_volume,448,75536,9175007,374657080.03125,76978382.5,353811160.25,10899877024
1w,val_eikon_eps_stddev_estimate,445,0,0.02053,0.09905901123595506,0.04459,0.08725000000000001,2.76375
1w,val_surprise,446,-6.3629999999999995,0.01,0.1143878923766814,0.059999999999999,0.16999999999999976,4.450000000000001
1w,volatility_6m,448,0.009027083607946,0.01548783627014225,0.024414324242585186,0.020464982090393997,0.03013049034255,0.15173449538734302
1w,volume_num,447,1565.997436,8232.496606,31004.34976981208,14191.968124,25794.0378555,995129.929459
6d,active_trading_hours,539,144.66611111111112,182.86027777777775,285.8835003092146,291.30833333333334,338.6768055555556,1326.8538888888888
6d,analysts_covering,536,1,13,22.649253731343283,22,29,69
6d,analysts_covering_asof,536,1,13,22.649253731343283,22,29,69
6d,horizon_seconds,539,518400,518400,518400,518400,518400,518400
6d,id,539,598107,647916.5,922332.3079777366,697446,1280092,1428533
6d,loss_dice,539,0.25,0.25,0.25,0.25,0.25,0.25
6d,loss_hist,539,0.003086419753086,0.056689342403628,0.1930505235822522,0.063729075792448,0.539342541899835,0.840277777777777
6d,loss_polymarket,539,2.5e-7,0.027225,0.1637128571428568,0.0729,0.2376624999999995,0.92256025
6d,market_cap_usd,536,60648834.62,5738313654.75,157645100487.27966,24281384803.265,94626116166.44,4686255000000
6d,market_cap_usd_asof,536,60648834.62,5738313654.75,157645100487.27966,24281384803.265,94626116166.44,4686255000000
6d,outcome_yes,539,0,0,0.7421150278293135,1,1,1
6d,p_dice,539,0.5,0.5,0.5,0.5,0.5,0.5
6d,p_dice_0p5,539,0.5,0.5,0.5,0.5,0.5,0.5
6d,p_hist,539,0.72875816993464,0.7419354838709671,0.7653806396244827,0.7560975609756091,0.7722145632284746,0.944444444444444
6d,p_hist_asof_end_minus_1d,539,0.72875816993464,0.7419354838709671,0.7653806396244827,0.7560975609756091,0.7722145632284746,0.944444444444444
6d,p_polymarket_yes,539,5e-4,0.62,0.7047254174397032,0.755,0.84,0.964
6d,price_yes,539,5e-4,0.62,0.7047254174397032,0.755,0.84,0.964
6d,seconds_before_close,539,518392,518525.5,523712.8367346939,518621,518852,604639
6d,snapshot_offset_seconds,539,518400,518400,518400,518400,518400,518400
6d,turnover_6m_avg_daily_volume,535,319.7345132743363,71368.68019153226,2913636.6102045123,602581.8174603175,2888635.6935070613,85155289.25
6d,turnover_6m_sum_volume,535,36130,9120266.5,367358739.8280374,75308563,365408137.5,10899877024
6d,val_eikon_eps_stddev_estimate,533,0,0.02036,0.11987333958724203,0.04459,0.08755,12.40225
6d,val_surprise,534,-6.3629999999999995,0.01,0.11810486891385746,0.06,0.16999999999999976,4.450000000000001
6d,volatility_6m,535,0.009027083607946,0.0155085393894125,0.02475826982230416,0.020598793104946,0.030408188960941,0.15173449538734302
6d,volume_num,535,1336.252219,8232.496606,29147.508462962618,14146.572951,25080.4033025,995129.929459
5d,active_trading_hours,587,120.64333333333333,171.3686111111111,273.225,267.59166666666664,336.0875,1326.8538888888888
5d,analysts_covering,584,1,13,22.66267123287671,22,29,71
5d,analysts_covering_asof,584,1,13,22.66267123287671,22,29,71
5d,horizon_seconds,587,432000,432000,432000,432000,432000,432000
5d,id,587,598107,647912.5,905398.5587734242,675613,1271189,1428533
5d,loss_dice,587,0.25,0.25,0.25,0.25,0.25,0.25
5d,loss_hist,587,0.003086419753086,0.053716838272072506,0.19670106131396412,0.063224631628186,0.542677777777777,0.885813148788927
5d,loss_polymarket,587,2.5e-7,0.0225,0.15861142376490595,0.060024999999999,0.245025,0.919681
5d,market_cap_usd,584,38579430.85,5641584298.5075,153152424692.73303,24238542359.39,93906770579.575,4686255000000
5d,market_cap_usd_asof,584,38579430.85,5641584298.5075,153152424692.73303,24238542359.39,93906770579.575,4686255000000
5d,outcome_yes,587,0,0,0.7359454855195912,1,1,1
5d,p_dice,587,0.5,0.5,0.5,0.5,0.5,0.5
5d,p_dice_0p5,587,0.5,0.5,0.5,0.5,0.5,0.5
5d,p_hist,587,0.72875816993464,0.7430683918669131,0.7674271237064051,0.756880733944954,0.7865168539325841,0.944444444444444
5d,p_hist_asof_end_minus_1d,587,0.72875816993464,0.7430683918669131,0.7674271237064051,0.756880733944954,0.7865168539325841,0.944444444444444
5d,p_polymarket_yes,587,5e-4,0.6425000000000001,0.7163228279386712,0.775,0.85,0.975
5d,price_yes,587,5e-4,0.6425000000000001,0.7163228279386712,0.775,0.85,0.975
5d,seconds_before_close,587,432000,432123.5,437629.66098807496,432222,432426,518236
5d,snapshot_offset_seconds,587,432000,432000,432000,432000,432000,432000
5d,turnover_6m_avg_daily_volume,583,319.7345132743363,71368.68019153226,3012926.6153060473,587606.288,2912605.3839905756,85155289.25
5d,turnover_6m_sum_volume,583,36130,9120266.5,379974056.8936535,69189921,368616497.5,10899877024
5d,val_eikon_eps_stddev_estimate,581,0,0.02053,0.11893335628227195,0.04541,0.08755,12.40225
5d,val_surprise,582,-6.3629999999999995,0.01,0.10458419243986235,0.06,0.16999999999999976,4.450000000000001
5d,volatility_6m,583,0.009027083607946,0.0155501194524495,0.024984192300421468,0.020608335126098,0.030408188960941,0.15173449538734302
5d,volume_num,583,1336.252219,8005.803342,28021.242830157804,13934.227456,24997.52353,995129.929459
4d,active_trading_hours,607,96.55166666666666,168.17555555555555,268.8923082555373,264.73305555555555,335.4743055555556,1326.8538888888888
4d,analysts_covering,604,1,13,22.45364238410596,22,29,71
4d,analysts_covering_asof,604,1,13,22.45364238410596,22,29,71
4d,horizon_seconds,607,345600,345600,345600,345600,345600,345600
4d,id,607,598106,647950,902175.1021416804,675513,1269905.5,1428533
4d,loss_dice,607,0.25,0.25,0.25,0.25,0.25,0.25
4d,loss_hist,607,0,0.0536168019666515,0.196965759369568,0.063443382893323,0.542677777777777,0.885813148788927
4d,loss_polymarket,607,2.5e-7,0.021025,0.15842927347611166,0.060024999999999,0.1936,0.90916225
4d,market_cap_usd,604,38579430.85,5240690417.095,149158674951.5703,23677356395.23,89153625152.08751,4686255000000
4d,market_cap_usd_asof,604,38579430.85,5240690417.095,149158674951.5703,23677356395.23,89153625152.08751,4686255000000
4d,outcome_yes,607,0,0,0.7347611202635914,1,1,1
4d,p_dice,607,0.5,0.5,0.5,0.5,0.5,0.5
4d,p_dice_0p5,607,0.5,0.5,0.5,0.5,0.5,0.5
4d,p_hist,607,0.72875816993464,0.7450065526660661,0.7680934804318338,0.756696428571428,0.7865168539325841,1
4d,p_hist_asof_end_minus_1d,607,0.72875816993464,0.7450065526660661,0.7680934804318338,0.756696428571428,0.7865168539325841,1
4d,p_polymarket_yes,607,5e-4,0.6525000000000001,0.7214810543657332,0.78,0.86,0.9795
4d,price_yes,607,5e-4,0.6525000000000001,0.7214810543657332,0.78,0.86,0.9795
4d,seconds_before_close,607,345526,345719.5,350633.4151565074,345832,346067,431835
4d,snapshot_offset_seconds,607,345600,345600,345600,345600,345600,345600
4d,turnover_6m_avg_daily_volume,603,319.7345132743363,71035.51222278226,3100703.1860343986,544790.5714285715,2888635.6935070613,85155289.25
4d,turnover_6m_sum_volume,603,36130,9046057.5,390891658.1641791,68643612,365408137.5,10899877024
4d,val_eikon_eps_stddev_estimate,601,0,0.02055,0.11735086522462562,0.04541,0.0883,12.40225
4d,val_surprise,602,-6.3629999999999995,0.01,0.10051162790697654,0.0599999999999995,0.169999999999999,4.450000000000001
4d,volatility_6m,603,0.009027083607946,0.015600196187099,0.025194567506149033,0.020720160289059,0.0304640345606065,0.15173449538734302
4d,volume_num,603,1336.252219,8001.3388190000005,27766.604577177448,13701.313484,24903.089008000003,995129.929459
3d,active_trading_hours,622,73.26805555555555,166.37861111111113,264.5110008038585,260.83430555555555,335.1747222222222,1326.8538888888888
3d,analysts_covering,619,1,13,22.30210016155089,22,29,71
3d,analysts_covering_asof,619,1,13,22.30210016155089,22,29,71
3d,horizon_seconds,622,259200,259200,259200,259200,259200,259200
3d,id,622,598105,647869.5,898039.2363344051,675506.5,1268925.25,1428533
3d,loss_dice,622,0.25,0.25,0.25,0.25,0.25,0.25
3d,loss_hist,622,0,0.053254437869822,0.19561717179852617,0.063224631628186,0.542677777777777,1
3d,loss_polymarket,622,2.5e-7,0.021025,0.1566745570739546,0.0576,0.20249999999999976,0.908208999999999
3d,market_cap_usd,619,38579430.85,5191716441.79,146491207958.2227,23197670000,87301736382.18,4686255000000
3d,market_cap_usd_asof,619,38579430.85,5191716441.79,146491207958.2227,23197670000,87301736382.18,4686255000000
3d,outcome_yes,622,0,0,0.7379421221864951,1,1,1
3d,p_dice,622,0.5,0.5,0.5,0.5,0.5,0.5
3d,p_dice_0p5,622,0.5,0.5,0.5,0.5,0.5,0.5
3d,p_hist,622,0.72875816993464,0.7456140350877191,0.7691415694022515,0.756880733944954,0.7869822485207101,1
3d,p_hist_asof_end_minus_1d,622,0.72875816993464,0.7456140350877191,0.7691415694022515,0.756880733944954,0.7869822485207101,1
3d,p_polymarket_yes,622,5e-4,0.64,0.721700964630225,0.785,0.86,0.975
3d,price_yes,622,5e-4,0.64,0.721700964630225,0.785,0.86,0.975
3d,seconds_before_close,622,259126,259322,264674.3553054662,259436.5,259665.75,345432
3d,snapshot_offset_seconds,622,259200,259200,259200,259200,259200,259200
3d,turnover_6m_avg_daily_volume,618,319.7345132743363,71751.23083784449,3109298.124694886,543683.4523809524,2867423.6471653543,85155289.25
3d,turnover_6m_sum_volume,618,36130,9159691,392018166.5744337,68504115,363213626.75,10899877024
3d,val_eikon_eps_stddev_estimate,616,0,0.020545,0.11642688311688312,0.04577500000000001,0.088045,12.40225
