term,estimate,std_error,statistic,p_value,window_name,reference_bin,n,r_squared
(Intercept),-0.05265597070205802,0.041488952222129005,-1.2691564351912663,0.20485098856101233,"CAR[-5,5]",0.0-0.2,639,0.007122653092414779
signal_bin0.2-0.4,0.03877330094160513,0.04613078654030306,0.8405081259069815,0.4009404112526055,"CAR[-5,5]",0.0-0.2,639,0.007122653092414779
signal_bin0.4-0.6,0.051655703389511684,0.04377856541161402,1.1799313866006202,0.23847003983081272,"CAR[-5,5]",0.0-0.2,639,0.007122653092414779
signal_bin0.6-0.8,0.05849501027109355,0.04239077620862474,1.3798994852845434,0.16810401261052785,"CAR[-5,5]",0.0-0.2,639,0.007122653092414779
signal_bin0.8-1.0,0.06234481759304152,0.04210467169411523,1.480710217763203,0.1391805773840653,"CAR[-5,5]",0.0-0.2,639,0.007122653092414779
(Intercept),0.018521844669061788,0.03103933327336908,0.5967217306485457,0.5509061962586554,AR[0],0.0-0.2,639,0.0033704046097160854
signal_bin0.2-0.4,-0.025599960362311616,0.03446181958338498,-0.7428499328182335,0.4578476919417531,AR[0],0.0-0.2,639,0.0033704046097160854
signal_bin0.4-0.6,-0.002804020587338266,0.03312224056904883,-0.08465673031668307,0.9325610212269911,AR[0],0.0-0.2,639,0.0033704046097160854
signal_bin0.6-0.8,-0.011088981038476815,0.03168300779961666,-0.3499977372290703,0.7264566335248016,AR[0],0.0-0.2,639,0.0033704046097160854
signal_bin0.8-1.0,-0.010243447216038185,0.03146224909013335,-0.32557898790682954,0.7448503335751167,AR[0],0.0-0.2,639,0.0033704046097160854
(Intercept),0.005440282696079944,0.033095386677304856,0.16438190461786067,0.8694829003378663,"CAR[0,1]",0.0-0.2,639,9.249853250735656e-4
signal_bin0.2-0.4,-0.007069640707339707,0.037161284452111094,-0.1902420976984849,0.8491803205117904,"CAR[0,1]",0.0-0.2,639,9.249853250735656e-4
signal_bin0.4-0.6,0.006513568001108641,0.03534227072483336,0.18429964650041178,0.8538373241716026,"CAR[0,1]",0.0-0.2,639,9.249853250735656e-4
signal_bin0.6-0.8,0.0010727668943869317,0.03385010093176626,0.031691689680612006,0.9747278962074242,"CAR[0,1]",0.0-0.2,639,9.249853250735656e-4
signal_bin0.8-1.0,0.002621664571978575,0.03360458323416564,0.07801508959983589,0.9378406646445053,"CAR[0,1]",0.0-0.2,639,9.249853250735656e-4
(Intercept),-0.024367053577056992,0.03420533676162102,-0.7123757835472402,0.4764941799578848,"CAR[0,3]",0.0-0.2,639,0.004218794181188115
signal_bin0.2-0.4,0.013035533533151024,0.03818021245288692,0.3414211890317904,0.7328996512358363,"CAR[0,3]",0.0-0.2,639,0.004218794181188115
signal_bin0.4-0.6,0.031708077936288465,0.03662003898683478,0.8658668536013244,0.3868907167636213,"CAR[0,3]",0.0-0.2,639,0.004218794181188115
signal_bin0.6-0.8,0.03425546530237556,0.03504876194624641,0.9773659153756268,0.32876081019995906,"CAR[0,3]",0.0-0.2,639,0.004218794181188115
signal_bin0.8-1.0,0.03214582131917899,0.03476240494246332,0.9247294993653302,0.3554584574228904,"CAR[0,3]",0.0-0.2,639,0.004218794181188115
(Intercept),-0.016278707031935468,0.035673401633882565,-0.4563261782266922,0.6483117198685001,"CAR[0,5]",0.0-0.2,639,0.002947075448549009
signal_bin0.2-0.4,0.005418264737471996,0.0399667878110056,0.13556918216930047,0.8922049007394846,"CAR[0,5]",0.0-0.2,639,0.002947075448549009
signal_bin0.4-0.6,0.025093832097189347,0.03782193239500436,0.6634730302808066,0.5072688168552086,"CAR[0,5]",0.0-0.2,639,0.002947075448549009
signal_bin0.6-0.8,0.02426379233143781,0.03659604939689459,0.6630167116753523,0.5075608268915359,"CAR[0,5]",0.0-0.2,639,0.002947075448549009
signal_bin0.8-1.0,0.02362197401959737,0.03622563632076521,0.65207892583123,0.5145865850649283,"CAR[0,5]",0.0-0.2,639,0.002947075448549009
