term,estimate,std_error,statistic,p_value,window_name,reference_bin,n,r_squared
(Intercept),-0.012241556847494972,0.011835104448132227,-1.0343429499202172,0.301370234955797,"CAR[-5,5]",Q1,639,0.006174738471404131
signal_binQ2,0.017485735525872848,0.015608247848317828,1.1202881768537116,0.2630151724443633,"CAR[-5,5]",Q1,639,0.006174738471404131
signal_binQ3,0.028183308496725956,0.016931343522257253,1.6645642125019393,0.09649381801401587,"CAR[-5,5]",Q1,639,0.006174738471404131
signal_binQ4,0.01189542515760116,0.016458074193364872,0.7227713897654466,0.47008687951069195,"CAR[-5,5]",Q1,639,0.006174738471404131
signal_binQ5,0.02411102153476778,0.01563078701037774,1.5425340719414677,0.12344282352843153,"CAR[-5,5]",Q1,639,0.006174738471404131
(Intercept),0.0038905974574193225,0.008987695736430426,0.4328804146817415,0.6652488668480179,AR[0],Q1,639,0.001098246269381939
signal_binQ2,0.008952057973931582,0.012199626888787528,0.7337976854160407,0.463343316277686,AR[0],Q1,639,0.001098246269381939
signal_binQ3,0.005409547714872929,0.01186413027478751,0.45595821940431414,0.6485761575219953,AR[0],Q1,639,0.001098246269381939
signal_binQ4,0.002946516275322981,0.012357963817091049,0.23843056339491403,0.8116242074081049,AR[0],Q1,639,0.001098246269381939
signal_binQ5,0.0021805805250080922,0.011796020022009128,0.18485730957895494,0.8534000727898461,AR[0],Q1,639,0.001098246269381939
(Intercept),0.004080220961594103,0.009954303994926588,0.4098951532597025,0.6820213225371831,"CAR[0,1]",Q1,639,7.618024809445703e-4
signal_binQ2,0.00632343010219667,0.013402973960787894,0.47179306030860535,0.6372368295332862,"CAR[0,1]",Q1,639,7.618024809445703e-4
signal_binQ3,0.006388883503432512,0.013456794602939201,0.4747700839572202,0.6351143531753014,"CAR[0,1]",Q1,639,7.618024809445703e-4
signal_binQ4,0.0028740317153237993,0.013837914880604343,0.20769254184039915,0.8355357370718993,"CAR[0,1]",Q1,639,7.618024809445703e-4
signal_binQ5,-4.358625122155924e-5,0.013020547574713994,-0.003347497558874105,0.9973301413671056,"CAR[0,1]",Q1,639,7.618024809445703e-4
(Intercept),-0.004515044653294515,0.010418215435389087,-0.43337985102108734,0.6648862453631892,"CAR[0,3]",Q1,639,0.0030813611238081347
signal_binQ2,0.015825666453510006,0.014047756091707072,1.1265618758039586,0.26035398638205237,"CAR[0,3]",Q1,639,0.0030813611238081347
signal_binQ3,0.017152561674729415,0.014115187097802366,1.2151848612336102,0.2247479299146225,"CAR[0,3]",Q1,639,0.0030813611238081347
signal_binQ4,0.010475051117112614,0.01479262799041263,0.7081264481133227,0.4791269876669303,"CAR[0,3]",Q1,639,0.0030813611238081347
signal_binQ5,0.009195972366615969,0.013611348035178156,0.6756106994582189,0.49953418910588643,"CAR[0,3]",Q1,639,0.0030813611238081347
(Intercept),-0.002640868509476012,0.010585467133449558,-0.2494805827823126,0.8030698651532566,"CAR[0,5]",Q1,639,0.0018249686481635245
signal_binQ2,0.013247779785358975,0.014474262048706941,0.9152646083633995,0.3604007085354536,"CAR[0,5]",Q1,639,0.0018249686481635245
signal_binQ3,0.012719007427310873,0.014638078131370033,0.8688987251716802,0.3852313303129432,"CAR[0,5]",Q1,639,0.0018249686481635245
signal_binQ4,0.006747292403690565,0.0147509956303558,0.457412677270776,0.6475311549128941,"CAR[0,5]",Q1,639,0.0018249686481635245
signal_binQ5,0.008719148631926583,0.014049663675287184,0.6205948294166805,0.5350892610384479,"CAR[0,5]",Q1,639,0.0018249686481635245
