signal_bin,signal_bin_id,event_day,n,n_from_0,mean_abnormal_ret,sd_abnormal_ret,mean_caar_from_m5,sd_caar_from_m5,mean_caar_from_0,sd_caar_from_0,se_caar_from_m5,ci_low,ci_high,se_caar_from_0,ci_low_from_0,ci_high_from_0
0.0-0.2,1,-5,12,12,-0.017398262668498886,0.028383832852271855,0,0,0,0,0,0,0,0,0,0
0.0-0.2,1,-4,12,12,-0.014554196255619194,0.03758873462772954,-0.014554196255619194,0.037588734627729534,0,0,0.010850933027908528,-0.03582202499031991,0.006713632479081522,0,0,0
0.0-0.2,1,-3,12,12,-0.016231455774285055,0.040459698983579505,-0.03078565202990425,0.054531017820301494,0,0,0.015741748908867675,-0.06163947989128489,6.817583147639486e-5,0,0,0
0.0-0.2,1,-2,12,12,-0.0014627437370440786,0.0616414744137112,-0.03224839576694832,0.07602382675830638,0,0,0.02194618842186683,-0.07526292507380732,0.010766133539910669,0,0,0
0.0-0.2,1,-1,12,12,-8.720093944850366e-4,0.037966846819914954,-0.033120405161433365,0.0664216602250996,0,0,0.01917428170549156,-0.07070199730419682,0.0044611869813300925,0,0,0
0.0-0.2,1,0,12,12,0.03591884106977368,0.0888406347285612,0.0027984359083403163,0.11062818667743288,0.03591884106977368,0.0888406347285612,0.03193560667908802,-0.0597953531826722,0.06539222499935284,0.025646082187756013,-0.014347480018228102,0.08618516215777547
0.0-0.2,1,1,12,12,-0.01568013586212928,0.04814185926402696,-0.012881699953788963,0.11012156248080833,0.0202387052076444,0.10523520813779637,0.031789356870938444,-0.07518883942082831,0.04942543951325039,0.030378787873291516,-0.039303719024006964,0.07978112943929577
0.0-0.2,1,2,12,12,-0.02278260284475393,0.03274664163762663,-0.03566430279854289,0.11956553664048936,-0.002543897637109526,0.10614099283029595,0.0345155973825943,-0.10331487366842772,0.03198626807134193,0.030640265391312753,-0.06259881780408252,0.05751102252986347
0.0-0.2,1,3,12,12,-0.008075724743871988,0.05088692569960868,-0.04374002754241488,0.13506905663858043,-0.010619622380981516,0.10661849957264759,0.038991078104736614,-0.12016254062769864,0.032682485542868886,0.030778109714431044,-0.07094471742126636,0.049705472659303335
0.0-0.2,1,4,12,12,-0.008059402452147115,0.04597636619121245,-0.051799429994561996,0.13888626760221093,-0.01867902483312863,0.10598529905343179,0.04009301199343944,-0.1303817335017033,0.026782873512579297,0.030595320469320918,-0.07864585295299763,0.041287803286740365
0.0-0.2,1,5,12,12,0.011510999170562038,0.029262590275903288,-0.04028843082399996,0.13908963629275217,-0.007168025662566592,0.11749421552769496,0.040151719477553804,-0.11898580100000541,0.03840893935200549,0.033917658481569295,-0.07364663628644241,0.059310584961309226
0.2-0.4,2,-5,51,51,0.004135362226174178,0.06071238412332111,0,0,0,0,0,0,0,0,0,0
0.2-0.4,2,-4,51,51,3.144476891620474e-4,0.027349841926351932,3.1444768916204745e-4,0.027349841926351932,0,0,0.0038297438950784866,-0.007191850345191786,0.007820745723515881,0,0,0
0.2-0.4,2,-3,51,51,-0.001273566973080563,0.027812541396158703,-9.591192839185148e-4,0.04516735503985721,0,0,0.0063246947710534195,-0.013355521035183218,0.011437282467346188,0,0,0
0.2-0.4,2,-2,51,51,-0.001741376332387008,0.02875950482530553,-0.0027004956163055233,0.04653084817004779,0,0,0.006515621998544908,-0.015471114733453544,0.010070123500842498,0,0,0
0.2-0.4,2,-1,51,51,-0.006986412100664511,0.02251945509392243,-0.0096869077169700335,0.04797789830793053,0,0,0.006718249547411627,-0.022854676829896822,0.0034808613959567553,0,0,0
0.2-0.4,2,0,51,51,-0.004358184085675532,0.10865446009841646,-0.014045091802645565,0.10915664391717783,-0.004358184085675532,0.10865446009841646,0.01528498745165613,-0.04400366720789158,0.015913483602600448,0.015214667651662864,-0.034178932682934746,0.025462564511583678
0.2-0.4,2,1,51,51,0.005925095009538529,0.04523367926493428,-0.008119996793107037,0.12106874569694397,0.0015669109238629964,0.1236430928832876,0.016953015339768243,-0.04134790685905279,0.02510791327283872,0.017313496049209297,-0.03236754133258722,0.03550136318031322
0.2-0.4,2,2,51,51,-0.008651503051013299,0.029032918456791488,-0.01677149984412034,0.12323821429111959,-0.007084592127150301,0.12508809254732198,0.01725680170630308,-0.050594831188474375,0.017051831500233698,0.017515836474306747,-0.04141563161679153,0.027246447362490923
0.2-0.4,2,3,51,51,-0.0024462607051780583,0.027366671232622437,-0.019217760549298395,0.12444403795945148,-0.00953085283232836,0.1243246012209952,0.017425650793064556,-0.05337203610370492,0.01493651500510813,0.017408926304448395,-0.04365234838904721,0.024590642724390495
0.2-0.4,2,4,51,51,-0.0063656817729756026,0.03639794570464872,-0.025583442322274,0.13353546219662885,-0.015896534605303964,0.12866866854369308,0.018698704822541455,-0.062232903774455256,0.011066019129907251,0.01801721740001347,-0.05121028070933036,0.019417211498722435
0.2-0.4,2,5,51,51,0.0047889891774571,0.023403146626442127,-0.0207944531448169,0.14001796868384486,-0.011107545427846862,0.13353766098917247,0.019606437295404552,-0.05922307024380982,0.017634163954176024,0.01869901271508223,-0.047757610349408036,0.02554251949371431
0.4-0.6,3,-5,65,65,-0.0034354745708051705,0.025111856411080987,0,0,0,0,0,0,0,0,0,0
0.4-0.6,3,-4,65,65,-0.0014775292542309711,0.02690717012378207,-0.0014775292542309713,0.02690717012378207,0,0,0.0033374237048499882,-0.008018879715736948,0.005063821207275006,0,0,0
0.4-0.6,3,-3,65,65,-0.002944800072101539,0.02658971497623423,-0.0044223293263325105,0.033922401415773476,0,0,0.0042075560562340525,-0.012669139196551254,0.003824480543886233,0,0,0
0.4-0.6,3,-2,65,65,-2.2776155986738177e-4,0.020048423297762234,-0.004650090886199892,0.03896263611039069,0,0,0.0048327202288482194,-0.014122222534742402,0.0048220407623426175,0,0,0
0.4-0.6,3,-1,65,65,-0.0031470149577239714,0.028736368742363298,-0.0077971058439238634,0.05250016148679767,0,0,0.006511843595905533,-0.020560319291898707,0.004966107604050982,0,0,0
0.4-0.6,3,0,65,65,0.019562879348306,0.09864000671994262,0.011765773504382139,0.11382503535207074,0.019562879348306,0.09864000671994262,0.014118258049501365,-0.015906012272640532,0.03943755928140481,0.012234787053385822,-0.00441730327633021,0.04354306197294221
0.4-0.6,3,1,65,65,-0.00365868891023464,0.038008272677196045,0.008107084594147499,0.11537349494883192,0.015904190438071363,0.10575792108701727,0.014310320824607752,-0.019941144222083693,0.03615531341037869,0.013117655672734641,-0.009806414680488533,0.04161479555663126
0.4-0.6,3,2,65,65,-0.003888174299061843,0.037945945293460445,0.004218910295085657,0.11249637106911145,0.012016016139009518,0.10559939568762364,0.013953457527806348,-0.023129866459414786,0.031567687049586096,0.013097993016895203,-0.013656050174105079,0.037688082452124114
0.4-0.6,3,3,65,65,-0.0028814575001560845,0.024228528152841305,0.0013374527949295693,0.1174934631758463,0.009134558638853433,0.11369561566936626,0.014573270520983034,-0.027226157426197176,0.029901063016056315,0.014102205513506494,-0.018505764167619294,0.03677488144532616
0.4-0.6,3,4,65,65,-0.005704864768387023,0.025393396926943233,-0.004367411973457453,0.11815950972264506,0.0034296938704664113,0.11285766227941856,0.014655883427639278,-0.03309294349163044,0.024358119544715534,0.013998270187186204,-0.024006915696418548,0.03086630343735137
0.4-0.6,3,5,65,65,0.0045654113945140995,0.02775748218838783,1.9799942105664718e-4,0.1155025764136812,0.00799510526498051,0.10728108626795996,0.014326331409840716,-0.027881610142231155,0.028277608984344452,0.01330658106168839,-0.018085793615928734,0.03407600414588975
0.6-0.8,4,-5,156,156,8.512536004906793e-4,0.021175772806535917,0,0,0,0,0,0,0,0,0,0
0.6-0.8,4,-4,156,156,-1.7576899453136726e-4,0.01966281584685938,-1.757689945313674e-4,0.019662815846859378,0,0,0.0015742852000835016,-0.0032613679866950306,0.0029098299976322954,0,0,0
0.6-0.8,4,-3,156,156,-7.467487477986676e-4,0.017974010025589373,-9.225177423300348e-4,0.025687304669534564,0,0,0.0020566303364806817,-0.0049535132018321704,0.0031084777171721013,0,0,0
0.6-0.8,4,-2,156,156,-0.0011409084272496913,0.02617658804542608,-0.0020634261695797263,0.0389244027433631,0,0,0.0031164463746302007,-0.00817166106385492,0.004044808724695467,0,0,0
0.6-0.8,4,-1,156,156,3.9798056458511643e-4,0.02391515111127206,-0.00166544560499461,0.04447028883361637,0,0,0.0035604726250529854,-0.008643971950098462,0.005313080740109242,0,0,0
0.6-0.8,4,0,156,156,0.00996140962822094,0.08356939390637053,0.00829596402322633,0.09145981357802167,0.00996140962822094,0.08356939390637053,0.007322645547803025,-0.006056421250467599,0.022648349296920257,0.006690906380418605,-0.003152766877399526,0.023075586133841405
0.6-0.8,4,1,156,156,4.7755396333753585e-4,0.027485652101853712,0.008773517986563865,0.10091479748636589,0.010438963591558477,0.09208134454721521,0.008079650106553008,-0.00706259622228003,0.02460963219540776,0.007372407851117849,-0.0040109557966325066,0.02488888297974946
0.6-0.8,4,2,156,156,0.0010899110091216772,0.02653833076043868,0.009863428995685543,0.10244307252975736,0.011528874600680153,0.09659073539112907,0.008202010037155342,-0.0062125106771389275,0.025939368668510016,0.007733448066428594,-0.0036286836095198918,0.0266864328108802
0.6-0.8,4,3,156,156,0.0017295343332414974,0.023274554692948632,0.01159296332892704,0.1069698851384904,0.01325840893392165,0.0997158029353966,0.008564445109984347,-0.00519334908664228,0.02837927574449636,0.007983653714618472,-0.0023895523467305554,0.028906370214573852
0.6-0.8,4,4,156,156,-0.002504150646990414,0.02295103375994812,0.009088812681936625,0.11202961606823046,0.010754258286931237,0.10502301170290866,0.008969547796249235,-0.008491500998711874,0.026669126362585123,0.008408570485518413,-0.0057265398646848525,0.027235056438547324
0.6-0.8,4,5,156,156,0.0018424501226767382,0.024516755092933197,0.010931262804613364,0.11199379337859415,0.012596708409607974,0.10476918251914703,0.008966679685671336,-0.006643429379302452,0.028505954988529182,0.00838824788622961,-0.00384425744740206,0.02903767426661801
0.8-1.0,5,-5,267,267,-4.3300948799289196e-4,0.024302328086333768,0,0,0,0,0,0,0,0,0,0
0.8-1.0,5,-4,267,267,2.4436346363579744e-4,0.02388566242808644,2.4436346363579744e-4,0.02388566242808644,0,0,0.0014617788015039135,-0.002620722987311873,0.003109449914583468,0,0,0
0.8-1.0,5,-3,267,267,-3.507111169567266e-4,0.02175585397457024,-1.0634765332092915e-4,0.034196326615799126,0,0,0.0020927812023961477,-0.0042081988100173785,0.00399550350337552,0,0,0
0.8-1.0,5,-2,267,267,6.187596226384019e-4,0.019647544992276403,5.124119693174725e-4,0.040913151371460524,0,0,0.00250384420183372,-0.0043951226662766185,0.005419946604911564,0,0,0
0.8-1.0,5,-1,267,267,1.760037702866786e-4,0.025228522392183494,6.884157396041511e-4,0.046117747675967324,0,0,0.00282236032300973,-0.00484341049349492,0.006220241972703221,0,0,0
0.8-1.0,5,0,267,267,0.005266584847336026,0.0921544005131293,0.005955000586940177,0.10251399181041819,0.005266584847336026,0.0921544005131293,0.0062737544138532116,-0.006341558064212117,0.01825155923809247,0.005639757722481796,-0.005787340288728294,0.016320509983400348
0.8-1.0,5,1,267,267,-8.46642440333759e-6,0.031974921552148684,0.00594653416253684,0.11447254515288084,0.005258118422932689,0.10408438250010257,0.007005605993238784,-0.007784453584211176,0.019677521909284856,0.006369860763307454,-0.007226808673149922,0.0177430455190153
0.8-1.0,5,2,267,267,-0.001083641233356086,0.024517387770434704,0.004862892929180754,0.11594181822406943,0.004174477189576602,0.10625231917213183,0.007095524044938223,-0.009044334198898163,0.01877012005725967,0.006502536333001888,-0.008570494023107098,0.0169194484022603
0.8-1.0,5,3,267,267,5.215632636355765e-4,0.022724782044893293,0.005384456192816331,0.11961210217220929,0.004696040453212179,0.10915118999362489,0.0073201417748020685,-0.008963021685795724,0.019731934071428384,0.006679944346194523,-0.008396650465329086,0.017788731371753443
0.8-1.0,5,4,267,267,-0.001272030693964426,0.023070484807664438,0.004112425498851904,0.12141778440837614,0.003424009759247753,0.1094671830624993,0.00743064773305329,-0.010451644057932545,0.01867649505563635,0.006699282807955568,-0.00970658454434516,0.016554604062840667
0.8-1.0,5,5,267,267,8.944539873619582e-4,0.021251683351871956,0.005006879486213861,0.12137893084574573,0.004318463746609711,0.10916990207367382,0.007428269933635458,-0.009552529583711637,0.019566288556139358,0.006681089506896259,-0.008776471686906956,0.01741339918012638
