signal_bin,signal_bin_id,event_day,n,n_from_0,mean_abnormal_ret,sd_abnormal_ret,mean_caar_from_m5,sd_caar_from_m5,mean_caar_from_0,sd_caar_from_0,se_caar_from_m5,ci_low,ci_high,se_caar_from_0,ci_low_from_0,ci_high_from_0
Q1,1,-5,128,128,-5.484680383865046e-4,0.045681736444142806,0,0,0,0,0,0,0,0,0,0
Q1,1,-4,128,128,-0.003938949071431009,0.03058252587340495,-0.003938949071431009,0.03058252587340495,0,0,0.00270313892886221,-0.009237101372000942,0.001359203229138922,0,0,0
Q1,1,-3,128,128,-0.0027298705761433953,0.029398099279359557,-0.006668819647574405,0.044076746041713535,0,0,0.0038958707523416196,-0.01430472632216398,9.670870270151689e-4,0,0,0
Q1,1,-2,128,128,0.0015859500228614792,0.03265799734529126,-0.005082869624712925,0.04884025389998924,0,0,0.00431690934094439,-0.01354401193296393,0.0033782726835380793,0,0,0
Q1,1,-1,128,128,-0.003969350674919523,0.028368578245916612,-0.009052220299632447,0.05477042545968905,0,0,0.004841067406377307,-0.01854071241613197,4.362718168670742e-4,0,0,0
Q1,1,0,128,128,0.003890597457419304,0.10128618701793778,-0.005161622842213144,0.10952156018677174,0.003890597457419304,0.10128618701793778,0.009680429736774613,-0.024135265126291383,0.013812019441865095,0.008952518710114082,-0.013656339214404296,0.021437534129242902
Q1,1,1,128,128,1.8962350417476992e-4,0.0428654055937438,-0.004971999338038374,0.11543142807056221,0.004080220961594073,0.11217930887188335,0.010202793193842716,-0.024969473997970094,0.015025475321893349,0.009915343751516119,-0.015353852791377517,0.023514294714565665
Q1,1,2,128,128,-0.006961999663216716,0.03303469876843259,-0.01193399900125509,0.11931330098583094,-0.002881778701622642,0.11594565625674738,0.01054590552660408,-0.03260397383339909,0.008735975830888906,0.010248244973533814,-0.02296833884974892,0.01720478144650363
Q1,1,3,128,128,-0.0016332659516719535,0.02902073808811845,-0.013567264952927044,0.12226875566874074,-0.004515044653294596,0.11740732529526805,0.010807133282575961,-0.034749246186775926,0.00761471628092184,0.010377439484657363,-0.024854826043223026,0.015824736736633836
Q1,1,4,128,128,-0.004288063796005868,0.032077721406217556,-0.017855328748932912,0.12703382106737893,-0.008803108449300464,0.11907543622849143,0.011228309539597766,-0.03986281544654453,0.004152157948678709,0.010524881053739072,-0.02943187531462904,0.011825658416028116
Q1,1,5,128,128,0.006162239939824407,0.02686845157395038,-0.011693088809108505,0.1277181690487183,-0.002640868509476057,0.11929215620917609,0.011288797926884817,-0.03381913274580275,0.010432955127585736,0.010544036574734164,-0.02330718019595502,0.018025443177002907
Q2,2,-5,128,128,8.199145242199701e-4,0.025357922983452363,0,0,0,0,0,0,0,0,0,0
Q2,2,-4,128,128,-0.0013260554042439866,0.018519969790723474,-0.0013260554042439866,0.018519969790723474,0,0,0.0016369495282988215,-0.0045344764797096765,0.0018823656712217034,0,0,0
Q2,2,-3,128,128,-0.001168764540464583,0.020474131568982513,-0.0024948199447085697,0.024903395032205174,0,0,0.0022011699377299573,-0.006809113022659286,0.0018194731332421468,0,0,0
Q2,2,-2,128,128,-0.003563165783911055,0.025103446269097794,-0.006057985728619626,0.03647797425756038,0,0,0.0032242278701836574,-0.012377472354179594,2.6150089694034276e-4,0,0,0
Q2,2,-1,128,128,-1.2466139310547827e-4,0.02413651353374978,-0.0061826471217251025,0.039626669839760195,0,0,0.003502535869941859,-0.013047617426811146,6.823231833609413e-4,0,0,0
Q2,2,0,128,128,0.012842655431350963,0.09296575788978657,0.006660008309625861,0.09932855428348324,0.012842655431350963,0.09296575788978657,0.008779486787413386,-0.010547785793704374,0.023867802412956097,0.008217089727751857,-0.0032628404350426785,0.028948151297744605
Q2,2,1,128,128,-0.0024390043675601714,0.030740928539811033,0.0042210039420656886,0.10922618983043934,0.010403651063790792,0.10114368965589944,0.009654322439034095,-0.01470146803844114,0.023143475922572515,0.00893992360373927,-0.007118599199538174,0.027925901327119758
Q2,2,2,128,128,-2.6975316530757494e-4,0.027126748886763013,0.0039512507767581135,0.10794683071802824,0.010133897898483216,0.10084048587229269,0.009541242001039259,-0.014749583545278836,0.02265208509879506,0.00891312392230555,-0.007335824989235662,0.027603620786202092
Q2,2,3,128,128,0.0011767239017323084,0.022167560516927847,0.005127974678490422,0.11230531123738755,0.011310621800215524,0.10619618764789684,0.009926480892402813,-0.01432792787061909,0.024583877227599936,0.009386505552748366,-0.0070869290831712724,0.02970817268360232
Q2,2,4,128,128,-0.0029548202382728207,0.02238940326890182,0.002173154440217602,0.11611113601785086,0.008355801561942705,0.11084998546433128,0.01026287145618699,-0.0179420736139089,0.022288382494344103,0.009797847052032358,-0.010847978660040716,0.027559581783926125
Q2,2,5,128,128,0.002251109713940283,0.021288700762193857,0.004424264154157885,0.1177232884003134,0.010606911275882987,0.11124937178476581,0.010405366941430154,-0.015970255051045216,0.024818783359360986,0.009833148148968908,-0.008666059096096072,0.029879881647862046
Q3,3,-5,128,128,-4.243345385646859e-4,0.021601100662362236,0,0,0,0,0,0,0,0,0,0
Q3,3,-4,128,128,0.0021859768270725793,0.0244708185872546,0.002185976827072579,0.0244708185872546,0,0,0.002162935220529192,-0.002053376205164638,0.006425329859309796,0,0,0
Q3,3,-3,128,128,0.0014151645241277174,0.018230335182401795,0.003601141351200297,0.03165409448962575,0,0,0.002797853108241762,-0.0018826507409535555,0.00908493344335415,0,0,0
