market_id,ticker,slug,ric,release_dt_utc,release_dt_ny,release_date_ny,release_timing,purchase_date,event_trading_date,signal_cutoff_ny,signal_cutoff_utc
549606,AVGO,will-broadcom-beat-q2-earnings-estimate,AVGO.N,2025-06-05T20:15:05Z,2025-06-05T20:15:05Z,2025-06-05,after_close,2025-06-05,2025-06-06,2025-06-05T20:00:00Z,2025-06-05T20:00:00Z
598104,GIS,will-gis-beat-earnings-estimate-2025-09-17-0pt82,GIS,2025-09-17T11:00:01Z,2025-09-17T11:00:01Z,2025-09-17,before_open,2025-09-16,2025-09-17,2025-09-16T20:00:00Z,2025-09-16T20:00:00Z
599915,BLSH,will-blsh-beat-earnings-estimate-2025-09-17-neg0pt04,BLSH.N,2025-09-17T20:00:00Z,2025-09-17T20:00:00Z,2025-09-17,after_close,2025-09-17,2025-09-18,2025-09-17T20:00:00Z,2025-09-17T20:00:00Z
598105,FDS,will-fds-beat-earnings-estimate-2025-09-18-4pt15,FDS,2025-09-18T10:00:00Z,2025-09-18T10:00:00Z,2025-09-18,before_open,2025-09-17,2025-09-18,2025-09-17T20:00:00Z,2025-09-17T20:00:00Z
598106,FDX,will-fdx-beat-earnings-estimate-2025-09-18-3pt62,FDX,2025-09-18T20:02:00Z,2025-09-18T20:02:00Z,2025-09-18,after_close,2025-09-18,2025-09-19,2025-09-18T20:00:00Z,2025-09-18T20:00:00Z
613036,JEF,jef-quarterly-earnings-gaap-eps-2025-09-29-0pt8,JEF,2025-09-29T20:00:00Z,2025-09-29T20:00:00Z,2025-09-29,after_close,2025-09-29,2025-09-30,2025-09-29T20:00:00Z,2025-09-29T20:00:00Z
614619,CCL,ccl-quarterly-earnings-nongaap-eps-2025-09-29-1pt32,CCL,2025-09-29T12:30:00Z,2025-09-29T12:30:00Z,2025-09-29,before_open,2025-09-26,2025-09-29,2025-09-26T20:00:00Z,2025-09-26T20:00:00Z
613037,NKE,nke-quarterly-earnings-gaap-eps-2025-09-30-0pt27,NKE,2025-09-30T20:15:00Z,2025-09-30T20:15:00Z,2025-09-30,after_close,2025-09-30,2025-10-01,2025-09-30T20:00:00Z,2025-09-30T20:00:00Z
614632,LW,lw-quarterly-earnings-nongaap-eps-2025-09-30-0pt53,LW,2025-09-30T12:30:00Z,2025-09-30T12:30:00Z,2025-09-30,before_open,2025-09-29,2025-09-30,2025-09-29T20:00:00Z,2025-09-29T20:00:00Z
614635,UNFI,unfi-quarterly-earnings-nongaap-eps-2025-09-30-neg0pt18,UNFI.N,2025-09-30T12:30:00Z,2025-09-30T12:30:00Z,2025-09-30,before_open,2025-09-29,2025-09-30,2025-09-29T20:00:00Z,2025-09-29T20:00:00Z
