term,AR[0],"CAR[0,1]","CAR[0,3]","CAR[0,5]","CAR[-5,5]"
Constant (0.0-0.2 bin),0.0185,0.0054,-0.0244,-0.0163,-0.0527
,(0.0310),(0.0331),(0.0342),(0.0357),(0.0415)
0.2-0.4 minus 0.0-0.2,-0.0256,-0.0071,0.0130,0.0054,0.0388
,(0.0345),(0.0372),(0.0382),(0.0400),(0.0461)
0.4-0.6 minus 0.0-0.2,-0.0028,0.0065,0.0317,0.0251,0.0517
,(0.0331),(0.0353),(0.0366),(0.0378),(0.0438)
0.6-0.8 minus 0.0-0.2,-0.0111,0.0011,0.0343,0.0243,0.0585
,(0.0317),(0.0339),(0.0350),(0.0366),(0.0424)
0.8-1.0 minus 0.0-0.2,-0.0102,0.0026,0.0321,0.0236,0.0623
,(0.0315),(0.0336),(0.0348),(0.0362),(0.0421)
N,639,639,639,639,639
R-squared,0.0034,0.0009,0.0042,0.0029,0.0071
