term,AR[0],"CAR[0,1]","CAR[0,3]","CAR[0,5]","CAR[-5,5]"
Constant (Q1 bin),0.0039,0.0041,-0.0045,-0.0026,-0.0122
,(0.0090),(0.0100),(0.0104),(0.0106),(0.0118)
Q2 minus Q1,0.0090,0.0063,0.0158,0.0132,0.0175
,(0.0122),(0.0134),(0.0140),(0.0145),(0.0156)
Q3 minus Q1,0.0054,0.0064,0.0172,0.0127,0.0282*
,(0.0119),(0.0135),(0.0141),(0.0146),(0.0169)
Q4 minus Q1,0.0029,0.0029,0.0105,0.0067,0.0119
,(0.0124),(0.0138),(0.0148),(0.0148),(0.0165)
Q5 minus Q1,0.0022,-0.0000,0.0092,0.0087,0.0241
,(0.0118),(0.0130),(0.0136),(0.0140),(0.0156)
N,639,639,639,639,639
R-squared,0.0011,0.0008,0.0031,0.0018,0.0062
