term,AR[0],"CAR[0,1]","CAR[0,3]","CAR[0,5]","CAR[-5,5]"
0.0-0.2,0.0185,0.0054,-0.0244,-0.0163,-0.0527
,(0.0310),(0.0331),(0.0342),(0.0357),(0.0415)
0.2-0.4,-0.0071,-0.0016,-0.0113,-0.0109,-0.0139
,(0.0150),(0.0169),(0.0170),(0.0180),(0.0202)
0.4-0.6,0.0157,0.0120,0.0073,0.0088,-0.0010
,(0.0116),(0.0124),(0.0131),(0.0126),(0.0140)
0.6-0.8,0.0074,0.0065,0.0099,0.0080,0.0058
,(0.0064),(0.0071),(0.0076),(0.0082),(0.0087)
0.8-1.0,0.0083,0.0081,0.0078,0.0073,0.0097
,(0.0051),(0.0058),(0.0062),(0.0063),(0.0072)
