market_id,ticker,slug,ric,release_dt_utc,release_dt_ny,release_date_ny,release_timing,asof_date,snapshot_dt_utc_parsed,signal_value,id,resolvedOutcome,umaEndDate,acceptingOrdersTimestamp,volumeNum,val_eikon_eps_stddev_estimate,val_surprise,earnings_release_datetime,market_cap_usd_asof,analysts_covering_asof,gics_sector,turnover_6m_sum_volume,turnover_6m_avg_daily_volume,volatility_6m,horizon,horizon_seconds,p_hist_asof_end_minus_1d,snapshot_dt_utc,p_polymarket_yes,p_dice_0p5,loss_polymarket,loss_dice,loss_hist,seconds_before_close,status,purchase_date,event_trading_date,signal_cutoff_utc,snapshot_date_ny,observed_before_cutoff,same_day_signal,signal_bin,signal_bin_id
1069148,JPM,jpm-quarterly-earnings-gaap-eps-01-13-2026-4pt94,JPM,2026-01-13T11:48:00Z,2026-01-13T11:48:00Z,2026-01-13,before_open,2026-01-11,2026-01-12T16:00:16Z,0.658,1069148,No,2026-01-13T16:06:59Z,2025-12-30T22:48:39Z,141618.557105,0.08996000000000001,0.29000000000000004,2026-01-13T11:48:00Z,887562078000,27,Financials,1060634028,8417730.38095238,0.012497803489729,1d,86400,0.7569620253164551,2026-01-12T16:00:16Z,0.658,0.5,0.432964,0.25,0.57299150777119,86803,ok,2026-01-12,2026-01-13,2026-01-12T21:00:00Z,2026-01-12,TRUE,TRUE,0.6-0.8,4
1069149,BK,bk-quarterly-earnings-nongaap-eps-01-13-2026-1pt99,BK,2026-01-13T13:30:00Z,2026-01-13T13:30:00Z,2026-01-13,before_open,2026-01-11,2026-01-12T16:00:18Z,0.88,1069149,Yes,2026-01-13T16:10:05Z,2025-12-30T22:49:41Z,41553.592934,0.05423000000000001,0.09000000000000001,2026-01-13T13:30:00Z,81927613440,17,Financials,436896441,3467432.0714285714,0.010783560056105,1d,86400,0.7569620253164551,2026-01-12T16:00:18Z,0.88,0.5,0.0144,0.25,0.059067457138279,86987,ok,2026-01-12,2026-01-13,2026-01-12T21:00:00Z,2026-01-12,TRUE,TRUE,0.8-1.0,5
1069150,DAL,dal-quarterly-earnings-nongaap-eps-01-13-2026-1pt57,DAL,2026-01-13T11:30:00Z,2026-01-13T11:30:00Z,2026-01-13,before_open,2026-01-11,2026-01-12T16:00:11Z,0.745,1069150,No,2026-01-13T16:10:05Z,2025-12-30T22:49:17Z,34846.39086,0.03727,-0.019999999999999,2026-01-13T11:30:00Z,47215737754.08,28,Industrials,1008356634,8002830.428571428,0.022661128725539,1d,86400,0.7569620253164551,2026-01-12T16:00:11Z,0.745,0.5,0.555025,0.25,0.57299150777119,86994,ok,2026-01-12,2026-01-13,2026-01-12T21:00:00Z,2026-01-12,TRUE,TRUE,0.6-0.8,4
1099134,BAC,bac-quarterly-earnings-gaap-eps-01-14-2026-0pt97,BAC,2026-01-14T11:45:00Z,2026-01-14T11:45:00Z,2026-01-14,before_open,2026-01-12,2026-01-13T14:40:14Z,0.8250000000000001,1099134,Yes,2026-01-14T14:49:42Z,2026-01-04T04:49:45Z,36178.687969,0.02763,0.01,2026-01-14T11:45:00Z,398055907200.55,25,Financials,4550237167,35828639.11023622,0.012513829224162,1d,86400,0.757575757575757,2026-01-13T14:40:14Z,0.8250000000000001,0.5,0.030625,0.25,0.058769513314967,86968,ok,2026-01-13,2026-01-14,2026-01-13T21:00:00Z,2026-01-13,TRUE,TRUE,0.8-1.0,5
1099135,WFC,wfc-quarterly-earnings-gaap-eps-01-14-2026-1pt68,WFC,2026-01-14T12:00:00Z,2026-01-14T12:00:00Z,2026-01-14,before_open,2026-01-12,2026-01-13T15:00:18Z,0.765,1099135,No,2026-01-14T15:05:56Z,2026-01-04T04:48:47Z,56879.688635,0.0535,-0.06,2026-01-14T12:00:00Z,293673296000,26,Financials,1886661221,14855600.16535433,0.015669936864813,1d,86400,0.757575757575757,2026-01-13T15:00:18Z,0.765,0.5,0.585225,0.25,0.5739210284664831,86738,ok,2026-01-13,2026-01-14,2026-01-13T21:00:00Z,2026-01-13,TRUE,TRUE,0.6-0.8,4
1099148,C,c-quarterly-earnings-gaap-eps-01-14-2026-1pt69,C,2026-01-14T13:00:02Z,2026-01-14T13:00:02Z,2026-01-14,before_open,2026-01-12,2026-01-13T15:30:19Z,0.395,1099148,No,2026-01-14T15:35:10Z,2026-01-04T04:52:45Z,39081.184395,0.10269,0.12,2026-01-14T13:00:02Z,210600610000,23,Financials,1755850018,13825590.692913383,0.01495329546225,1d,86400,0.757575757575757,2026-01-13T15:30:19Z,0.395,0.5,0.15602500000000002,0.25,0.5739210284664831,86691,ok,2026-01-13,2026-01-14,2026-01-13T21:00:00Z,2026-01-13,TRUE,TRUE,0.2-0.4,2
1099149,MS,ms-quarterly-earnings-gaap-eps-01-15-2026-2pt42,MS,2026-01-15T12:30:00Z,2026-01-15T12:30:00Z,2026-01-15,before_open,2026-01-13,2026-01-14T15:10:16Z,0.425,1099149,Yes,2026-01-15T15:12:40Z,2026-01-04T04:50:27Z,40360.273668,0.11892,0.26,2026-01-15T12:30:00Z,289309080000,27,Financials,685021317,5351729.0390625,0.013306198143576,1d,86400,0.753117206982543,2026-01-14T15:10:16Z,0.425,0.5,0.330624999999999,0.25,0.0609511134881,86544,ok,2026-01-14,2026-01-15,2026-01-14T21:00:00Z,2026-01-14,TRUE,TRUE,0.4-0.6,3
1099181,GS,gs-quarterly-earnings-gaap-eps-01-15-2026-11pt49,GS,2026-01-15T12:30:00Z,2026-01-15T12:30:00Z,2026-01-15,before_open,2026-01-13,2026-01-14T15:10:12Z,0.845,1099181,Yes,2026-01-15T15:13:42Z,2026-01-04T04:55:27Z,39226.239714,0.5859800000000001,2.519999999999999,2026-01-15T12:30:00Z,281377932594.65,27,Financials,251709517,1966480.6015625,0.014898636396454,1d,86400,0.753117206982543,2026-01-14T15:10:12Z,0.845,0.5,0.024025,0.25,0.0609511134881,86610,ok,2026-01-14,2026-01-15,2026-01-14T21:00:00Z,2026-01-14,TRUE,TRUE,0.8-1.0,5
1099182,PNC,pnc-quarterly-earnings-gaap-eps-01-16-2026-4pt16,PNC,2026-01-16T11:34:19Z,2026-01-16T11:34:19Z,2026-01-16,before_open,2026-01-14,2026-01-15T16:05:14Z,0.885,1099182,Yes,2026-01-16T16:06:02Z,2026-01-04T04:54:25Z,20031.21384,0.06217,0.7199999999999991,2026-01-16T11:34:19Z,82804800000,25,Financials,244678666,1911552.078125,0.012160935363431,1d,86400,0.753694581280788,2026-01-15T16:05:14Z,0.885,0.5,0.013224999999999,0.25,0.060666359290446,86448,ok,2026-01-15,2026-01-16,2026-01-15T21:00:00Z,2026-01-15,TRUE,TRUE,0.8-1.0,5
1099187,STT,stt-quarterly-earnings-gaap-eps-01-16-2026-2pt67,STT,2026-01-16T12:30:00Z,2026-01-16T12:30:00Z,2026-01-16,before_open,2026-01-14,2026-01-15T16:00:19Z,0.275,1099187,No,2026-01-16T16:08:08Z,2026-01-04T04:56:27Z,25081.28419,0.08834,0.30000000000000004,2026-01-16T12:30:00Z,37597375631.04,19,Financials,250376718,1956068.109375,0.01354993398667,1d,86400,0.753694581280788,2026-01-15T16:00:19Z,0.275,0.5,0.07562500000000001,0.25,0.568055521852022,86869,ok,2026-01-15,2026-01-16,2026-01-15T21:00:00Z,2026-01-15,TRUE,TRUE,0.2-0.4,2
