term,estimate,std_error,statistic,p_value,window_name,n,r_squared
(Intercept),-0.007188941246085914,0.007875837776673117,-0.912784322117239,0.3617013132570728,"CAR[-5,5]",639,0.006362043877481504
signal_10pp_centered,0.004961304523815905,0.0025595222694976758,1.938371305825597,0.05301938843512856,"CAR[-5,5]",639,0.006362043877481504
(Intercept),0.00622908244614768,0.006011612670795009,1.0361749479318851,0.3005137148489345,AR[0],639,2.264750113923955e-4
signal_10pp_centered,6.875827927409595e-4,0.0019265685076625032,0.3568950649853612,0.7212885583761994,AR[0],639,2.264750113923955e-4
(Intercept),0.005166871229873982,0.00655886016887825,0.7877696881526387,0.4311244639344466,"CAR[0,1]",639,3.047340920963383e-4
signal_10pp_centered,8.92232757234185e-4,0.0021034981689985006,0.4241661677599592,0.6715878383144247,"CAR[0,1]",639,3.047340920963383e-4
(Intercept),-9.91834164292195e-4,0.006751663830065766,-0.1469021842994416,0.8832557080733938,"CAR[0,3]",639,0.0032482044001508393
signal_10pp_centered,0.003085311682093167,0.002174399851011633,1.4189256316669332,0.15640979731821605,"CAR[0,3]",639,0.0032482044001508393
(Intercept),2.4168129770773005e-6,0.007002932041248604,3.4511444104295334e-4,0.9997247465696621,"CAR[0,5]",639,0.0019927476975453505
signal_10pp_centered,0.002483965572756084,0.00225730435446481,1.1004123426435395,0.2715681663705573,"CAR[0,5]",639,0.0019927476975453505
