"obs_number","model","fitted","deviance_residual","pearson_residual","std_deviance_resid","std_pearson_resid","leverage","cooks_d"
1,"Logit Loss at 6h | Full",0.131671598961042,0.16483119577756,0.17407524040573,0.166128297648619,0.175445086198391,0.0155547021485276,0.000147384688817652
2,"Logit Loss at 6h | Full",0.156015982711203,-0.551088164316111,-0.420028591412531,-0.553329938125441,-0.421737227446417,0.00808643258875877,0.000439406884609897
3,"Logit Loss at 6h | Full",0.161880908013972,1.13996136547803,1.38599385683215,1.14329725595204,1.39004971683237,0.00582704761780341,0.00343199882812235
4,"Logit Loss at 6h | Full",0.148190184509446,-0.481893630965468,-0.38304144176577,-0.484420021478891,-0.385049586722545,0.0104033791878893,0.00047233419498456
5,"Logit Loss at 6h | Full",0.148675888618805,-0.464205837740988,-0.373981432783338,-0.466427380959893,-0.375771190361655,0.00950309876398924,0.000410543256388825
6,"Logit Loss at 6h | Full",0.151611050049515,-0.154316679287642,-0.146067206661263,-0.154963565991162,-0.146679512046823,0.00833146169919822,0.0000547763916761426
7,"Logit Loss at 6h | Full",0.139948808217221,-0.282303152680762,-0.250908905720226,-0.283218075499667,-0.251722082197817,0.0064504711395222,0.000124664955333932
8,"Logit Loss at 6h | Full",0.131281731285481,-0.449243535612086,-0.356096553265841,-0.450639652624468,-0.357203196804713,0.00618655888013465,0.000240699284032404
9,"Logit Loss at 6h | Full",0.145127288092172,-0.422107860225863,-0.348146358369443,-0.42285480454828,-0.348762423527801,0.00352974402161827,0.000130568400931734
10,"Logit Loss at 6h | Full",0.160692124190349,-0.358734957384543,-0.311689969814789,-0.359511884555066,-0.312365009705226,0.0043174521360661,0.000128212755962844
11,"Logit Loss at 6h | Full",0.152941276358672,-0.279913722773812,-0.251274008426281,-0.280404328013315,-0.251714416791627,0.00349620887034682,0.0000673650188346656
12,"Logit Loss at 6h | Full",0.135452683187709,-0.452846670819733,-0.360462766007125,-0.458886551584317,-0.365270468629327,0.0261508304544592,0.00108573228096315
13,"Logit Loss at 6h | Full",0.114697838463443,-0.283746468118944,-0.246653466537382,-0.285943502702533,-0.248563291881596,0.0153078783229589,0.000291063912042469
14,"Logit Loss at 6h | Full",0.125281941003466,-0.243675655885529,-0.21865123864538,-0.244413441196553,-0.21931325665257,0.00602807905909458,0.0000883963700643583
15,"Logit Loss at 6h | Full",0.128506946189904,-0.216308965204742,-0.197239718485638,-0.217648831518977,-0.198461465602674,0.0122742872957812,0.000148324247340673
16,"Logit Loss at 6h | Full",0.1448824599902,0.132788952965554,0.138409065837033,0.134019705956628,0.139691908784179,0.0182824122802368,0.00011012584916791
