"obs_number","model","fitted","deviance_residual","pearson_residual","std_deviance_resid","std_pearson_resid","leverage","cooks_d"
1,"Logit Mean loss | Ex-ante",0.121574003680737,0.977361258959025,1.23692206645289,0.982017559020807,1.2428149543095,0.00946064750974979,0.0071869662965755
2,"Logit Mean loss | Ex-ante",0.144886189185885,-0.488200980268035,-0.384114241957039,-0.489678518974559,-0.385276762482719,0.00602562502844364,0.000438385403773481
3,"Logit Mean loss | Ex-ante",0.152745715491437,1.09454930923737,1.34252416456782,1.09708987528653,1.34564030678626,0.00462610123631711,0.00409987295280241
4,"Logit Mean loss | Ex-ante",0.148228089217796,-0.396974370698315,-0.33377502062306,-0.398942855454198,-0.335430117497034,0.00984415802256829,0.000544957546564176
5,"Logit Mean loss | Ex-ante",0.144166993202327,0.627628750388671,0.732151170089421,0.629866878797511,0.734762026160511,0.00709404502240215,0.00187915572403086
6,"Logit Mean loss | Ex-ante",0.148403740558903,0.0608591785098103,0.0620500003366472,0.0610758658302499,0.0622709275432813,0.00708309024091745,0.0000134760954187439
7,"Logit Mean loss | Ex-ante",0.135497058832198,-0.128676139237416,-0.122463902016621,-0.129024887644944,-0.122795813519881,0.00539860314295186,0.0000398733752299637
8,"Logit Mean loss | Ex-ante",0.128360592817631,-0.445754413962755,-0.352520099535527,-0.447055244562743,-0.353548847469865,0.00581108510854906,0.000355935013056558
9,"Logit Mean loss | Ex-ante",0.141647841856809,-0.432842816464455,-0.352839696370143,-0.433551378847046,-0.353417293886892,0.00326597219028931,0.000199384930720752
10,"Logit Mean loss | Ex-ante",0.152058704007702,-0.0532838107673784,-0.0523457726314067,-0.0533779984243749,-0.0524383021559811,0.0035259680314593,0.00000474016182441182
11,"Logit Mean loss | Ex-ante",0.149952181417763,-0.240077722595912,-0.219085352799551,-0.240436509947413,-0.219412767824293,0.00298223971371304,0.0000701531193424643
12,"Logit Mean loss | Ex-ante",0.124649982822253,-0.481100788856738,-0.365989225713079,-0.486867677828413,-0.370376288213085,0.0235494578107661,0.00161176066198816
13,"Logit Mean loss | Ex-ante",0.107585320892156,-0.185503492452835,-0.169722365685144,-0.186902306519947,-0.171002180040576,0.014912384888086,0.000215654775396966
14,"Logit Mean loss | Ex-ante",0.119340380123283,-0.220366905320436,-0.199378422894266,-0.220834105218397,-0.199801125108541,0.00422675374343858,0.00008255167528588
15,"Logit Mean loss | Ex-ante",0.120033579985862,-0.20507492621262,-0.187115683254061,-0.206055773020906,-0.188010633329576,0.0094975484333558,0.000165121766813762
16,"Logit Mean loss | Ex-ante",0.125631760335616,0.0601383263834719,0.0614674816303509,0.0606382592942242,0.0619784638750533,0.0164210537994371,0.0000312433041234026
17,"Logit Mean loss | Ex-ante",0.108423891931677,-0.157906397933626,-0.146687107011085,-0.158455940060434,-0.14719760402588,0.00692418588030673,0.0000735989019434201
18,"Logit Mean loss | Ex-ante",0.148353075511601,-0.406638348733884,-0.339965398244174,-0.407732636464575,-0.340880265140807,0.00536047001531162,0.000305087499649417
19,"Logit Mean loss | Ex-ante",0.17267049636633,-0.349648701060043,-0.307944395872329,-0.351345303615844,-0.309438636369999,0.00963443198211348,0.000453798649746445
20,"Logit Mean loss | Ex-ante",0.14007136126817,-0.488407786356955,-0.380964630991338,-0.489581205719019,-0.381879913848725,0.00478781919420483,0.000341789904268041
21,"Logit Mean loss | Ex-ante",0.148469365910546,-0.341826505927933,-0.296542983608304,-0.344213577862239,-0.29861382779742,0.0138216217259219,0.00060884521270496
22,"Logit Mean loss | Ex-ante",0.150452557675735,0.222253707223472,0.236975804649495,0.222850406045403,0.237612028833231,0.00534798189858512,0.000147890114632004
23,"Logit Mean loss | Ex-ante",0.156047240877002,-0.393904442422753,-0.334496738219841,-0.397595981512452,-0.337631528416469,0.0184830930813741,0.00104579460081472
24,"Logit Mean loss | Ex-ante",0.133072415258918,-0.128509406550664,-0.122224989145284,-0.129040287080899,-0.122729908347598,0.00821121066745393,0.0000607536478383736
