"obs_number","model","fitted","deviance_residual","pearson_residual","std_deviance_resid","std_pearson_resid","leverage","cooks_d"
1,"Probit Loss at 6h | Ex-ante",0.123855510537426,0.189687474844932,0.202408534549796,0.19063460714747,0.203419184628501,0.00991194088044819,0.00016038271355192
2,"Probit Loss at 6h | Ex-ante",0.151284530728325,-0.541090819764126,-0.412151312436143,-0.5427273756469,-0.413397884416896,0.00602176524362566,0.00040084115423418
3,"Probit Loss at 6h | Ex-ante",0.15832001371052,1.15180113316329,1.40828089291122,1.15451166703376,1.41159500065906,0.00469003836976717,0.00363519009747654
4,"Probit Loss at 6h | Ex-ante",0.145957503165432,-0.476882428759745,-0.379131410299738,-0.479196313781294,-0.380970996827958,0.00963404121248325,0.000546619955696325
5,"Probit Loss at 6h | Ex-ante",0.143185072369173,-0.451670093959573,-0.36418526748811,-0.453263369698901,-0.365469938665302,0.00701788658375639,0.000365474515336667
6,"Probit Loss at 6h | Ex-ante",0.147892157983115,-0.144438062380535,-0.137093268695926,-0.144947599811246,-0.137576895731265,0.00701828574466909,0.0000517928328089
7,"Probit Loss at 6h | Ex-ante",0.137041544191787,-0.274816021650955,-0.244674895748425,-0.275571983664338,-0.24534794576095,0.00547896856630687,0.000128392172574654
8,"Probit Loss at 6h | Ex-ante",0.131138045536057,-0.448906199081493,-0.355836451857683,-0.450032106367689,-0.356728929739833,0.00499741619160661,0.000247449642828543
9,"Probit Loss at 6h | Ex-ante",0.147039036501679,-0.426571201110115,-0.351661317992606,-0.427273971862902,-0.352240675643869,0.00328685034967593,0.000158408183049524
10,"Probit Loss at 6h | Ex-ante",0.158410507080379,-0.353318979681194,-0.307251923811064,-0.353945475068816,-0.307796734376518,0.00353693420464685,0.000130191505469501
11,"Probit Loss at 6h | Ex-ante",0.156780542280129,-0.28943093159914,-0.259301889189867,-0.289869164985118,-0.259694503566852,0.00302137772013649,0.0000791286125057429
12,"Probit Loss at 6h | Ex-ante",0.122157387280425,-0.421208991926898,-0.336086448574449,-0.425933369427031,-0.339856071935244,0.022060617261264,0.0010087525590059
13,"Probit Loss at 6h | Ex-ante",0.11673596547093,-0.289281224995548,-0.251119927342529,-0.291670077318462,-0.253193647895155,0.0163134298169262,0.000411607241719692
14,"Probit Loss at 6h | Ex-ante",0.130486223458232,-0.257633826601631,-0.230337181476758,-0.258208195605857,-0.230850695324322,0.00444393469214904,0.0000920986316674857
15,"Probit Loss at 6h | Ex-ante",0.135870223171286,-0.236080839658429,-0.214125411399672,-0.237307765085017,-0.215238233228435,0.0103136423660669,0.000186914149767215
16,"Probit Loss at 6h | Ex-ante",0.147964368800063,0.123717432970492,0.12852766285755,0.124858171204162,0.129712753879774,0.0181890728533801,0.000120680449511746
17,"Probit Loss at 6h | Ex-ante",0.114117345263724,-0.290430760695941,-0.251270347839788,-0.291477410886327,-0.252175872298612,0.00716879574256807,0.000177773371937967
18,"Probit Loss at 6h | Ex-ante",0.154564489749393,-0.464378562243453,-0.37716080970522,-0.465644926809991,-0.378189330666631,0.00543178931318045,0.000302423646797457
19,"Probit Loss at 6h | Ex-ante",0.179204820230355,-0.36850623665995,-0.323265055176717,-0.3702764119379,-0.324817907617114,0.00953851714494777,0.000393379804974227
20,"Probit Loss at 6h | Ex-ante",0.146743440609264,-0.484650295450199,-0.383547975253557,-0.485817322135436,-0.384471549893646,0.00479861429719726,0.000275944757076648
21,"Probit Loss at 6h | Ex-ante",0.169277486298486,-0.362326055697832,-0.31640930886921,-0.364965062655076,-0.318713880550742,0.0144094111846982,0.000574963799102918
22,"Probit Loss at 6h | Ex-ante",0.157587923781128,1.50377616065358,1.86531981651662,1.50787828955844,1.87040819505084,0.00543352747474555,0.00739962488776838
23,"Probit Loss at 6h | Ex-ante",0.169112793704248,-0.394549998393231,-0.339035029436613,-0.398333031734239,-0.3422857728794,0.0189041279570976,0.000874000647590926
24,"Probit Loss at 6h | Ex-ante",0.134242019368251,-0.0453869840016936,-0.0446361885386658,-0.0455772835562774,-0.0448233401413568,0.00833319844416689,0.00000653646952061143
25,"Probit Loss at 6h | Ex-ante",0.13573462541301,-0.502759618178845,-0.383962366167514,-0.504482900297155,-0.385278453330833,0.00682020661230336,0.000394646230039396
26,"Probit Loss at 6h | Ex-ante",0.130702894176155,0.271526765913853,0.295771165047125,0.27267446483938,0.297021341055313,0.00840037271800617,0.000289351920109311
27,"Probit Loss at 6h | Ex-ante",0.166538056238062,-0.404439004332455,-0.344943224587365,-0.405393381947669,-0.345757206642853,0.00470286027925127,0.000218695909715608
28,"Probit Loss at 6h | Ex-ante",0.168740292486391,-0.554101561536646,-0.431256728860083,-0.55592795444696,-0.43267820875978,0.00655981684969212,0.000478595814439983
29,"Probit Loss at 6h | Ex-ante",0.164826274318789,-0.512313430899876,-0.408602687964444,-0.513327139626507,-0.40941118543012,0.00394566241308398,0.000257066307645351
30,"Probit Loss at 6h | Ex-ante",0.160439775404989,-0.316747365908067,-0.280860367719297,-0.318075815095183,-0.282038305619807,0.00833559157035803,0.000258867037004601
31,"Probit Loss at 6h | Ex-ante",0.13677956907509,-0.523830219897848,-0.392804501946238,-0.525634189308622,-0.39415724426428,0.00685219435160325,0.00041499576951317
32,"Probit Loss at 6h | Ex-ante",0.140189949703263,1.46732751173368,1.87770765966237,1.47051803508245,1.88179050420962,0.00433461147455219,0.00596854083890294
33,"Probit Loss at 6h | Ex-ante",0.17009439880885,1.50316118098448,1.82459924887071,1.50696808907242,1.82922023145438,0.00504602533154039,0.00657002898878393
34,"Probit Loss at 6h | Ex-ante",0.158819476461638,-0.267567470713611,-0.24238746783941,-0.268720460250065,-0.24343195285637,0.00856292065980769,0.000198153061856435
35,"Probit Loss at 6h | Ex-ante",0.114061838654209,1.36905578409494,1.83450201467703,1.37372369393541,1.84075690224711,0.00678444884919392,0.00896092402877329
36,"Probit Loss at 6h | Ex-ante",0.143089391614381,-0.151278011318352,-0.142974130715139,-0.151599977233017,-0.143278423430041,0.00424306160433716,0.0000338669777707779
37,"Probit Loss at 6h | Ex-ante",0.13819980068917,-0.269034688975651,-0.240430308914311,-0.269570991566957,-0.240909590594269,0.0039749760168119,0.0000896729176825647
38,"Probit Loss at 6h | Ex-ante",0.17198693825499,-0.0428397062285003,-0.0422979481060616,-0.0430386803019615,-0.0424944059199602,0.00922491716939313,0.00000650938235137962
39,"Probit Loss at 6h | Ex-ante",0.110884593882779,-0.379857451115203,-0.307286372265644,-0.38150236988874,-0.308617032283259,0.00860478317157399,0.000320052889048041
40,"Probit Loss at 6h | Ex-ante",0.143677282772036,-0.529036584450607,-0.400990422102905,-0.530361831592934,-0.401994911067584,0.00499127699597605,0.000313844666867625
41,"Probit Loss at 6h | Ex-ante",0.115789274233532,-0.357212033513643,-0.296164217227568,-0.358722228275483,-0.297416318521866,0.00840213255509472,0.000290183283347742
42,"Probit Loss at 6h | Ex-ante",0.157590586531826,-0.533713553346977,-0.414062903011196,-0.536077323224109,-0.41589675079572,0.008799322009675,0.000594494079479517
43,"Probit Loss at 6h | Ex-ante",0.151401157771293,0.553008314490274,0.632809349730796,0.553975413152563,0.633916004114777,0.00348843824661158,0.000544629283413701
44,"Probit Loss at 6h | Ex-ante",0.160669508745577,-0.0661123901667379,-0.0647272227170125,-0.0664606839641151,-0.0650682191646819,0.0104537342255656,0.0000173165770771375
45,"Probit Loss at 6h | Ex-ante",0.135386646197147,-0.440029953351654,-0.353621411743369,-0.441108996238784,-0.354488563322874,0.0048864254252073,0.000238897684106977
46,"Probit Loss at 6h | Ex-ante",0.117938952017999,-0.377136858018291,-0.309156210342914,-0.379227685933347,-0.310870156940694,0.0109963709067,0.000416004873375609
47,"Probit Loss at 6h | Ex-ante",0.124075116363503,0.952010984358103,1.19613006381434,0.954702080699598,1.199511223582,0.00562961700795073,0.00315375650957997
48,"Probit Loss at 6h | Ex-ante",0.15406083267076,0.876252217133414,1.049395472754,0.879374968342725,1.0531352646969,0.00708959594193773,0.00306597488000528
49,"Probit Loss at 6h | Ex-ante",0.153712226515673,0.573041407088775,0.656863661742545,0.574346231859076,0.65835935117432,0.00453852578514065,0.000765077140349461
50,"Probit Loss at 6h | Ex-ante",0.166682345887836,0.975893209914301,1.16434651486088,0.9831248357675,1.17297462936502,0.0146574037304019,0.00792384348645027
51,"Probit Loss at 6h | Ex-ante",0.134438637234106,0.928869814162194,1.14676049807119,0.935855918476456,1.15538537568144,0.0148741462588066,0.00780338297062501
52,"Probit Loss at 6h | Ex-ante",0.115812909047506,-0.461636700321388,-0.350664862812334,-0.462993626036064,-0.351695600119945,0.00585294147907377,0.000281933237645956
53,"Probit Loss at 6h | Ex-ante",0.172539781664348,-0.572246848916297,-0.441947888094203,-0.573785854840641,-0.44313646679816,0.00535719712809105,0.000409481535075183
54,"Probit Loss at 6h | Ex-ante",0.191178650120532,0.421471489493342,0.46009108772441,0.424784959591385,0.463708172389813,0.015539848646706,0.00131409572185024
55,"Probit Loss at 6h | Ex-ante",0.114414313032283,0.0468373802043333,0.0477066553908462,0.0470830509426887,0.0479568856386356,0.0104084081632638,0.00000936524450520642
56,"Probit Loss at 6h | Ex-ante",0.126137633388707,-0.245990976813073,-0.22059234855988,-0.248485003342859,-0.222828866243185,0.0199731195993952,0.000391777665860698
57,"Probit Loss at 6h | Ex-ante",0.0986493109655238,0.29767060857364,0.333262330712441,0.299703177011385,0.335537928219837,0.0135178817998153,0.000597298636264438
58,"Probit Loss at 6h | Ex-ante",0.0861805567002109,-0.411714110523579,-0.303671773626903,-0.41532151551201,-0.306332520594342,0.0172961825084447,0.000639444245620966
59,"Probit Loss at 6h | Ex-ante",0.115569173200172,-0.411308882953764,-0.326999353037389,-0.412803398022067,-0.32818752445963,0.00722770065020998,0.000303587230810272
60,"Probit Loss at 6h | Ex-ante",0.0953971259794807,-0.324219250803538,-0.267212720795323,-0.32796911319926,-0.270303255767831,0.0227364410999594,0.000658115612223475
61,"Probit Loss at 6h | Ex-ante",0.095291580290807,-0.405804483983914,-0.31015404366034,-0.408567104215911,-0.312265498486171,0.013477737968907,0.000515759198633639
62,"Probit Loss at 6h | Ex-ante",0.0931595439547924,-0.365663394177592,-0.289464443613681,-0.368713421488375,-0.291878889447145,0.0164757347966666,0.00055252755603397
63,"Probit Loss at 6h | Ex-ante",0.140373683737661,-0.457995361422128,-0.366027882137205,-0.459929940813455,-0.367573989493478,0.00839480346754255,0.000442843364493865
64,"Probit Loss at 6h | Ex-ante",0.164400325380154,-0.253881005281837,-0.232032931489169,-0.255297610897062,-0.233327629189376,0.0110668905302649,0.000235873902141072
