"obs_number","model","fitted","deviance_residual","pearson_residual","std_deviance_resid","std_pearson_resid","leverage","cooks_d"
1,"Probit Loss at 6h | Full",0.0860380532967875,0.191375959308518,0.208123166524347,0.192781006670539,0.209651168824934,0.0145234966577048,0.000199637138198831
2,"Probit Loss at 6h | Full",0.116491552782044,-0.458479227990339,-0.349943408299289,-0.460290796983359,-0.351326124437959,0.00785592109988177,0.000301207029014757
3,"Probit Loss at 6h | Full",0.131927970410331,1.21160776688363,1.54891476857853,1.2151468192261,1.55343907965498,0.00581641433444487,0.00435109980196249
4,"Probit Loss at 6h | Full",0.12548701049859,-0.416379194847396,-0.335336448594522,-0.418634476504862,-0.337152769272773,0.0107454446267565,0.000380532398533899
5,"Probit Loss at 6h | Full",0.12292934460346,-0.14406849800769,-0.135612970693565,-0.144781584232159,-0.136284205159102,0.00982625190196872,0.0000568053684429165
6,"Probit Loss at 6h | Full",0.121401166229262,-0.10019545333008,-0.0961477304643566,-0.100612615864622,-0.0965480403546548,0.00827525864658742,0.0000239717201846121
7,"Probit Loss at 6h | Full",0.102935058095108,-0.330403787539456,-0.274242111039122,-0.331461859582907,-0.275120333147253,0.00637408653121577,0.000149645019616752
8,"Probit Loss at 6h | Full",0.0421481714120798,-0.183513538797659,-0.154897821378533,-0.185349357907001,-0.15644737669933,0.0197111828611045,0.000151676065205008
9,"Probit Loss at 6h | Full",0.0943629326597446,-0.291152258228184,-0.245825610681441,-0.291840012768646,-0.246406295443898,0.00470767628897412,0.0000885077663799275
10,"Probit Loss at 6h | Full",0.117374516718173,-0.1758892957699,-0.162643809146027,-0.176272829279201,-0.162998460352144,0.00434685556197591,0.0000357483489652291
11,"Probit Loss at 6h | Full",0.123206432923269,-0.0853584150999804,-0.0824720900563068,-0.0855047770121142,-0.0826135028600026,0.00342054913196767,0.00000721951167741282
12,"Probit Loss at 6h | Full",0.0950323608753353,-0.446863585373636,-0.324051968908635,-0.452803745397849,-0.328359593460027,0.0260651407359456,0.000889306418385088
13,"Probit Loss at 6h | Full",0.0885328552606836,-0.207500563717641,-0.1845783517399,-0.209176868575902,-0.18606947823232,0.0159634100136669,0.000173095805930425
14,"Probit Loss at 6h | Full",0.0991498722556989,-0.186783537798318,-0.169809741820278,-0.18735122368353,-0.170325839730936,0.00605094338067747,0.0000544304450448516
15,"Probit Loss at 6h | Full",0.0952387211050229,-0.118302789935488,-0.111529031250335,-0.119021455097282,-0.112206547218741,0.0120397699721835,0.0000472864780629548
16,"Probit Loss at 6h | Full",0.106341174089317,0.257452571246307,0.283056260755683,0.259716567278154,0.285545411468135,0.0173583705125516,0.000443900885085008
17,"Probit Loss at 6h | Full",0.0826357100031473,-0.19747063705924,-0.175827441030867,-0.198364329373739,-0.176623182793122,0.00899031734121623,0.0000872196584424673
18,"Probit Loss at 6h | Full",0.124903567719981,-0.358221746778626,-0.300365102525004,-0.359207364901415,-0.301191532777115,0.00548021012497598,0.000154060443197533
19,"Probit Loss at 6h | Full",0.150399185315051,-0.427252147066426,-0.353531541506366,-0.429277873538794,-0.355207737184641,0.00941556497471123,0.000369608170923674
