"obs_number","model","fitted","deviance_residual","pearson_residual","std_deviance_resid","std_pearson_resid","leverage","cooks_d"
1,"Probit Mean loss | Full",0.154788351276393,1.02201748822821,1.24211962193951,1.03086001902415,1.25286648403898,0.0170820592874251,0.00993229441455322
2,"Probit Mean loss | Full",0.169870901401507,-0.543193463657059,-0.427042096028284,-0.545437769091993,-0.428806500354156,0.00821244239101323,0.000554361983498776
3,"Probit Mean loss | Full",0.175727556099276,0.973508215439834,1.14967201900424,0.976376453686362,1.15305928703503,0.00586664153216281,0.0028567038531787
4,"Probit Mean loss | Full",0.160867195444789,-0.437386876986175,-0.364105786841767,-0.439760693294367,-0.366081886949451,0.0107668077035138,0.000531082264162763
5,"Probit Mean loss | Full",0.165556085035965,0.589573042519126,0.671526016911831,0.592492803272427,0.674851635906592,0.0098315677577668,0.00164644546120519
6,"Probit Mean loss | Full",0.164655558448854,0.0990274969144236,0.101862746709615,0.0994519862814346,0.102299389603963,0.00851835065675227,0.0000327366290240726
7,"Probit Mean loss | Full",0.15264997777529,-0.196212071881642,-0.182689240068714,-0.196870938617762,-0.183302698059214,0.00668218710339444,0.0000822972194485884
8,"Probit Mean loss | Full",0.140969012121114,-0.487883057462132,-0.381339994099078,-0.489466650890449,-0.382577765116892,0.0064602223256118,0.00034651233222341
9,"Probit Mean loss | Full",0.151201040432738,-0.426385816198377,-0.353346088705365,-0.427157946630118,-0.353985953488998,0.00361193130826251,0.000165386501748276
10,"Probit Mean loss | Full",0.169731222618363,-0.0274785265104312,-0.0272544430449766,-0.0275383617091953,-0.0273137902962268,0.00434086781212073,0.00000118425945270962
11,"Probit Mean loss | Full",0.152206653978475,-0.312324415013892,-0.27590479671361,-0.312877895702641,-0.276393736961549,0.00353486866888764,0.0000986698825490016
12,"Probit Mean loss | Full",0.154585929822755,-0.543053317763784,-0.415673988118937,-0.551033058989084,-0.421781990318308,0.0287531287044025,0.00191755830609659
13,"Probit Mean loss | Full",0.111626743665285,-0.148914486155768,-0.139186984128473,-0.150140537922046,-0.140332946835924,0.0162653710575247,0.000118555674213338
14,"Probit Mean loss | Full",0.120108285851308,-0.23082927042678,-0.207789668216554,-0.231539790536343,-0.208429269674179,0.00612793101925148,0.0000975254212142899
15,"Probit Mean loss | Full",0.117209363384927,-0.208139194299642,-0.189276090375332,-0.209430228471457,-0.190450121539449,0.0122910134455867,0.000164338090270267
16,"Probit Mean loss | Full",0.135090944269301,-0.00555517359090513,-0.00554416691638929,-0.00560545202599346,-0.00559434573292186,0.0178586658668753,0.000000207200436779931
17,"Probit Mean loss | Full",0.136110156634955,-0.230502208746404,-0.209659775007492,-0.231618323712245,-0.210674968804954,0.0096143154691401,0.000156876152557548
18,"Probit Mean loss | Full",0.156072813851271,-0.427896697111833,-0.356289523820484,-0.429098165131659,-0.357289929926815,0.00559212819663283,0.000261379279291787
19,"Probit Mean loss | Full",0.184100002243823,-0.373743917138797,-0.32823465529478,-0.375562726769219,-0.329831995946258,0.00966232989602117,0.000386456990109531
