"model_class","model","term","conf.low_boot","conf.high_boot","n_boot","n_boot_success"
"OLS","Mean loss | Ex-ante","(Intercept)",0.168109839189678,0.806635497716586,25000,25000
"OLS","Mean loss | Ex-ante","eps_stddev",0.0218611315619713,0.397064661993629,25000,25000
"OLS","Mean loss | Ex-ante","log_market_cap",-0.0304313414222764,-0.00306160753105865,25000,25000
"OLS","Mean loss | Ex-ante","analysts",-0.00154231599374971,0.00213685837524179,25000,25000
"OLS","Mean loss | Ex-ante","log_turnover",-0.000996408328717587,0.012849694748954,25000,25000
"OLS","Mean loss | Ex-ante","log_volatility_6m",-2.53977456839816,0.488487642764974,25000,25000
"OLS","Mean loss | Ex-ante","open_time_days",-0.00460529605107421,0.00343298093257286,25000,25000
"OLS","Mean loss | Ex-ante","post_first_market",-0.0289793928584096,0.0392804816038825,25000,25000
"OLS","Mean loss | Full","(Intercept)",-0.152254917912277,0.497489265868202,25000,25000
"OLS","Mean loss | Full","log_volume",-0.0543768287541522,0.0607899939673231,25000,25000
"OLS","Mean loss | Full","log_volume_per_analyst",-0.0330336893838089,0.070404508969965,25000,25000
"OLS","Mean loss | Full","eps_stddev",0.159711338200237,0.55931348230857,25000,25000
"OLS","Mean loss | Full","surprise",-0.407184770014467,-0.248400244110307,25000,25000
"OLS","Mean loss | Full","log_market_cap",-0.0235262151285052,0.00534162585977887,25000,25000
"OLS","Mean loss | Full","analysts",-0.00244400208633257,0.00389088132605275,25000,25000
"OLS","Mean loss | Full","log_turnover",-0.00166425853944294,0.0126968823642605,25000,25000
"OLS","Mean loss | Full","log_volatility_6m",-2.5268284081438,0.686025464065301,25000,25000
"OLS","Mean loss | Full","open_time_days",-0.00498740261119436,0.00275588796229988,25000,25000
"OLS","Mean loss | Full","post_first_market",-0.0300958801116608,0.0379295870450914,25000,25000
"OLS","Loss at 6h | Ex-ante","(Intercept)",0.167671053136214,0.85706739386109,25000,25000
"OLS","Loss at 6h | Ex-ante","eps_stddev",0.000459109987886153,0.4278346470771,25000,25000
"OLS","Loss at 6h | Ex-ante","log_market_cap",-0.0324336841965245,-0.00249348506146662,25000,25000
"OLS","Loss at 6h | Ex-ante","analysts",-0.00204401893477149,0.00198591291974833,25000,25000
"OLS","Loss at 6h | Ex-ante","log_turnover",-0.00224051378043929,0.0125351569910375,25000,25000
"OLS","Loss at 6h | Ex-ante","log_volatility_6m",-2.65730741115368,1.09558025025868,25000,25000
"OLS","Loss at 6h | Ex-ante","open_time_days",-0.00481791943321812,0.00398180339112278,25000,25000
"OLS","Loss at 6h | Ex-ante","post_first_market",-0.0383760766039637,0.0347755531871505,25000,25000
"OLS","Loss at 6h | Full","(Intercept)",-0.0900722801479381,0.628606028555104,25000,25000
"OLS","Loss at 6h | Full","log_volume",-0.0822826303002743,0.0499907473255233,25000,25000
"OLS","Loss at 6h | Full","log_volume_per_analyst",-0.0345460339605682,0.0814398158232116,25000,25000
"OLS","Loss at 6h | Full","eps_stddev",0.126897241567444,0.597810842204013,25000,25000
"OLS","Loss at 6h | Full","surprise",-0.3991498311869,-0.212060117304622,25000,25000
"OLS","Loss at 6h | Full","log_market_cap",-0.0238015687347314,0.00932414902297303,25000,25000
"OLS","Loss at 6h | Full","analysts",-0.0028937030119688,0.00416407321049977,25000,25000
"OLS","Loss at 6h | Full","log_turnover",-0.00246621968307894,0.0128878218192811,25000,25000
"OLS","Loss at 6h | Full","log_volatility_6m",-2.40764547541161,1.60404136336428,25000,25000
"OLS","Loss at 6h | Full","open_time_days",-0.00493856411394281,0.00379428751117705,25000,25000
"OLS","Loss at 6h | Full","post_first_market",-0.0402994289576317,0.034896548997563,25000,25000
"Fractional logit","Mean loss | Ex-ante","(Intercept)",-1.59818293152299,3.2603342434584,25000,25000
"Fractional logit","Mean loss | Ex-ante","eps_stddev",0.179112676719789,2.64610072200958,25000,25000
"Fractional logit","Mean loss | Ex-ante","log_market_cap",-0.23294513567013,-0.0225655562400291,25000,25000
"Fractional logit","Mean loss | Ex-ante","analysts",-0.0121632339294502,0.016124350834833,25000,25000
"Fractional logit","Mean loss | Ex-ante","log_turnover",-0.00665571486285524,0.0978516910423092,25000,25000
"Fractional logit","Mean loss | Ex-ante","log_volatility_6m",-19.6362013213611,3.38665599449809,25000,25000
"Fractional logit","Mean loss | Ex-ante","open_time_days",-0.035110316757279,0.024749033848258,25000,25000
"Fractional logit","Mean loss | Ex-ante","post_first_market",-0.220622608548,0.289749090873886,25000,25000
"Fractional logit","Mean loss | Full","(Intercept)",-3.89437818010828,1.04375008905416,25000,25000
"Fractional logit","Mean loss | Full","log_volume",-0.358589261191695,0.482178301225949,25000,25000
"Fractional logit","Mean loss | Full","log_volume_per_analyst",-0.279736398149136,0.48024102642716,25000,25000
"Fractional logit","Mean loss | Full","eps_stddev",0.371583522869186,3.22523805659658,25000,25000
"Fractional logit","Mean loss | Full","surprise",-3.17650287387718,-1.87067316631138,25000,25000
"Fractional logit","Mean loss | Full","log_market_cap",-0.187878245092588,0.0344073128350268,25000,25000
"Fractional logit","Mean loss | Full","analysts",-0.0202057006407714,0.0285085327868783,25000,25000
"Fractional logit","Mean loss | Full","log_turnover",-0.0135408071945744,0.102095500953868,25000,25000
"Fractional logit","Mean loss | Full","log_volatility_6m",-20.6076739520139,3.74848078911633,25000,25000
"Fractional logit","Mean loss | Full","open_time_days",-0.0430547711739216,0.0175400269800989,25000,25000
"Fractional logit","Mean loss | Full","post_first_market",-0.22262040899811,0.300515921235353,25000,25000
"Fractional logit","Loss at 6h | Ex-ante","(Intercept)",-1.58334661349692,3.76439269322527,25000,25000
"Fractional logit","Loss at 6h | Ex-ante","eps_stddev",0.0223396583706951,2.88764723031514,25000,25000
"Fractional logit","Loss at 6h | Ex-ante","log_market_cap",-0.254519934376369,-0.0199690198429295,25000,25000
"Fractional logit","Loss at 6h | Ex-ante","analysts",-0.0169132496583618,0.0151746177188983,25000,25000
"Fractional logit","Loss at 6h | Ex-ante","log_turnover",-0.0146500068705228,0.0996079307124469,25000,25000
"Fractional logit","Loss at 6h | Ex-ante","log_volatility_6m",-21.1028733041437,7.3747849361484,25000,25000
"Fractional logit","Loss at 6h | Ex-ante","open_time_days",-0.0374137233452627,0.028565543818182,25000,25000
"Fractional logit","Loss at 6h | Ex-ante","post_first_market",-0.29931744662938,0.262755198019658,25000,25000
"Fractional logit","Loss at 6h | Full","(Intercept)",-3.50110250511753,2.05442611328952,25000,25000
"Fractional logit","Loss at 6h | Full","log_volume",-0.54630696930878,0.416118312111047,25000,25000
"Fractional logit","Loss at 6h | Full","log_volume_per_analyst",-0.308255200433852,0.541603054110107,25000,25000
"Fractional logit","Loss at 6h | Full","eps_stddev",0.217928621539399,3.54935625804142,25000,25000
"Fractional logit","Loss at 6h | Full","surprise",-3.11588633967777,-1.60442867274579,25000,25000
"Fractional logit","Loss at 6h | Full","log_market_cap",-0.194791803802974,0.0627536101521257,25000,25000
