"model_class","model","r.squared","adj.r.squared","sigma","statistic","p.value","null.deviance","deviance","dispersion","pseudo_r2","df.residual","nobs","AIC","BIC"
"OLS","Mean loss | Ex-ante",0.0198467459598539,0.0103152718524943,0.190237394984509,2.08223258399553,0.0534506024783183,NA,22.3293943999536,NA,NA,617,624,-291.238478732806,-255.749275785851
"OLS","Mean loss | Full",0.0569294999441605,0.0446619162035968,0.186907187044744,4.64064490189038,0.0000159873174171719,NA,21.4845923899221,NA,NA,615,624,-311.304848216702,-266.943344533008
"OLS","Loss at 6h | Ex-ante",0.0242301035882006,0.0147412553248766,0.200720288811895,2.55353473001086,0.018880320379209,NA,24.8580873882307,NA,NA,617,624,-224.296256186911,-188.807053239956
"OLS","Loss at 6h | Full",0.0349429525989011,0.0223893649904316,0.199939721505751,2.78350330508913,0.00495192766611122,NA,24.5851737250154,NA,NA,615,624,-227.184954527636,-182.823450843942
"Fractional logit","Mean loss | Ex-ante",NA,NA,NA,NA,NA,156.545889601007,152.928669681584,0.293236765165639,0.0231064509495789,617,624,NA,NA
"Fractional logit","Mean loss | Full",NA,NA,NA,NA,NA,156.545889601007,146.401796280095,0.279133915657121,0.0647994868901811,615,624,NA,NA
"Fractional logit","Loss at 6h | Ex-ante",NA,NA,NA,NA,NA,186.564022573434,181.052452117395,0.366661198888048,0.0295425151109743,617,624,NA,NA
"Fractional logit","Loss at 6h | Full",NA,NA,NA,NA,NA,186.564022573434,178.541531760176,0.361540514549407,0.0430012748578058,615,624,NA,NA
"Fractional probit","Mean loss | Ex-ante",NA,NA,NA,NA,NA,156.545889601007,152.892602471973,0.293422985738204,0.0233368447957671,617,624,NA,NA
"Fractional probit","Mean loss | Full",NA,NA,NA,NA,NA,156.545889601007,146.0706998194,0.279129914217125,0.0669144990539532,615,624,NA,NA
"Fractional probit","Loss at 6h | Ex-ante",NA,NA,NA,NA,NA,186.564022573434,181.046193844903,0.367129421404155,0.0295760600163928,617,624,NA,NA
"Fractional probit","Loss at 6h | Full",NA,NA,NA,NA,NA,186.564022573434,178.386891528651,0.360525216342011,0.0438301604563928,615,624,NA,NA
