"model_class","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","stars","term_label","outcome_group","spec_group","conf.low_boot","conf.high_boot","n_boot","n_boot_success","conf.low_hc3","conf.high_hc3","model_plot"
"OLS","Mean loss | Ex-ante","eps_stddev",0.155095369620626,0.0956837484800809,1.62091653059467,0.105547274666782,-0.0244261878021028,0.347214527330996,"","Std. dev. of analyst estimates","Mean loss across selected horizons","Ex-ante",-0.0244261878021028,0.347214527330996,25000,25000,-0.0328105307699499,0.343001270011201,"Mean loss | Ex-ante"
"OLS","Mean loss | Ex-ante","log_market_cap",-0.014869112479896,0.00716437072765569,-2.07542477143159,0.0383615840263135,-0.028754394312102,-0.000961307406204497,"**","log(Market cap)","Mean loss across selected horizons","Ex-ante",-0.028754394312102,-0.000961307406204497,25000,25000,-0.0289386650810075,-0.000799559878784419,"Mean loss | Ex-ante"
"OLS","Mean loss | Ex-ante","analysts",0.000211780818835018,0.00097122646524754,0.218055032902178,0.82745844714669,-0.00164879429562624,0.00216706585148635,"","Analysts covering","Mean loss across selected horizons","Ex-ante",-0.00164879429562624,0.00216706585148635,25000,25000,-0.0016955355889611,0.00211909722663114,"Mean loss | Ex-ante"
"OLS","Mean loss | Ex-ante","log_turnover",0.00578650961372053,0.00363835068950929,1.59042107469332,0.112252970054833,-0.00132151366894396,0.0129614964149638,"","log(6m avg. daily turnover + 1)","Mean loss across selected horizons","Ex-ante",-0.00132151366894396,0.0129614964149638,25000,25000,-0.00135856541844376,0.0129315846458848,"Mean loss | Ex-ante"
"OLS","Mean loss | Ex-ante","log_volatility_6m",-0.916951876339328,0.835377534938055,-1.09764967094467,0.272786365606999,-2.52255037341276,0.718107176619002,"","log(6m stock volatility)","Mean loss across selected horizons","Ex-ante",-2.52255037341276,0.718107176619002,25000,25000,-2.55748509501097,0.723581342332312,"Mean loss | Ex-ante"
"OLS","Mean loss | Ex-ante","open_time_days",-0.000502898901412671,0.00207554664456995,-0.242297084832257,0.808630618528306,-0.00449998529370575,0.00352327620850315,"","Market open-to-resolution (days)","Mean loss across selected horizons","Ex-ante",-0.00449998529370575,0.00352327620850315,25000,25000,-0.00457890415043095,0.00357310634760561,"Mean loss | Ex-ante"
"OLS","Mean loss | Full","log_volume",0.0100255005813263,0.0300829132518448,0.333262290702896,0.73905025589894,-0.0491101622656265,0.0672905055776931,"","log(Polymarket volume + 1)","Mean loss across selected horizons","Full",-0.0491101622656265,0.0672905055776931,25000,25000,-0.0490525712087065,0.069103572371359,"Mean loss | Full"
"OLS","Mean loss | Full","log_volume_per_analyst",0.0116763068431459,0.0273391563256581,0.427090971793725,0.669463035105964,-0.040108166897223,0.0658457161051,"","log(Polymarket volume / analysts + 1)","Mean loss across selected horizons","Full",-0.040108166897223,0.0658457161051,25000,25000,-0.0420134613839094,0.0653660750702011,"Mean loss | Full"
"OLS","Mean loss | Full","eps_stddev",0.350494974212982,0.103466380688089,3.38752522202924,0.000750434319246033,0.158944299365982,0.561186069207303,"***","Std. dev. of analyst estimates","Mean loss across selected horizons","Full",0.158944299365982,0.561186069207303,25000,25000,0.147303407792101,0.553686540633862,"Mean loss | Full"
"OLS","Mean loss | Full","surprise",-0.336844363448816,0.0425624345203526,-7.91412350455995,0.0000000000000116954885961424,-0.423360661722164,-0.257572371186489,"***","Earnings surprise","Mean loss across selected horizons","Full",-0.423360661722164,-0.257572371186489,25000,25000,-0.420430236302994,-0.253258490594638,"Mean loss | Full"
"OLS","Mean loss | Full","log_market_cap",-0.0106034287809812,0.00772324892255701,-1.37292334965563,0.170278193828343,-0.0255228287856727,0.00422258902425898,"","log(Market cap)","Mean loss across selected horizons","Full",-0.0255228287856727,0.00422258902425898,25000,25000,-0.0257706650948091,0.00456380753284676,"Mean loss | Full"
"OLS","Mean loss | Full","analysts",0.000529338972258602,0.00164886218499251,0.321032877748366,0.748294894814267,-0.00259975774823966,0.00381463580160286,"","Analysts covering","Mean loss across selected horizons","Full",-0.00259975774823966,0.00381463580160286,25000,25000,-0.00270876492151518,0.00376744286603239,"Mean loss | Full"
