model,component,estimator,term,term_clean,estimate,std_error,statistic,p_value,conf_low,conf_high,stars
Mean Brier loss,Outcome equation,Naive OLS,(Intercept),Constant,0.3255806633956311,0.14406034976729254,2.260029660635677,0.024143055157324848,0.042711179600077975,0.6084501471911842,**
Mean Brier loss,Outcome equation,Naive OLS,log_market_cap,log(Market cap),-0.008951728959758369,0.006761892907320941,-1.3238495614248111,0.18600926726006184,-0.022229033639806793,0.004325575720290055,
Mean Brier loss,Outcome equation,Naive OLS,analysts,Analysts covering,-1.2276582594154998e-4,9.89365317777541e-4,-0.124085435112406,0.9012852395721347,-0.002065432612305941,0.001819900960422841,
Mean Brier loss,Outcome equation,Naive OLS,log_turnover,log(6m avg. daily turnover + 1),0.0044197581055066704,0.007568177152484734,0.5839924220134838,0.5594240429593053,-0.010440724795269293,0.019280241006282634,
Mean Brier loss,Outcome equation,Naive OLS,log_volatility_6m,log(6m stock volatility + 1),-0.3868240151327295,0.6123436389572786,-0.631710677670185,0.5277936957112039,-1.5891904493190658,0.8155424190536067,
Mean Brier loss,Outcome equation,Heckman 2-step,(Intercept),Constant,0.5665560749221056,0.19552356381495573,2.8976357829601374,0.003759869440715647,0.1833369317158735,0.9497752181283377,***
Mean Brier loss,Outcome equation,Heckman 2-step,log_market_cap,log(Market cap),-0.011777686595514276,0.006953717418634861,-1.6937252244320342,0.09031750891853947,-0.02540672229470743,0.0018513491036788818,*
Mean Brier loss,Outcome equation,Heckman 2-step,analysts,Analysts covering,-0.001172684842475773,0.0010827654257029857,-1.083046073173612,0.2787879733027971,-0.0032948660805588044,9.494963956072585e-4,
Mean Brier loss,Outcome equation,Heckman 2-step,log_turnover,log(6m avg. daily turnover + 1),-0.0027150866676810773,0.008491566256104631,-0.3197392077968169,0.7491660352125555,-0.01935825070198178,0.013928077366619622,
Mean Brier loss,Outcome equation,Heckman 2-step,log_volatility_6m,log(6m stock volatility + 1),-0.21642174781038198,0.6896368642503532,-0.3138198652498602,0.7536578557433703,-1.5680851641522124,1.1352416685314484,
Mean Brier loss,Outcome equation,Heckman 2-step,invMillsRatio,Lambda (inverse Mills ratio),-0.04641358956396576,0.024292909415724272,-1.9105817574046216,0.056058350557766666,-0.09402681709847929,0.0011996379705477705,*
Brier loss at 1d,Outcome equation,Naive OLS,(Intercept),Constant,0.3365344077640866,0.15592595777184712,2.1582962360667883,0.03126363922399155,0.030365381353797682,0.6427034341743756,**
Brier loss at 1d,Outcome equation,Naive OLS,log_market_cap,log(Market cap),-0.009886205522733277,0.007621555154853374,-1.2971375686283373,0.1950357351985492,-0.02485154006252915,0.005079129017062596,
Brier loss at 1d,Outcome equation,Naive OLS,analysts,Analysts covering,-1.6097800617891582e-4,0.001035281925294924,-0.1554919507872771,0.8764808983759544,-0.002193809894192795,0.0018718538818349633,
Brier loss at 1d,Outcome equation,Naive OLS,log_turnover,log(6m avg. daily turnover + 1),0.005276125369490667,0.00890462416388623,0.5925152226961611,0.5537079576334557,-0.012208584359185603,0.022760835098166936,
Brier loss at 1d,Outcome equation,Naive OLS,log_volatility_6m,log(6m stock volatility + 1),-0.5508980611345982,0.6811017931446695,-0.8088336672717945,0.41890141255867985,-1.888278160466953,0.7864820381977566,
Brier loss at 1d,Outcome equation,Heckman 2-step,(Intercept),Constant,0.6164150593858797,0.20494408121806906,3.0077231590308204,0.002632127944274509,0.21473204135381269,1.0180980774179467,***
Brier loss at 1d,Outcome equation,Heckman 2-step,log_market_cap,log(Market cap),-0.012547054722272867,0.007572180389672109,-1.6569936367847384,0.0975207615906305,-0.02738825557047067,0.002294146125924936,*
Brier loss at 1d,Outcome equation,Heckman 2-step,analysts,Analysts covering,-0.0014250695537718408,0.0011492737107221265,-1.2399740292296626,0.21498500023114933,-0.003677604635165913,8.274655276222312e-4,
Brier loss at 1d,Outcome equation,Heckman 2-step,log_turnover,log(6m avg. daily turnover + 1),-0.00400754457581923,0.00964174881633051,-0.41564498849332554,0.6776698012847459,-0.022905025003808723,0.014889935852170261,
Brier loss at 1d,Outcome equation,Heckman 2-step,log_volatility_6m,log(6m stock volatility + 1),-0.31588941922329206,0.7400203283102855,-0.42686586724526,0.6694770278147377,-1.766302610538958,1.1345237720923738,
Brier loss at 1d,Outcome equation,Heckman 2-step,invMillsRatio,Lambda (inverse Mills ratio),-0.05464538320506493,0.02562729518247048,-2.132311772115667,0.03298122493034711,-0.10487395878388389,-0.004416807626245967,**
