model,component,estimator,term,term_clean,estimate,std_error,statistic,p_value,conf_low,conf_high,stars
Mean Brier loss,Selection equation,Probit,(Intercept),Constant,-5.870713073487367,0.4795384771677128,-12.242423398767551,1.8444200250310642e-34,-6.810591217937267,-4.9308349290374665,***
Mean Brier loss,Selection equation,Probit,log_market_cap,log(Market cap),0.24228723282419126,0.021185185611619577,11.436634885620375,2.7432033390422866e-30,0.20076503201962076,0.28380943362876176,***
Mean Brier loss,Selection equation,Probit,analysts,Analysts covering,0.022089817983269106,0.003659367592495114,6.036512436895502,1.57480619591534e-9,0.01491758929578564,0.02926204667075257,***
Mean Brier loss,Selection equation,Probit,log_turnover,log(6m avg. daily turnover + 1),-0.10868131201700436,0.025018727677558646,-4.343998360655629,1.3991255922263464e-5,-0.15771711720403472,-0.05964550682997399,***
Mean Brier loss,Selection equation,Probit,log_volatility_6m,log(6m stock volatility + 1),8.544527427838998,1.5010545122179906,5.692349850248556,1.2530277546104886e-8,5.602514645060399,11.486540210617598,***
Mean Brier loss,Selection equation,Probit,release_timing_groupduring_market,Release timing: during_market,0.32583678457609894,0.2282420713191038,1.4275930055005004,0.15340903801556394,-0.12150945496616683,0.7731830241183647,
Mean Brier loss,Selection equation,Probit,release_timing_groupafter_close,Release timing: after_close,0.2449911340579889,0.228691977026177,1.0712712236072288,0.28404749484181135,-0.20323690446657938,0.6932191725825572,
Mean Brier loss,Selection equation,Probit,release_timing_groupunknown,Release timing: unknown,-3.76067986495491,0.32572265783495463,-11.545650185810734,7.765203393984867e-31,-4.399084543260084,-3.122275186649736,***
Mean Brier loss,Selection equation,Probit,gics_sector_groupConsumer Discretionary,Sector: Consumer Discretionary,0.01588098046838959,0.11318538595060688,0.1403094607577688,0.8884154896664113,-0.20595829957106568,0.23772026050784487,
Mean Brier loss,Selection equation,Probit,gics_sector_groupConsumer Staples,Sector: Consumer Staples,-0.0535279994508167,0.13452983524012255,-0.3978894299192033,0.6907116918733934,-0.31720163136756424,0.21014563246593082,
Mean Brier loss,Selection equation,Probit,gics_sector_groupEnergy,Sector: Energy,-0.6120960468632505,0.14757806838977405,-4.147608472870239,3.359663042212367e-5,-0.9013437458151965,-0.3228483479113044,***
Mean Brier loss,Selection equation,Probit,gics_sector_groupFinancials,Sector: Financials,-0.3446882741585028,0.11114709223761224,-3.101190208571737,0.001927444364623126,-0.5625325719305742,-0.12684397638643144,***
Mean Brier loss,Selection equation,Probit,gics_sector_groupHealth Care,Sector: Health Care,-0.8888796771899649,0.12458372914753467,-7.13479748336426,9.692976454596468e-13,-1.1330592993788258,-0.6447000550011039,***
Mean Brier loss,Selection equation,Probit,gics_sector_groupIndustrials,Sector: Industrials,-0.7245402354609608,0.1212765873789772,-5.974279546610633,2.3110921745504038e-9,-0.962237978891681,-0.48684249203024066,***
Mean Brier loss,Selection equation,Probit,gics_sector_groupInformation Technology,Sector: Information Technology,-0.5263981696161824,0.11791863094720592,-4.464079725042426,8.041362060489726e-6,-0.7575144393789761,-0.2952818998533886,***
Mean Brier loss,Selection equation,Probit,gics_sector_groupMaterials,Sector: Materials,-1.180321746113404,0.21520767042411051,-5.4845709903710205,4.144740208111272e-8,-1.602121029341426,-0.7585224628853816,***
Mean Brier loss,Selection equation,Probit,gics_sector_groupReal Estate,Sector: Real Estate,-0.8264583701310284,0.19679660572051216,-4.199556019298185,2.6743886028536626e-5,-1.2121726296229614,-0.44074411063909547,***
Mean Brier loss,Selection equation,Probit,gics_sector_groupUnknown,Sector: Unknown,-3.6621116396731312,0.2570225666018241,-14.248210529102783,4.599158574696615e-46,-4.165866613426754,-3.158356665919509,***
